Peter Wittich,"Professor of Physics, Cornell University",cornell.edu,322256,experimental particle physics,https://scholar.google.com/citations?hl=en&user=5gIH-7oAAAAJ,US,Cornell University
Robert Sternberg,"Professor of Psychology, Cornell University",cornell.edu,220130,psychology,https://scholar.google.com/citations?hl=en&user=zpmx5K8AAAAJ,US,Cornell University
Urie Bronfenbrenner,"Psychology, Cornell University",,188611,developmental psychology | ecological systems theory | child development,https://scholar.google.com/citations?hl=en&user=APt2jywAAAAJ,US,Cornell University
Deborah Estrin,"Professor of Computer Science, Cornell Tech, Cornell University",cornell.edu,127237,digital health | mobile sensing | Internet architecture | public interest tech,https://scholar.google.com/citations?hl=en&user=3_WYcR4AAAAJ,US,Cornell University
Vardan Khachatryan,Cornell University,cornell.edu,126384,High energy physics | particle physics | cosmic ray physics | accelerator physics,https://scholar.google.com/citations?hl=en&user=yXqgkd4AAAAJ,US,Cornell University
Steven H. Strogatz,"Schurman Professor of Applied Mathematics, Cornell University",cornell.edu,123111,synchronization | complex systems | networks | applied mathematics | nonlinear dynamics,https://scholar.google.com/citations?hl=en&user=FxyRWlcAAAAJ,US,Cornell University
Peter J. Van Soest,Cornell University,discente.ifpe.edu.br,117494,Ruminant | Nutrition | Forage | Phisiology | Animal Science,https://scholar.google.com/citations?hl=en&user=S5RK_tsAAAAJ,US,Cornell University
Andrew G Clark,"Molecular Biology and Genetics/ Computational Biology, Cornell University",cornell.edu,116472,population genetics    evolutionary genomics …,https://scholar.google.com/citations?hl=en&user=qitILSIAAAAJ,US,Cornell University
Nicholas Eggert,Cornell University,cornell.edu,116264,,https://scholar.google.com/citations?hl=en&user=Igj2ecIAAAAJ,US,Cornell University
Jon Kleinberg,"Professor of Computer Science, Cornell University",cs.cornell.edu,114071,algorithms | data mining | information networks | social networks | Web mining,https://scholar.google.com/citations?hl=en&user=VX7d5EQAAAAJ,US,Cornell University
Charles Van Loan,Cornell University,cs.cornell.edu,98597,Matrix Computations,https://scholar.google.com/citations?hl=en&user=N7sfFpcAAAAJ,US,Cornell University
Roald Hoffmann,Cornell University,,95524,,https://scholar.google.com/citations?hl=en&user=yYZA8bAAAAAJ,US,Cornell University
Johannes Lehmann,"Liberty Hyde Bailey Professor, Cornell University",cornell.edu,93448,soil | soil science | soil carbon | soil organic matter | soil organic carbon,https://scholar.google.com/citations?hl=en&user=DbRhb7UAAAAJ,US,Cornell University
William A Walters,"Post-doc, Cornell University",colorado.edu,77893,Bioinformatics | Microbial Ecology | Obesity,https://scholar.google.com/citations?hl=en&user=P-O1mHwAAAAJ,US,Cornell University
Giuseppe Giaccone,"Professor of Medicine, Weill Cornell University",med.cornell.edu,77562,cancer,https://scholar.google.com/citations?hl=en&user=iuZiOWwAAAAJ,US,Cornell University
Gerard Salton (1927-1995),"Professor of Computer Science, Cornell University",,76685,Information Retrieval,https://scholar.google.com/citations?hl=en&user=PmJ2544AAAAJ,US,Cornell University
Thorsten Joachims,"Professor of Computer Science, Cornell University",cs.cornell.edu,76371,Machine Learning | Information Retrieval,https://scholar.google.com/citations?hl=en&user=5tk1PV8AAAAJ,US,Cornell University
Kilian Weinberger,Cornell University,cornell.edu,72480,machine learning | deep learning | metric learning | computer vision,https://scholar.google.com/citations?hl=en&user=8RVWMycAAAAJ,US,Cornell University
Edward Buckler,"USDA-ARS, Cornell University",cornell.edu,71868,Quantitative Genetics | Plant Biology | Agriculture | Plant Genomics,https://scholar.google.com/citations?hl=en&user=M7O1p6oAAAAJ,US,Cornell University
Paul McEuen,"Professor of Physics, Cornell University",cornell.edu,71539,Condensed matter physics | nanoscience | physics,https://scholar.google.com/citations?hl=en&user=ma8Y_ZcAAAAJ,US,Cornell University
John Hopcroft,Cornell University,cs.cornell.edu,69097,,https://scholar.google.com/citations?hl=en&user=4Z6vo5QAAAAJ,US,Cornell University
Jeff Doyle,Cornell University,cornell.edu,66229,polyploidy | plant systematics | genomics | nodulation | plant evolution,https://scholar.google.com/citations?hl=en&user=pMyR8RUAAAAJ,US,Cornell University
David Lodge,Cornell University,cornell.edu,65072,,https://scholar.google.com/citations?hl=en&user=y0yhC9oAAAAJ,US,Cornell University
