Michael E. Porter,"Bishop William Lawrence University Professor, Harvard Business School",hbs.edu,490726,Competitive Strategy | Digital Transformation | Economic Development | Health Care | US Political System,https://scholar.google.com/citations?hl=en&user=g9WIbh0AAAAJ,US,Harvard University
Dr. JoAnn E. Manson,"Professor of Medicine, Harvard Medical School, Brigham and Womens Hosp, Harvard Sch …",rics.bwh.harvard.edu,430136,Endocrinology | Epidemiology | Cardiovascular Disease | Diabetes | Women's health,https://scholar.google.com/citations?hl=en&user=QK07bYEAAAAJ,US,Harvard University
Andrei Shleifer,Harvard University,harvard.edu,388054,,https://scholar.google.com/citations?hl=en&user=RB-RKykAAAAJ,US,Harvard University
Stacey Gabriel,The Broad Institute of Harvard and MIT,broadinstitute.org,382641,Genomics,https://scholar.google.com/citations?hl=en&user=CAAHoD8AAAAJ,US,Harvard University
Amartya Sen,"Thomas W. Lamont University Professor, Harvard University",,334302,,https://scholar.google.com/citations?hl=en&user=sLNFo0sAAAAJ,US,Harvard University
Gad Getz,Massachusetts General Hospital and Broad Institute of Harvard and MIT,broadinstitute.org,296655,Cancer Genomics | Computational Biology | Bioinformatics,https://scholar.google.com/citations?hl=en&user=q-KRzawAAAAJ,US,Harvard University
John Edward Huth,"Donner Professor of Science, Harvard University",g.harvard.edu,271174,Experimental particle physics,https://scholar.google.com/citations?hl=en&user=X-jjvf8AAAAJ,US,Harvard University
Albert-László Barabási,"Northeastern University, Harvard Medical School",neu.edu,270085,network science | statistical physics | biological physics | physics | medicine,https://scholar.google.com/citations?hl=en&user=vsj2slIAAAAJ,US,Harvard University
Matthew Meyerson,"Professor of Genetics and Medicine, Harvard Medical School",broadinstitute.org,268317,Cancer biology | genetics | and drug discovery,https://scholar.google.com/citations?hl=en&user=cADXkPEAAAAJ,US,Harvard University
Masahiro Morii,"Donner Professor of Science, Harvard University",harvard.edu,256469,Experimental Particle Physics,https://scholar.google.com/citations?hl=en&user=0TWLCU8AAAAJ,US,Harvard University
Scott Solomon,Brigham and Women's Hospital,rics.bwh.harvard.edu,251116,Cardiovascular Medicine,https://scholar.google.com/citations?hl=en&user=aZ4D_iYAAAAJ,US,Harvard University
Joao Guimaraes da Costa,Harvard University,physics.harvard.edu,248939,,https://scholar.google.com/citations?hl=en&user=mWXjhlsAAAAJ,US,Harvard University
Marc A Pfeffer,"Professor, Harvard Medical School, Brigham and Women's Hospital",rics.bwh.harvard.edu,246639,Cardiology,https://scholar.google.com/citations?hl=en&user=lpCwOIMAAAAJ,US,Harvard University
Edward Giovannucci,Professor of Nutrition and Epidemiology,hsph.harvard.edu,230692,cancer epidemiology,https://scholar.google.com/citations?hl=en&user=Bm-1Kr0AAAAJ,US,Harvard University
Lewis Cantley,Dana Farber Cancer Center and Harvard Medical School,med.cornell.edu,219852,cancer | metabolism | signal transduction | PI 3-Kinase | Protein kinases,https://scholar.google.com/citations?hl=en&user=g0s8hgEAAAAJ,US,Harvard University
Howard Gardner,Hobbs Professor of Cognition and Education,harvard.edu,212812,intelligence | creativity | education | arts | ethics,https://scholar.google.com/citations?hl=en&user=1wy2kLAAAAAJ,US,Harvard University
Bruce M. Spiegelman,"Stanley J. Korsmeyer Professor, Harvard Medical School and Dana-Farber Cancer Institute",dfci.harvard.edu,211613,Cell Biology | Molecular Metabolism | Mitochondrial Biology | Biochemistry | Metabolism,https://scholar.google.com/citations?hl=en&user=SFmxmsQAAAAJ,US,Harvard University
Joseph A Schumpeter,Harvard University,,210229,Economics,https://scholar.google.com/citations?hl=en&user=eiol1dkAAAAJ,US,Harvard University
Robert J. Barro,aul M. Warburg Professor of Economics at Harvard University,,209457,,https://scholar.google.com/citations?hl=en&user=I-tdv7kAAAAJ,US,Harvard University
David Lopez Mateos,"Research Associate, Harvard University",physics.harvard.edu,199076,Data science | high energy physics | machine learning,https://scholar.google.com/citations?hl=en&user=P6krKIkAAAAJ,US,Harvard University
Dennis Selkoe,"Co-Director, Ann Romney Center for Neurologic Disases, Brigham and Women's Hospital",bwh.harvard.edu,197156,Alzheimers' and Parkinson's Disease,https://scholar.google.com/citations?hl=en&user=S0MB2SIAAAAJ,US,Harvard University
Edward O. Wilson,Harvard University,,181054,sociobiology,https://scholar.google.com/citations?hl=en&user=bkTtTQgAAAAJ,US,Harvard University
Heng Li,Dana-Farber Cancer Institute & Harvard University,jimmy.harvard.edu,180276,Computational Biology | Bioinformatics | Genomics,https://scholar.google.com/citations?hl=en&user=HQv0p0kAAAAJ,US,Harvard University
Hunter Glass,"Professor of Business, Harvard University",students.saisd.org,177095,hot women,https://scholar.google.com/citations?hl=en&user=h7G2kQMAAAAJ,US,Harvard University
Cass Sunstein,Harvard University,law.harvard.edu,176737,Administrative law | behavioral economics,https://scholar.google.com/citations?hl=en&user=ddq2_gkAAAAJ,US,Harvard University
C. Ronald Kahn,Joslin Diabetes Center and Harvard Medical School,joslin.harvard.edu,175640,Diabetes | Obesity | Insulin Action | Insulin Resistance,https://scholar.google.com/citations?hl=en&user=RAx8zckAAAAJ,US,Harvard University
Christopher P. Cannon,"Professor of Medicine, Harvard Medical School, Brigham and Women's Hospital",bwh.harvard.edu,171348,Cardiology,https://scholar.google.com/citations?hl=en&user=9TWg-k4AAAAJ,US,Harvard University
