Kenneth Kinzler,Johns Hopkins University,jhmi.edu,330662,Cancer | Genetics | Genomics,https://scholar.google.com/citations?hl=en&user=tV32RXkAAAAJ,US,Johns Hopkins University
Andrei Gritsan,"Professor of Physics, Johns Hopkins University",jhu.edu,323036,Particle Physics,https://scholar.google.com/citations?hl=en&user=BczL-9YAAAAJ,US,Johns Hopkins University
Steven Salzberg,"Bloomberg Distinguished Professor, Johns Hopkins University",jhu.edu,297533,Computational Biology | Genomics | Genome assembly | Bioinformatics | Metagenomics,https://scholar.google.com/citations?hl=en&user=sUVeH-4AAAAJ,US,Johns Hopkins University
"Josef Coresh, MD, PhD",Johns Hopkins University,jhu.edu,280259,Kidney | epidemiology | heart disease,https://scholar.google.com/citations?hl=en&user=Qxtj86kAAAAJ,US,Johns Hopkins University
Stephen B. Baylin,"Johns Hopkins University, Van Andel Research  Institute",vai.org,219064,,https://scholar.google.com/citations?hl=en&user=sO5P2Q8AAAAJ,US,Johns Hopkins University
Ralph Hruban,Johns Hopkins University,jhmi.edu,218815,Pancreatic cancer | pancreas cancer | pathology,https://scholar.google.com/citations?hl=en&user=6gyfYPwAAAAJ,US,Johns Hopkins University
Mark P. Mattson,Johns Hopkins University School of Medicine,jhmi.edu,205730,Neuroscience | aging | Alzheimer's disease,https://scholar.google.com/citations?hl=en&user=N3ObarMAAAAJ,US,Johns Hopkins University
Gregg L. Semenza,Johns Hopkins University,jhmi.edu,185336,Cancer | Cardiovascular disease | Ischemic Retinopathy | Metabolism | Oxygen biology,https://scholar.google.com/citations?hl=en&user=fX-_IToAAAAJ,US,Johns Hopkins University
Andrew Pardoll,Johns Hopkins University school of medicine,jhmi.edu,162350,immunology | cancer | immunotheapy,https://scholar.google.com/citations?hl=en&user=e0E4Lm8AAAAJ,US,Johns Hopkins University
Robert Black,Johns Hopkins Bloomberg School of Public Health,jhsph.edu,157521,Child nutrition and infectious diseases,https://scholar.google.com/citations?hl=en&user=qCaTuJsAAAAJ,US,Johns Hopkins University
Lawrence Appel,Johns Hopkins University,jhmi.edu,150512,Hypertension | lifestyle modification | prevention,https://scholar.google.com/citations?hl=en&user=9EpOV-8AAAAJ,US,Johns Hopkins University
Timothy Heckman,"Professor of Physics & Astronomy, Johns Hopkins University",jhu.edu,131279,observational astrophysics,https://scholar.google.com/citations?hl=en&user=_Anf3acAAAAJ,US,Johns Hopkins University
David Sidransky,Professor Johns Hopkins University,jhmi.edu,129323,Cancer biology genetics,https://scholar.google.com/citations?hl=en&user=GDyjPJYAAAAJ,US,Johns Hopkins University
"Roger S Blumenthal, MD","Johns Hopkins University; Director, Ciccarone Center for the Prevention of Cardiovascular …",jhmi.edu,128177,Preventive Cardiology | Dyslipidemia | Cardiac CT | Risk Prediction,https://scholar.google.com/citations?hl=en&user=zBH7n1sAAAAJ,US,Johns Hopkins University
Victor Velculescu,"Professor of Oncology, Johns Hopkins University School of Medicine",jhmi.edu,125278,Cancer Genomics | Cancer Biology | Oncology | Genomics,https://scholar.google.com/citations?hl=en&user=1OhWXBYAAAAJ,US,Johns Hopkins University
Henry Halperin,Johns Hopkins University,,114281,Cardiology,https://scholar.google.com/citations?hl=en&user=Mx3401wAAAAJ,US,Johns Hopkins University
Joe Silk,IAP & JHU,iap.fr,112474,Astrophysics | Cosmology | Dark Matter | galaxy formation,https://scholar.google.com/citations?hl=en&user=Glo43TUAAAAJ,US,Johns Hopkins University
Robert E. Slavin,Johns-Hopkins University,,111348,psychology | educational and academic issues,https://scholar.google.com/citations?hl=en&user=No5MU4YAAAAJ,US,Johns Hopkins University
Alvaro Munoz,"Professor of Epidemiology, Johns Hopkins Bloomberg School of Public Health",jhu.edu,109560,Statististics in Epidemiology | Cohort Studies | Survival Analysis | Analysis of Longitudinal Data,https://scholar.google.com/citations?hl=en&user=Fz-sC1wAAAAJ,US,Johns Hopkins University
AS Szalay,"Blooomberg Distinguished Professor, Johns Hopkins University",jhu.edu,107085,Astrophysics | astronomy | cosmology | computer science | statistics,https://scholar.google.com/citations?hl=en&user=rUiWchkAAAAJ,US,Johns Hopkins University
Valina L. Dawson,"… of Neurology, Neuroscience and Physiology, Johns Hopkins University School of Medicine",jhmi.edu,105275,Stroke | Parkinson's disease | Parthanatos | PARP | NO,https://scholar.google.com/citations?hl=en&user=JS3_-uoAAAAJ,US,Johns Hopkins University
Scott L. Zeger,"John C. Malone Professor of Biostatistics and Medicine, Johns Hopkins University",jhu.edu,104661,biostatistics | public health | environment | precision medicine | Bayes,https://scholar.google.com/citations?hl=en&user=mSO6jtEAAAAJ,US,Johns Hopkins University
patrick c walsh,Professor of Urology Johns Hopkins University,jhmi.edu,103894,prostate cancer,https://scholar.google.com/citations?hl=en&user=meOu_KYAAAAJ,US,Johns Hopkins University
Andrew P. Feinberg,"Director, Center for Epigenetics; Professor, Johns Hopkins University",jhu.edu,103358,Epigenetics | epigenomics,https://scholar.google.com/citations?hl=en&user=tbj-LpcAAAAJ,US,Johns Hopkins University
"Thomas C Quinn, MD, MSc","NIAID, NIH, and JHU",jhmi.edu,102976,Infectious Diseases,https://scholar.google.com/citations?hl=en&user=_YQV_pcAAAAJ,US,Johns Hopkins University
Adam Riess,"Professor of Physics and Astronomy, Johns Hopkins University",pha.jhu.edu,102055,Cosmology,https://scholar.google.com/citations?hl=en&user=geafuP0AAAAJ,US,Johns Hopkins University
Suzanne Topalian,Johns Hopkins University School of Medicine,jhmi.edu,99106,cancer immunology and immunotherapy,https://scholar.google.com/citations?hl=en&user=v_PKPswAAAAJ,US,Johns Hopkins University
Charles L. Bennett,Johns Hopkins University,jhu.edu,94201,cosmology | astrophysics | astronomy,https://scholar.google.com/citations?hl=en&user=QbnvNtQAAAAJ,US,Johns Hopkins University
ha quigley,Johns Hopkins University School of Medicine,jhmi.edu,90249,glaucoma | optic nerve,https://scholar.google.com/citations?hl=en&user=DUqjXxAAAAAJ,US,Johns Hopkins University
Cheryl Dennison Himmelfarb,Johns Hopkins University,jhu.edu,89905,Cardiovascular and chronic care and … | team-based care models | patient safety | translational research,https://scholar.google.com/citations?hl=en&user=yI1PFFkAAAAJ,US,Johns Hopkins University
