Markus Klute,"Assistant Professor of Physics, Massachusetts Institute of Technology",mit.edu,219830,Particle Physics,https://scholar.google.com/citations?hl=en&user=mUDHRIQAAAAJ,US,Massachusetts Institute of Technology
Moungi G. Bawendi,Massachusetts Institute of Technology,mit.edu,153341,,https://scholar.google.com/citations?hl=en&user=8086TkwAAAAJ,US,Massachusetts Institute of Technology
Paul A Samuelson,Massachusetts Institute of Technology,,147836,Economics,https://scholar.google.com/citations?hl=en&user=ZglAOxkAAAAJ,US,Massachusetts Institute of Technology
Feng Zhang,HHMI / Massachusetts Institute of Technology / Broad Institute of MIT and Harvard,mit.edu,139980,neuroscience | microbiology | optogenetics | genome engineering,https://scholar.google.com/citations?hl=en&user=B5QpZooAAAAJ,US,Massachusetts Institute of Technology
Dimitri Bertsekas,Arizona State University - Massachusetts Institute of Technology,mit.edu,122175,Optimization and Control | Large-Scale Computation,https://scholar.google.com/citations?hl=en&user=VUmcVOAAAAAJ,US,Massachusetts Institute of Technology
Stephen L. Buchwald,"Professor of Chemistry, Massachusetts Institute of Technology",mit.edu,117192,organic synthesis | organometallic chemistry | catalysis | asymmetric catalysis | flow chemistry,https://scholar.google.com/citations?hl=en&user=Kkjq1vMAAAAJ,US,Massachusetts Institute of Technology
Anantha Chandrakasan,"Dean of Engineering, Massachusetts Institute of Technology",mit.edu,109252,Energy Efficient Design | Machine Learning Hardware | Security Hardware,https://scholar.google.com/citations?hl=en&user=N6ah30sAAAAJ,US,Massachusetts Institute of Technology
Frank Wilczek,Professor of Physics at the Massachusetts Institute of Technology,,98424,Asymptotic Freedom | Quantum chromodynamics | Quantum Statistics,https://scholar.google.com/citations?hl=en&user=mzSv5kgAAAAJ,US,Massachusetts Institute of Technology
DH Shoemaker,"Senior Research Scientist, Massachusetts Institute of Technology (MIT)",mit.edu,97659,Gravitational Wave detection,https://scholar.google.com/citations?hl=en&user=cxBrKTUAAAAJ,US,Massachusetts Institute of Technology
Gang Chen,"Professor, Mechanical Engineering, massachusetts institute of technology",mit.edu,93232,heat | energy | photovoltaic | electromagnetic | desalination,https://scholar.google.com/citations?hl=en&user=YLB6tnwAAAAJ,US,Massachusetts Institute of Technology
Prof. Jing Kong,Massachusetts Institute of Technology,mit.edu,89565,Low dimensional materials,https://scholar.google.com/citations?hl=en&user=w0iKa2kAAAAJ,US,Massachusetts Institute of Technology
Slawomir Gras,Massachusetts Institute of Technology - LIGO Laboratory,mit.edu,88786,Gravitational Waves | Precision Measurement,https://scholar.google.com/citations?hl=en&user=7GftUzMAAAAJ,US,Massachusetts Institute of Technology
Hsin-Yu Chen,"NASA Einstein Fellow, Massachusetts Institute of Technology",mit.edu,73891,Gravitational-wave astrophysics and …,https://scholar.google.com/citations?hl=en&user=6AYP1XwAAAAJ,US,Massachusetts Institute of Technology
Daniel G. Anderson,Massachusetts Institute of Technology,mit.edu,73204,biomaterials | gene delivery | nanomedicine,https://scholar.google.com/citations?hl=en&user=NM1dXVYAAAAJ,US,Massachusetts Institute of Technology
Sebastien Biscans,LIGO - Massachusetts Institute of Technology,ligo.mit.edu,72487,graviational waves | vibrations | controls | loss | earthquakes,https://scholar.google.com/citations?hl=en&user=Vr_XF-gAAAAJ,US,Massachusetts Institute of Technology
robert desimone,massachusetts institute of technology,mit.edu,69318,neuroscience,https://scholar.google.com/citations?hl=en&user=X4ajv-sAAAAJ,US,Massachusetts Institute of Technology
LH Tsai,Massachusetts Institute of Technology,mit.edu,68967,Neuroscience | Alzheimer's disease | iPSCs | gamma entrainment,https://scholar.google.com/citations?hl=en&user=riVGxxoAAAAJ,US,Massachusetts Institute of Technology
Cody Messick,Massachusetts Institute of Technology,mit.edu,68140,Gravitational Waves,https://scholar.google.com/citations?hl=en&user=yepgRwcAAAAJ,US,Massachusetts Institute of Technology
Steven Johnson,"Professor of Applied Mathematics and Physics, Massachusetts Institute of Technology",math.mit.edu,68004,,https://scholar.google.com/citations?hl=en&user=_MHaph0AAAAJ,US,Massachusetts Institute of Technology
Seth Lloyd,"Professor of Mechanical Engineering, Massachusetts Institute of Technology",mit.edu,67655,quantum computation | quantum information | quantum communication | complex systems,https://scholar.google.com/citations?hl=en&user=lyMGnwIAAAAJ,US,Massachusetts Institute of Technology
Sangeeta N. Bhatia,"… and Electrical Engineering and Computer Science, Massachusetts Institute of Technology",mit.edu,66950,Multiscale Regenerative Technologies,https://scholar.google.com/citations?hl=en&user=L-SoYz8AAAAJ,US,Massachusetts Institute of Technology
Maximiliano Isi,Massachusetts Institute of Technology,ligo.mit.edu,66417,Physics | Astrophysics,https://scholar.google.com/citations?hl=en&user=weJA8hIAAAAJ,US,Massachusetts Institute of Technology
Vladimir Bulovic,Massachusetts Institute of Technology,mit.edu,66216,,https://scholar.google.com/citations?hl=en&user=Br2CnUYAAAAJ,US,Massachusetts Institute of Technology
Jing Wang,Massachusetts Institute of Technology,mit.edu,62318,High energy physics,https://scholar.google.com/citations?hl=en&user=WZgmlGztGjkC,US,Massachusetts Institute of Technology
Kerry Emanuel,Massachusetts Institute of Technology,mit.edu,61845,Tropical Meteorology | Hurricanes | Tropical Cyclones | Climate,https://scholar.google.com/citations?hl=en&user=Z6eI_ZYAAAAJ,US,Massachusetts Institute of Technology
Timothy M.  Swager,Massachusetts Institute of Technology,MIT.edu,59629,Chemistry and Materials Science,https://scholar.google.com/citations?hl=en&user=hARTZn8AAAAJ,US,Massachusetts Institute of Technology
"Richard J. Cohen, MD, PhD","… Professor in Biomedical Engineering, Emeritus,  Massachusetts Institute of Technology",mit.edu,57230,Cardiovascular | Biomedical Engineering | Biomedical Physics,https://scholar.google.com/citations?hl=en&user=sLCH8H4AAAAJ,US,Massachusetts Institute of Technology
Earl K. Miller,"Picower Professor of Neuroscience, Massachusetts Institute of Technology",mit.edu,54622,neuroscience | cognitive science,https://scholar.google.com/citations?hl=en&user=hv8jgk8AAAAJ,US,Massachusetts Institute of Technology
Erich P. Ippen,"Professor, Massachusetts Institute of Technology",mit.edu,51351,optics and photonics,https://scholar.google.com/citations?hl=en&user=5RfBYzcAAAAJ,US,Massachusetts Institute of Technology
Neville Hogan,"Professor, Massachusetts Institute of Technology",mit.edu,49457,Robotics | Motor Neuroscience | Human-Robot Interaction,https://scholar.google.com/citations?hl=en&user=P7S5TY0AAAAJ,US,Massachusetts Institute of Technology
Graham C Walker,"American Cancer Society Professor, Massachusetts Institute of Technology",mit.edu,47492,Biology,https://scholar.google.com/citations?hl=en&user=dQDXoQsAAAAJ,US,Massachusetts Institute of Technology
