Albert Bandura,Stanford University,,851918,Psychology,https://scholar.google.com/citations?hl=en&user=muejNL8AAAAJ,US,Stanford University
John PA Ioannidis,"… of Medicine/Health Research & Policy/Biomedical Data Science/Statistics, Stanford Univ",stanford.edu,469980,meta-research | clinical epidemiology | evidence-based medicine | research methods | meta-analysis,https://scholar.google.com/citations?hl=en&user=JiiMY_wAAAAJ,US,Stanford University
Robert Tibshirani,"Professor of Biomedical Data Sciences, and  of  Statistics, Stanford University",stanford.edu,444064,Statistics | data science | Machine Learning,https://scholar.google.com/citations?hl=en&user=ZpG_cJwAAAAJ,US,Stanford University
James G. March,"Jack Steele Parker Professor of International Management, Emeritus at Stanford University",,324244,,https://scholar.google.com/citations?hl=en&user=tb8jS40AAAAJ,US,Stanford University
Trevor Hastie,"Professor of Statistics, Stanford University",stanford.edu,308193,Statistical learning and modeling | data mining | machine learning,https://scholar.google.com/citations?hl=en&user=tQVe-fAAAAAJ,US,Stanford University
Hannah Arendt,"Stanford, Princeton, Yale, University of Chicago, etc.",,305795,political theory | philosophy | political philosophy,https://scholar.google.com/citations?hl=en&user=CNsGZOYAAAAJ,US,Stanford University
Yi Cui,Stanford University,stanford.edu,253481,nanotechnology | energy | environment | 2D materials | nanobio,https://scholar.google.com/citations?hl=en&user=lNmR2vAAAAAJ,US,Stanford University
Josh Cogan,"PhD Physics, Stanford University",stanford.edu,237548,High Energy Physics | Machine Learning | Computational Chemistry | Remote Environmental Monitoring,https://scholar.google.com/citations?hl=en&user=_EPCKe0AAAAJ,US,Stanford University
Hongjie Dai,"Professor of chemistry, stanford university",stanford.edu,233569,chemistry | materials science | physics | nanotechnology,https://scholar.google.com/citations?hl=en&user=yWdvb8YAAAAJ,US,Stanford University
Kenneth J. Arrow,"Professor of Economics Emeritus, Stanford University",,233176,,https://scholar.google.com/citations?hl=en&user=Dn8X_gIAAAAJ,US,Stanford University
Kathleen M. Eisenhardt,"SW Ascherman MD Professor, Stanford University",stanford.edu,226757,strategy | organization theory | entrepreneurship | innovation | theory building,https://scholar.google.com/citations?hl=en&user=iTQHTwsAAAAJ,US,Stanford University
Andrew Ng,Stanford University,cs.stanford.edu,217178,Machine Learning | Deep Learning | AI,https://scholar.google.com/citations?hl=en&user=mG4imMEAAAAJ,US,Stanford University
Tatsumi Koi,Chubu University,slac.stanford.edu,215026,Simulation | High Energy Physics | Cosmic Ray Physics,https://scholar.google.com/citations?hl=en&user=CsO0RukAAAAJ,US,Stanford University
Wing To,"Postdoc Scholar, Stanford University",stanford.edu,208017,High Energy Physics | Particle Physics | Dark Matter Detection,https://scholar.google.com/citations?hl=en&user=82EU9NcAAAAJ,US,Stanford University
Patrick O. Brown,"Impossible Foods, Inc/Stanford University School of Medicine",impossiblefoods.com,207834,,https://scholar.google.com/citations?hl=en&user=XSTsbJ0AAAAJ,US,Stanford University
Katherine Flegal,"Consulting Professor, Stanford University",stanford.edu,206997,obesity | growth | misclassification | body weight,https://scholar.google.com/citations?hl=en&user=D7CrQZkAAAAJ,US,Stanford University
Christopher D Manning,"Professor of Computer Science and Linguistics, Stanford University",stanford.edu,205048,Natural Language Processing | Computational Linguistics | Deep Learning,https://scholar.google.com/citations?hl=en&user=1zmDOdwAAAAJ,US,Stanford University
James J. Gross,"Professor of Psychology, Stanford University",stanford.edu,189948,Emotion | Emotion Regulation,https://scholar.google.com/citations?hl=en&user=MlMKkPUAAAAJ,US,Stanford University
Li Fei-Fei,"Professor of Computer Science, Stanford University",cs.stanford.edu,188509,Artificial Intelligence | Machine Learning | Computer Vision | Neuroscience,https://scholar.google.com/citations?hl=en&user=rDfyQnIAAAAJ,US,Stanford University
Michael Snyder,Stanford University,stanford.edu,185765,Genetics | Omics | Proteomics | Medicine | Health,https://scholar.google.com/citations?hl=en&user=YZYne64AAAAJ,US,Stanford University
Mark Granovetter,"Department of Sociology, Stanford University",stanford.edu,182853,,https://scholar.google.com/citations?hl=en&user=OlKVqZ8AAAAJ,US,Stanford University
B Efron,"Professor of statistics,  Stanford University",stat.stanford.edu,178485,statistics | biostatistics | astrostatistics,https://scholar.google.com/citations?hl=en&user=duBlF_YAAAAJ,US,Stanford University
Mark Hlatky,"Professor of Health Research and Policy, Stanford University School of Medicine",stanford.edu,178025,Outcomes research | clinical trials | economic evaluation of cardiovascular …,https://scholar.google.com/citations?hl=en&user=LHr8MFgAAAAJ,US,Stanford University
Joshua A. Salomon,Stanford University,stanford.edu,168135,Infectious disease | decision science | policy modeling | global health | health policy,https://scholar.google.com/citations?hl=en&user=_fpPHVcAAAAJ,US,Stanford University
Jeffrey Pfeffer,"Thomas D. Dee II Professor of Organizational Behavior, Stanford University",stanford.edu,168133,organizational behavior | power in organizations | evidence-based management | human resources,https://scholar.google.com/citations?hl=en&user=vuPQD7sAAAAJ,US,Stanford University
Linda Darling-Hammond,"Professor of Education, Stanford University",,163286,school reform | educational equity | teaching quality,https://scholar.google.com/citations?hl=en&user=I0QihpsAAAAJ,US,Stanford University
Walter W. Powell,Stanford University,stanford.edu,162363,Sociology of organizations | economic sociology | networks | governance | institutions,https://scholar.google.com/citations?hl=en&user=ikW8nGQAAAAJ,US,Stanford University
Walter W (Woody) Powell,Stanford University,stanford.edu,160482,Organizations | economic sociology | science and technology studies,https://scholar.google.com/citations?hl=en&user=T7Q62kgAAAAJ,US,Stanford University
Carol Dweck,"Lewis and Virginia Eaton Professor of Psychology, Stanford University",,157438,,https://scholar.google.com/citations?hl=en&user=AW49xiMAAAAJ,US,Stanford University
Christopher B. Field,"Director, Woods Institute for the Environment, Stanford University",stanford.edu,148320,climate change | ecology | carbon cycle | leaf nitrogen,https://scholar.google.com/citations?hl=en&user=whhr40wAAAAJ,US,Stanford University
Gene H. Golub,Stanford University,,147784,,https://scholar.google.com/citations?hl=en&user=QXI6UgcAAAAJ,US,Stanford University
Emmanuel Candes,"The Simons Chair in Mathematics and Statistics, Stanford University",stanford.edu,146399,Applied mathematics | statistics | information theory | signal processing | mathematical optimization,https://scholar.google.com/citations?hl=en&user=nRQi4O8AAAAJ,US,Stanford University
Zhenan Bao,Stanford University,stanford.edu,145279,,https://scholar.google.com/citations?hl=en&user=4OLlInEAAAAJ,US,Stanford University
