George Lakoff,"Professor of Linguistics, University of California, Berkeley",berkeley.edu,243966,Linguistics | Cognitive Science | Politics | Law | Psychology,https://scholar.google.com/citations?hl=en&user=KEU0vpcAAAAJ,US,University of California Berkeley
Tsu-Jae,University of California at Berkeley,eecs.berkeley.edu,218334,semiconductor devices,https://scholar.google.com/citations?hl=en&user=SdBYB0wAAAAJ,US,University of California Berkeley
Paul Alivisatos,"President, University of Chicago; Professor Emeritus, UC Berkeley",berkeley.edu,184289,,https://scholar.google.com/citations?hl=en&user=uzbKuXAAAAAJ,US,University of California Berkeley
Alexei V. FILIPPENKO,"Professor of Astronomy, University of California, Berkeley",berkeley.edu,183239,supernovae | black holes | cosmology | quasars | astrophysics,https://scholar.google.com/citations?hl=en&user=dTpeWooAAAAJ,US,University of California Berkeley
Ross Levine,"Professor, University of California, Berkeley's Haas School of Business",haas.berkeley.edu,176340,finance | financial economics | economic growth | international economics | regulation,https://scholar.google.com/citations?hl=en&user=XizBm0kAAAAJ,US,University of California Berkeley
John W. Taylor,"Professor, University of California, Berkeley",berkeley.edu,161205,fungi | mycology | evolution | phylogeny,https://scholar.google.com/citations?hl=en&user=bMK_K2cAAAAJ,US,University of California Berkeley
Christina Maslach,"Professor of Psychology, University of California, Berkeley",berkeley.edu,153977,Job burnout | occupational health psychology,https://scholar.google.com/citations?hl=en&user=s5MnLWcAAAAJ,US,University of California Berkeley
Jean Frechet,"University of California, Berkeley",berkeley.edu,136431,Chemistry and Chemical engineering,https://scholar.google.com/citations?hl=en&user=cJ2B_K0AAAAJ,US,University of California Berkeley
Martin HEAD-GORDON,"Kenneth S. Pitzer Distinguished Professor, University of California, Berkeley",cchem.berkeley.edu,129936,quantum chemistry | electronic structure theory | theoretical chemistry | physical chemistry | catalysis,https://scholar.google.com/citations?hl=en&user=9Z52tZ4AAAAJ,US,University of California Berkeley
Steven G. Louie,"Professor of Physics, University of California at Berkeley",berkeley.edu,121558,Physics | Theoretical Physics | Condensed Matter Theory | Materials Science | Nanoscience,https://scholar.google.com/citations?hl=en&user=m0u9N18AAAAJ,US,University of California Berkeley
Loïc Wacquant,"Professor of Sociology, University of California, Berkeley",berkeley.edu,119288,sociology | punishment | social theory | embodiment | ethnography,https://scholar.google.com/citations?hl=en&user=6oyaJnoAAAAJ,US,University of California Berkeley
David CULLER,"University of California, Berkeley",berkeley.edu,110441,Systems | Networks | Embedded Computing | Architecture | Sustainability,https://scholar.google.com/citations?hl=en&user=urTiL7QAAAAJ,US,University of California Berkeley
