Goncalo Abecasis,University of Michigan School of Public Health,umich.edu,298194,Biostatistics | Human Genetics | Statistical Computing | Genetics | Complex Traits,https://scholar.google.com/citations?hl=en&user=t53jWtYAAAAJ,US,University of Michigan
Mark Newman,"Professor of Physics, University of Michigan",umich.edu,226747,Statistical Physics | Networks,https://scholar.google.com/citations?hl=en&user=rQ68pVwAAAAJ,US,University of Michigan
R. Bagozzi,"Professor of Behavioral Science in Management, University of Michigan",umich.edu,192788,Marketing | Management | social psychology | statistics | neuroscience,https://scholar.google.com/citations?hl=en&user=r4ZImFAAAAAJ,US,University of Michigan
Carl Bromberg,"Professor of Physics, Michigan State University",pa.msu.edu,191199,Physics,https://scholar.google.com/citations?hl=en&user=6IavpZkAAAAJ,US,University of Michigan
Daniel S Levin,University of Michigan,umich.edu,187699,High Energy Physics | Detector R&D,https://scholar.google.com/citations?hl=en&user=_cKTU2UAAAAJ,US,University of Michigan
Michael I. Posner,Prof Emeritus of psychology  University of Oregon,uoregon.edu,174980,attention,https://scholar.google.com/citations?hl=en&user=4X4X4xkAAAAJ,US,University of Michigan
Stephen R Forrest,"Professor, EECS, MS&E and Physics, University of Michigan",umich.edu,170059,optoelectronics,https://scholar.google.com/citations?hl=en&user=gAP-9H8AAAAJ,US,University of Michigan
Bjoern Penning,University of Michigan,umich.edu,157686,particle astrophysics | dark matter | cosmology | phenomenology,https://scholar.google.com/citations?hl=en&user=dyMcPTIAAAAJ,US,University of Michigan
Michael Boehnke,"Professor of Biostatistics, University of Michigan",umich.edu,156089,Statistical and computational human genetics … | complex traits | type 2 diabetes and related traits,https://scholar.google.com/citations?hl=en&user=nGgivIAAAAAJ,US,University of Michigan
Peter Reich,University of Minnesota and University of Michigan,umn.edu,149561,,https://scholar.google.com/citations?hl=en&user=mQmrfuIAAAAJ,US,University of Michigan
Gabriel Nuñez,"Paul de Kruif Professor of Pathology, University of Michigan Medical School",umich.edu,144416,Immunology | Innate Immunity | Microbiome | Microbiology | Inflammation,https://scholar.google.com/citations?hl=en&user=aJnM7c0AAAAJ,US,University of Michigan
Jeffrey M. Wooldridge,"University Distinguished Professor of Economics, Michigan State University",msu.edu,134158,econometrics | panel data | treatment effects | clustering | economics,https://scholar.google.com/citations?hl=en&user=faE3_ksAAAAJ,US,University of Michigan
Richard Nisbett,"Professor of Psychology, University of Michigan",umich.edu,119225,cognitive psychology | intelligence | reasoning | cultural psychology,https://scholar.google.com/citations?hl=en&user=lqg2Op8AAAAJ,US,University of Michigan
Daniel J. Klionsky,University of Michigan,umich.edu,116993,Autophagy,https://scholar.google.com/citations?hl=en&user=pGGjfS8AAAAJ,US,University of Michigan
Keith Riles,"Professor of Physics, University of Michigan",umich.edu,116647,general relativity | gravitational waves | elementary particles | astrophysics | cosmology,https://scholar.google.com/citations?hl=en&user=tSF6TrUAAAAJ,US,University of Michigan
Brahmajee K Nallamothu,University of Michigan,umich.edu,114729,Cardiovascular Medicine | Health Services and Outcomes Research,https://scholar.google.com/citations?hl=en&user=1mZ4KE0AAAAJ,US,University of Michigan
Haolu Feng,University of Michigan,umich.edu,112110,Particle Physics | High Energy Physics,https://scholar.google.com/citations?hl=en&user=pbLSoBgAAAAJ,US,University of Michigan
Albert Vernon Smith,University of Michigan,umich.edu,104996,Statistical Genetics | Genomics | Bioinformatics,https://scholar.google.com/citations?hl=en&user=8b-433kAAAAJ,US,University of Michigan
Markus Schwaiger,"UCLA,University of Michigan,Technische Universität München",tum.de,97071,medicine | molecular imaging | nuclear medicine | radiology,https://scholar.google.com/citations?hl=en&user=SIX8mfUAAAAJ,US,University of Michigan
David W. Gerdes,"Professor and Chair, Department of Physics, Professor of Astronomy, University of Michigan",umich.edu,96207,solar system populations and dynamics | cosmology | elementary particle physics,https://scholar.google.com/citations?hl=en&user=LxqjDVQAAAAJ,US,University of Michigan
Robert Axelrod,University of Michigan,umich.edu,95499,,https://scholar.google.com/citations?hl=en&user=eotJ3pwAAAAJ,US,University of Michigan
Michael D. Cohen,"… Professor of Complex Systems, Information & Public Policy, The University of Michigan",umich.edu,95089,organization theory,https://scholar.google.com/citations?hl=en&user=hJDspasAAAAJ,US,University of Michigan
Christopher Peterson,"Professor of Psychology, University of Michigan",umich.edu,94063,positive psychology,https://scholar.google.com/citations?hl=en&user=GcLxtZAAAAAJ,US,University of Michigan
Matthew Corriere,University of Michigan,med.umich.edu,93656,peripheral artery disease | treatment selection | renal artery stenosis | risk assessment | preference elicitation,https://scholar.google.com/citations?hl=en&user=ew_MbD0AAAAJ,US,University of Michigan
Mark I Johnson,"Professor of Pain and Analgesia, leeds metropolitan university",leedsbeckett.ac.uk,91133,Pain,https://scholar.google.com/citations?hl=en&user=55gsOuoAAAAJ,US,University of Michigan
Gary D. Westfall,"Michigan State University, Lawrence Berkeley Laboratory, University of Texas",nscl.msu.edu,89493,Physics,https://scholar.google.com/citations?hl=en&user=pMchlccAAAAJ,US,University of Michigan
Anna Lok,University of Michigan,umich.edu,87985,Medicine | liver diseases | viral hepatitis,https://scholar.google.com/citations?hl=en&user=79l6WlQAAAAJ,US,University of Michigan
Shinobu Kitayama,"Robert B. Zajonc Collegiate Professor of Psychology, University of Michigan",umich.edu,83346,Psychology | Social Psychology | Social Neuroscience | Emotion | Culture,https://scholar.google.com/citations?hl=en&user=mWGwXc0AAAAJ,US,University of Michigan
Kent C Berridge,"… Distinguished University Professor of Psychology and Neuroscience, University of Michigan",umich.edu,79986,psychology | neuroscience | motivation | emotion | addiction,https://scholar.google.com/citations?hl=en&user=WIRQRN8AAAAJ,US,University of Michigan
Roderick Little,"Professor of Biostatistics and Statistics, University of Michigan",umich.edu,79921,Statistics | Biostatistics,https://scholar.google.com/citations?hl=en&user=gj7OdjcAAAAJ,US,University of Michigan
Franco Nori,"Chief Scientist at RIKEN.  Also, at the University of Michigan.",umich.edu,79811,quantum optics | quantum information | superconductivity | circuit QED | condensed matter physics,https://scholar.google.com/citations?hl=en&user=SRUYLREAAAAJ,US,University of Michigan
Nicole B. Ellison,"Professor, School of Information, University of Michigan",umich.edu,77304,Computer-mediated communication | Social Network Sites | Social Media | Facebook | Online Dating,https://scholar.google.com/citations?hl=en&user=P0XTYBEAAAAJ,US,University of Michigan
Stanley J. Watson,University of Michigan,med.umich.edu,76006,Neuroscience | anatomy | brain | mental Illness,https://scholar.google.com/citations?hl=en&user=mpceHBAAAAAJ,US,University of Michigan
Drzal,"Professor of Chemical Engineering and Materials Science, Michigan State University",egr.msu.edu,75279,adhesion | carbon fibers | graphene | graphite nanoplatelets | composites,https://scholar.google.com/citations?hl=en&user=Hrkh_gsAAAAJ,US,University of Michigan
Cristen J. Willer,"Associate Professor of Internal Medicine (Cardiovascular Medicine), University of Michigan",umich.edu,74390,Genetics basis of cardiovascular diseases | lipid levels | genome wide association | whole genome and exome sequencing,https://scholar.google.com/citations?hl=en&user=Br2j5IMAAAAJ,US,University of Michigan
David G Beer,University of Michigan,umich.edu,74282,,https://scholar.google.com/citations?hl=en&user=A8ynQbQAAAAJ,US,University of Michigan
Thomas Dietz,"University Distinguished Professor of Sociology, Michigan State University",msu.edu,74274,climate change | human ecology | environmental sociology | macro energy systems,https://scholar.google.com/citations?hl=en&user=fOeXgzYAAAAJ,US,University of Michigan
Huda Akil,"Professor, U. Of Michigan",umich.edu,74205,Neuroscience,https://scholar.google.com/citations?hl=en&user=0KMz6P0AAAAJ,US,University of Michigan
David G. Beer,"Professor Emeritus, University of Michigan",umich.edu,74167,,https://scholar.google.com/citations?hl=en&user=rfc7NW0AAAAJ,US,University of Michigan
Andrew Eppig,University of Michigan,umich.edu,73283,High Energy Particle Physics,https://scholar.google.com/citations?hl=en&user=zS-bU6EAAAAJ,US,University of Michigan
Deborah Loewenberg Ball,University of Michigan,umich.edu,72528,teacher education | mathematics education,https://scholar.google.com/citations?hl=en&user=qdho5P0AAAAJ,US,University of Michigan
Deborah Loewenberg Ball,University of Michigan,umich.edu,72528,teaching quality | teacher education | mathematics instruction | policy,https://scholar.google.com/citations?hl=en&user=5uCjlbgAAAAJ,US,University of Michigan
Nicholas A. Kotov,University of Michigan,umich.edu,72028,Nanomaterials | Self-Assembly,https://scholar.google.com/citations?hl=en&user=0ubtgRQAAAAJ,US,University of Michigan
John Jonides,University of Michigan,umich.edu,71618,Cognitive Neuroscience,https://scholar.google.com/citations?hl=en&user=TEBGHYAAAAAJ,US,University of Michigan
Mi-Young Kim,"Professor of Mathematics, Inha University",inha.ac.kr,68376,Mathematical Biology | FEM,https://scholar.google.com/citations?hl=en&user=ShmtBPIAAAAJ,US,University of Michigan
Juan E. Peralta,"… of Physics and Science of Advanced Materials Program, Central Michigan University",cmich.edu,68367,Electronic Structure | Quantum Chemistry | Computational Condensed Matter | Materials Science | Molecular Magnetism,https://scholar.google.com/citations?hl=en&user=A-XTef8AAAAJ,US,University of Michigan
naomi breslau,"Professor of Epidemiology, Michigan State University",msu.edu,67306,psychiatric disorder | PTSD | smoking,https://scholar.google.com/citations?hl=en&user=nAoxTAUAAAAJ,US,University of Michigan
George A. Kaplan,University of Michigan,umich.edu,65706,epidemiology | health | inequality | psychosocial | aging,https://scholar.google.com/citations?hl=en&user=17tQJxwAAAAJ,US,University of Michigan
Timothy McKay,"Professor of Physics, Astronomy, & Education, University of Michigan",umich.edu,65491,Cosmology | Galaxy Clusters | Learning Analytics,https://scholar.google.com/citations?hl=en&user=fRjSWV8AAAAJ,US,University of Michigan
Jon D. Miller,University of Michigan,umich.edu,63677,attitudes,https://scholar.google.com/citations?hl=en&user=TH0g3tAAAAAJ,US,University of Michigan
Shawn McKee,University of Michigan,umich.edu,63603,Physics | Astrophysics | High Energy Physics | Networking | Grids,https://scholar.google.com/citations?hl=en&user=u7zkNcYAAAAJ,US,University of Michigan
James C. Anthony (calling name = Jim),"Professor of Epidemiology& Biostatistics, Michigan State University",msu.edu,63572,neuropsychiatric epidemiology | drug dependence epidemiology | methodology | psychopathology,https://scholar.google.com/citations?hl=en&user=AqyiyhMAAAAJ,US,University of Michigan
Hyun Min Kang,"Professor of Biostatistics, University of Michigan, Ann Arbor",umich.edu,60404,Genome Science | Statistical Genetics | Single Cell Genomics | Computational Genetics | Human Genetics,https://scholar.google.com/citations?hl=en&user=8e0jy0IAAAAJ,US,University of Michigan
Patrick D. Schloss,"… G Novy Collegiate Professor of Microbiology & Immunology, University of Michigan",umich.edu,59886,Microbiome | microbial ecology | bioinformatics,https://scholar.google.com/citations?hl=en&user=xswWwaMAAAAJ,US,University of Michigan
Kim Cameron,"Professor, University of Michigan",umich.edu,59864,Organizations,https://scholar.google.com/citations?hl=en&user=F8UUbq4AAAAJ,US,University of Michigan
Eric Bell,"Arthur F. Thurnau Professor of Astronomy and in the Honors College, University of Michigan",umich.edu,59782,galaxy growth and evolution,https://scholar.google.com/citations?hl=en&user=MUWpNzcAAAAJ,US,University of Michigan
Jonathan Overpeck,"School For Environment and Sustainability, University of Michigan",umich.edu,59780,climate | vegetation | drought | adaptation | environmental education and engagement,https://scholar.google.com/citations?hl=en&user=msI9uioAAAAJ,US,University of Michigan
Lloyd D. Johnston,University of Michigan,umich.edu,59731,alcohol use | cigarette use | drug use | childhood obesity,https://scholar.google.com/citations?hl=en&user=wGVjaV4AAAAJ,US,University of Michigan
Terry E. Robinson,"Distinguished University Professor of Psychology & Neuroscience, University of Michigan",umich.edu,59424,behavioral neuroscience | neuropsychopharmacology | addiction | neuroscience | dopamine,https://scholar.google.com/citations?hl=en&user=dwHDUDsAAAAJ,US,University of Michigan
Thomas J. Giordano,"Professor of Pathology & Internal Medicine, University of Michigan",umich.edu,59279,Endocrine Pathology | Cancer Genomics,https://scholar.google.com/citations?hl=en&user=eLAM5ikAAAAJ,US,University of Michigan
