Douglas G Altman,"Centre for Statistics in Medicine, University of Oxford",csm.ox.ac.uk,826951,biostatistics | statistics | medical statistics,https://scholar.google.com/citations?hl=en&user=_QnLm3kAAAAJ,UK,University of Oxford
Andrew Zisserman,University of Oxford,robots.ox.ac.uk,332272,Computer Vision | Machine Learning,https://scholar.google.com/citations?hl=en&user=UZ5wscMAAAAJ,UK,University of Oxford
daniela bortoletto,"Professor of Physics, University of Oxford",cern.ch,291836,Particle Physics,https://scholar.google.com/citations?hl=en&user=UKQUorEAAAAJ,UK,University of Oxford
Derrick A. Bennett,"Senior Statistician, CTSU, Nuffield Department of Population Health, University of Oxford",ndph.ox.ac.uk,240138,epidemiology | clinical trials | public health,https://scholar.google.com/citations?hl=en&user=jnoUSi8AAAAJ,UK,University of Oxford
Cornelia M van Duijn,University of Oxford,ndph.ox.ac.uk,219653,,https://scholar.google.com/citations?hl=en&user=tL6NhYgAAAAJ,UK,University of Oxford
Peter Jüni,"Professor of Medicine and Clinical Trials, University of Oxford",ndph.ox.ac.uk,198525,Clinical Epidemiology | Epidemiology | Cardiology | Clinical Trials | Meta-Analysis,https://scholar.google.com/citations?hl=en&user=9CS0ysIAAAAJ,UK,University of Oxford
Peter Rothwell,University of Oxford,clneuro.ox.ac.uk,186623,TIA | stroke | hypertension | aspirin | randomised trials,https://scholar.google.com/citations?hl=en&user=vuOV-B0AAAAJ,UK,University of Oxford
David R Matthews,"Professor of Diabetes, University of Oxford",ocdem.ox.ac.uk,180828,diabetes | insulin resistance | beta-cell function | therapeutics | clinical trials,https://scholar.google.com/citations?hl=en&user=IMA74wYAAAAJ,UK,University of Oxford
Adrian L Harris,"Professor of Medical Oncology, Oxford University",oncology.ox.ac.uk,170364,Breast cancer | angiogenesis | hypoxia | metabolism,https://scholar.google.com/citations?hl=en&user=3yT6IX4AAAAJ,UK,University of Oxford
Robert M May,"Professor of Zoology, University of Oxford",zoo.ox.ac.uk,159991,Ecology and Environment | Financial Systems.,https://scholar.google.com/citations?hl=en&user=ScXat-4AAAAJ,UK,University of Oxford
Nicholas White,"Professor of Tropical Medicine, Mahidol and Oxford Universities",tropmedres.ac,158916,tropical medicine | infectious diseases,https://scholar.google.com/citations?hl=en&user=nEBI9MgAAAAJ,UK,University of Oxford
giulia manca,"University of Oxford, University of Liverpool, University of Cagliari, INFN ",cern.ch,156452,Physics | Astronomy | Computing,https://scholar.google.com/citations?hl=en&user=HcbxKJwAAAAJ,UK,University of Oxford
Subir Sarkar,"Professor of Physics, University of Oxford",physics.ox.ac.uk,152032,Astroparticle Physics | Cosmology | Dark Matter | Neutrino Physics,https://scholar.google.com/citations?hl=en&user=LjCUUW0AAAAJ,UK,University of Oxford
Brian Foster,University of Hamburg/DESY/University of Oxford,physics.ox.ac.uk,147954,Particle Physics,https://scholar.google.com/citations?hl=en&user=xiUTD50AAAAJ,UK,University of Oxford
Colin Baigent,"Professor of Epidemiology, Oxford University",ctsu.ox.ac.uk,136371,Clinical trials | Epidemiology | Cardiovascular Disease | Meta-analysis,https://scholar.google.com/citations?hl=en&user=yxxG-aQAAAAJ,UK,University of Oxford
Karolos Potamianos,"Ernest Rutherford Fellow, University of Oxford (UK)",cern.ch,131822,Particle Physics,https://scholar.google.com/citations?hl=en&user=yXPkngcAAAAJ,UK,University of Oxford
alan silman,"Professor of Musculoskeletal Health, Oxford University",ndorms.ox.ac.uk,126594,musculoskeletal disease,https://scholar.google.com/citations?hl=en&user=_doSQzAAAAAJ,UK,University of Oxford
