Webb Miller,"Penn State University, UC Santa Barbara, Arizona",bx.psu.edu,253549,genomics | bioinformatics | evolution,https://scholar.google.com/citations?hl=en&user=k9T3V7EAAAAJ
Penny Kris-Etherton,"Distinguished Professor of Nutrition, Penn State University",psu.edu,144558,Cardiovascular Nutrition,https://scholar.google.com/citations?hl=en&user=95tLoscAAAAJ
Donald C. Hambrick,"Smeal Chaired Professor of Management, The Pennsylvania State University",psu.edu,101846,Not Mentioned,https://scholar.google.com/citations?hl=en&user=b7ii_-QAAAAJ
Bangalore Sathyaprakash,Penn State University and Cardiff University,astro.cf.ac.uk,99666,Gravitational waves and cosmology,https://scholar.google.com/citations?hl=en&user=WGGlLPEAAAAJ
Mark Greenberg,Pennsylvania State University,psu.edu,89884,Psychology | Education,https://scholar.google.com/citations?hl=en&user=Lsq0FzkAAAAJ
Ross C. Hardison,"Professor of Biochemistry and Molecular Biology, The Pennsylvania State University",psu.edu,74149,Genomics | Gene Regulation | Molecular Genetics | Molecular Evolution | Biochemistry,https://scholar.google.com/citations?hl=en&user=waPNWUYAAAAJ
Peter Mészáros,Pennsylvania State University,psu.edu,66935,High energy and particle astrophysics,https://scholar.google.com/citations?hl=en&user=G3LD0hwAAAAJ
Patrick T. Terenzini,Penn State University,psu.edu,63202,College students,https://scholar.google.com/citations?hl=en&user=4sLdaCgAAAAJ
Paul R. Amato,"Department of Sociology, Penn State University",psu.edu,62046,Not Mentioned,https://scholar.google.com/citations?hl=en&user=cJx9Xe8AAAAJ
William Nielsen Brandt,"Professor of Astronomy & Astrophysics, Penn State University",psu.edu,61046,Active Galactic Nuclei | Quasars | Supermassive Black Holes | Cosmic Surveys | Astrophysics,https://scholar.google.com/citations?hl=en&user=PdeNhwQAAAAJ
Elizabeth J. Tisdell,Penn State University,psu.edu,57513,spirituality and culture in adult education | medical education | diversity and equity,https://scholar.google.com/citations?hl=en&user=3X5fXncAAAAJ
C Lee Giles,Pennsylvania State University,psu.edu,55354,Information extraction | search engines | information retrieval | deep learning | digital libraries,https://scholar.google.com/citations?hl=en&user=sAkg9T8AAAAJ
Dennis A Gioia,The Pennsylvania State University,psu.edu,51823,Not Mentioned,https://scholar.google.com/citations?hl=en&user=bjYIwrIAAAAJ
John M. Carroll,"… Professor of Information Sciences and Technology, Pennsylvania State University",ist.psu.edu,49972,Human-Computer Interaction | Computer-Supported Collaborative Work | Community Informatics | Design Research | Learning Science,https://scholar.google.com/citations?hl=en&user=7Mg8JZMAAAAJ
Jonathan Eaton,"Distingusihed Professor of Economics, Pennsylvania State University",psu.edu,46390,international economics,https://scholar.google.com/citations?hl=en&user=Ut5kefIAAAAJ
Michael E. Mann,Penn State University,psu.edu,44376,Earth science | climate | model/data comparison | science communication,https://scholar.google.com/citations?hl=en&user=KrRw4RIAAAAJ
Raj Mittra,"Professor, Penn State University",ieee.org,43946,Electromagnetics,https://scholar.google.com/citations?hl=en&user=FgqI6J0AAAAJ
Thomas R Shrout,The Pennsylvania State University,psu.edu,40972,Ferroelectrics | Dielectrics | Crystal | Ceramic,https://scholar.google.com/citations?hl=en&user=bADmNvsAAAAJ
Kathryn Schmitz,Penn State University,phs.psu.edu,40966,Exercise Oncology,https://scholar.google.com/citations?hl=en&user=OyycrDAAAAAJ
Stephen Benkovic,"Eberly Chair in Chemistry, Penn State Univ.",psu.edu,40964,Enzymology,https://scholar.google.com/citations?hl=en&user=L8TQSXgAAAAJ
James Kasting,"Evan Pugh Professor of Geosciences, Penn State University",psu.edeu,40372,Astrobiology | Atmospheric and climate evolution | Planetary science,https://scholar.google.com/citations?hl=en&user=BBirnGIAAAAJ
John Collins,"Distingushed Professor Emeritus of Physics, Penn State University",psu.edu,40030,QCD | neuroscience,https://scholar.google.com/citations?hl=en&user=6QRf9u4AAAAJ
Chao-Yang Wang,The Pennsylvania State University,psu.edu,39704,battery | fuel cell,https://scholar.google.com/citations?hl=en&user=Bd5ItT8AAAAJ
Adri van Duin,"Distinguished Professor of Mechanical Engineering, Penn State University",psu.edu,39613,ReaxFF | Computational chemistry | combustion | catalysis | material failure,https://scholar.google.com/citations?hl=en&user=4yr5dRcAAAAJ
John W. Graham,"Emeritus Professor of Biobehavioral Health, Penn State University",psu.edu,39138,missing data analysis | prevention research | evaluation research,https://scholar.google.com/citations?hl=en&user=Oiw7kDwAAAAJ
John D. McCarthy,"Professor of Sociology, Penn State University",psu.edu,38661,Social Movements | Media studies,https://scholar.google.com/citations?hl=en&user=NEWkJxoAAAAJ
Jonathan Lynch,The Pennsylvania State University,psu.edu,38507,Not Mentioned,https://scholar.google.com/citations?hl=en&user=JAVu1EsAAAAJ
Richard B. Alley,"… , and Earth and Environmental Systems Institute, The Pennsylvania State University",psu.edu,37515,Glaciology,https://scholar.google.com/citations?hl=en&user=O3fmcCAAAAAJ
Hong Ma,"… of Biology, the Huck Institutes of the Life Sciences, the Pennsylvania State University",psu.edu,36721,Plant Development and Evolution,https://scholar.google.com/citations?hl=en&user=faf4KrwAAAAJ
Mark Latash,"Professor of Kinesiology, The Pennsylvania State University",psu.edu,36532,motor control | biomechanics | movement disorders,https://scholar.google.com/citations?hl=en&user=qZLQp6UAAAAJ
Claude dePamphilis,"Professor of Biology, Penn State University",psu.edu,36102,Evolutionary and Functional Genomics | Parasitic Plants | Horizontal Gene Transfer | Polyploidy | Early angiosperms,https://scholar.google.com/citations?hl=en&user=K8hgy4cAAAAJ
Karen Bierman,"Evan Pugh University Professor, The Pennsylvania State University",psu.edu,36054,child development | peer relations | violence prevention | school readiness,https://scholar.google.com/citations?hl=en&user=Xg9H9jsAAAAJ
Jason Wright,"Professor of Astronomy & Astrophysics, Penn State University",psu.edu,34856,Exoplanets | Stellar Astrophysics | SETI,https://scholar.google.com/citations?hl=en&user=lEUxaaIAAAAJ
Miguel Mostafa,"Professor of Physics, Pennsylvania State University",psu.edu,34470,experimental particle astrophysics,https://scholar.google.com/citations?hl=en&user=pNfp1BsAAAAJ
James Connor,"Professor of Neurosurgery, Penn State University",hmc.psu.edu,34425,brain iron metabolism | mechanisms of iron homeostasis in the brain,https://scholar.google.com/citations?hl=en&user=hnq6X-oAAAAJ
jh tumlinson,"Professor of Entomology, Penn State University",psu.edu,34055,entomology | chemical ecology | biochemistry | insect behavior | analytical chemistry,https://scholar.google.com/citations?hl=en&user=daNjUxwAAAAJ
Kenji Uchino,"Professor of EE, MatSE, Penn State University",psu.edu,33938,piezoelectric actuators | ferroelectric devices | ultrasonic motors & transformers | FEM & micromechatronics | CAV,https://scholar.google.com/citations?hl=en&user=aMZf7PUAAAAJ
QM Zhang,Penn State University,psu.edu,33700,Not Mentioned,https://scholar.google.com/citations?hl=en&user=nCqndmUAAAAJ
Robert K. Selander,"Eberly Professor in Biology Emeritus, Pennsylvania State University (deceased)",austin.utexas.edu,33227,Evolutionary biology | Population genetics,https://scholar.google.com/citations?hl=en&user=N33bd8oAAAAJ
Suresh Canagarajah,Pennsylvania State University,psu.edu,32485,applied linguistics | rhetoric and composition | multilingual writing,https://scholar.google.com/citations?hl=en&user=wfRV3v0AAAAJ
Susan Brantley,Pennsylvania State University,psu.edu,32482,geochemistry,https://scholar.google.com/citations?hl=en&user=J74Dmc4AAAAJ
Daniel J. Cosgrove,"Professor of Biology, Penn State University",psu.edu,32195,plant cell walls | cell growth | expansins | expansin structure and evolution,https://scholar.google.com/citations?hl=en&user=85KkItgAAAAJ
