"Melissa A. Polusny, PhD",Minneapolis VA Health Care System and University of Minnesota Medical Center,va.gov,13860,Post-traumatic Stress Disorder (PTSD) | military service members | combat veterans | resilience,https://scholar.google.com/citations?hl=en&user=g4lXv-IAAAAJ
Shuzhong Zhang,"Professor of Industrial and Systems Engineering, University of Minnesota",umn.edu,13075,Optimization | Operations Research | Economics Theory,https://scholar.google.com/citations?hl=en&user=lAh6UBsAAAAJ
Khalil Ahmed PhD,Minneapolis VA Health Care System and University of Minnesota,umn.edu,10415,Protein kinases | prostate cancer | cancer biology,https://scholar.google.com/citations?hl=en&user=HO7dercAAAAJ
Orly Vardeny,Minneapolis VA Health Care System and University of Minnesota,umn.edu,10323,Heart Failure,https://scholar.google.com/citations?hl=en&user=8ry1BAsAAAAJ
Scott Sponheim,Minneapolis VA Health Care System / University of Minnesota,umn.edu,9455,Severe Psychopathology | TBI | Electrophysiology | Neuroimaging | Genetics,https://scholar.google.com/citations?hl=en&user=B2d8ISgAAAAJ
Siamak Noorbaloochi,"… , VA Health Care System, Professor, Department of Medicine, University of Minnesota",va.gov,6449,Statistics | medicine | dimension reduction | bias reduction | decision theory,https://scholar.google.com/citations?hl=en&user=yaTgHNsAAAAJ
Susan Diem,University of Minnesota and Minneapolis VA Health Care System,umn.edu,5782,Chronic disease epidemiology | clinical trials | pharmacoepidemiology | osteoporosis | menopause,https://scholar.google.com/citations?hl=en&user=pyN4FEYAAAAJ
Dahui Li,"Professor of Management Information Systems, University of Minnesota Duluth",d.umn.edu,5425,Innovation | Online Communities | Platform Technologies | Decision Making,https://scholar.google.com/citations?hl=en&user=xc39Ng8AAAAJ
Laura A Meis,"Minneapolis VA Health Care System, University of Minnesota",va.gov,2912,PTSD | couples,https://scholar.google.com/citations?hl=en&user=UFnX8JcAAAAJ
Dimitri Drekonja,Minneapolis VA Health Care System; University of Minnesota,umn.edu,2785,Not Mentioned,https://scholar.google.com/citations?hl=en&user=rFMhebcAAAAJ
Ken M. Kunisaki,"… Professor, University of Minnesota; Staff Physician, MInneapolis VA Healthcare System",umn.edu,2458,COPD | HIV | Sleep Medicine,https://scholar.google.com/citations?hl=en&user=3Uy1Vw8AAAAJ
Janeen H. Trembley,Minneapolis VA Health Care System and University of Minnesota,umn.edu,2392,kinase signaling | cancer,https://scholar.google.com/citations?hl=en&user=PZ-tmUsAAAAJ
Axel Garcia y Garcia,"Associate Professor, Sustainable Cropping Systems, University of Minnesota",umn.edu,2277,Agronomy | cropping systems | rainfed agriculture | irrigated agriculture | crop modeling,https://scholar.google.com/citations?hl=en&user=alKENjwAAAAJ
Kevin Leder,"Associate Professor of Industrial and Systems Engineering, University of Minnesota",umn.edu,1458,Not Mentioned,https://scholar.google.com/citations?hl=en&user=FaIBK-QAAAAJ
Shaun Kennedy,"Associate Professor of Food Systems (adjunct), University of Minnesota",foodsysteminstitute.com,1251,food and agriculture systems | public health | infectious disease,https://scholar.google.com/citations?hl=en&user=0V6ik4sAAAAJ
Tasha Marie Nienow,"… , Minneapolis VA Health Care System,  Assistant Professor, University of Minnesota",va.gov,844,schizophrenia | social cognition | cognitive remediation | neuromodulation | family psychoeducation,https://scholar.google.com/citations?hl=en&user=vtxjiVcAAAAJ
Matylda N. Guzik,"Department of Technology Systems, University of Oslo",its.uio.no,830,energy materials | energy storage | hydrogen | crystallography | powder X-ray and neutron diffraction,https://scholar.google.com/citations?hl=en&user=vPtf4wMAAAAJ
Yiling Zhang,"Assistant Professor of Industrial and Systems Engineering, University of Minnesota",umn.edu,565,Stochastic Program | Integer Program | Power Systems | Transportation,https://scholar.google.com/citations?hl=en&user=Dpd9EKsAAAAJ
MN Najafi,"Professor of Complex Systems, University of Akron, Akron, USA",uakron.edu,506,Complex systems | Conformal Field Theory | Statistical Field Theory,https://scholar.google.com/citations?hl=en&user=kCAR85oAAAAJ
