"Pekka Sinervo, FRSC","Professor of Physics, University of Toronto",utoronto.ca,355030,Elementary Particle Physics,https://scholar.google.com/citations?hl=en&user=k9L6jPYAAAAJ
Alex Krizhevsky,University of Toronto,cs.toronto.edu,201434,Machine Learning,https://scholar.google.com/citations?hl=en&user=xegzhJcAAAAJ
Jimmy Ba,University of Toronto,cs.toronto.edu,158727,Neural Networks | Artificial Intelligence | Machine Learning | Deep Learning,https://scholar.google.com/citations?hl=en&user=ymzxRhAAAAAJ
Lawrence Leiter,University of Toronto,smh.ca,151833,Diabetes | Lipids,https://scholar.google.com/citations?hl=en&user=kOdHgcAAAAAJ
John C Marshall,"Professor of Surgery, University of Toronto",unityhealth.to,149335,Sepsis | Innate Immunity | Apoptosis | Clinical Trials | Critical Care Medicine,https://scholar.google.com/citations?hl=en&user=JunBXVUAAAAJ
Anthony E Lang,University of Toronto,uhnres.utoronto.ca,147241,Neuroscience,https://scholar.google.com/citations?hl=en&user=xm1qBO0AAAAJ
David C. Bailey,University of Toronto,physics.utoronto.ca,125920,high energy physics | uncertainty,https://scholar.google.com/citations?hl=en&user=TdxMocsAAAAJ
Endel Tulving,"University Professor Emeritus, University of Toronto",psych.utoronto.ca,115590,Cognitive Neuroscience,https://scholar.google.com/citations?hl=en&user=OxmLLMEAAAAJ
"Scherer, Stephen W.","… Hospital for Sick Children, Genetics and Genome Biology Program, University of Toronto",sickkids.ca,114987,ORCID: 0000-0002-8326-1999 | Web of Science ResearcherID: B-3785-2013,https://scholar.google.com/citations?hl=en&user=NKTqN4IAAAAJ
Edward Sargent,University of Toronto,utoronto.ca,114476,Electrocatalysis | renewable fuels | quantum dots | perovskites | materials chemistry,https://scholar.google.com/citations?hl=en&user=-2OhI8YAAAAJ
J. Richard Bond,"Professor, Canadian Institute for Theoretical Astrophysics, University of Toronto",cita.utoronto.ca,112363,cosmology | astrophysics | particle theory | nuclear physics,https://scholar.google.com/citations?hl=en&user=bKrJyyUAAAAJ
Marshall Herbert McLuhan,"Professor of Literature, St. Michael's College, University of Toronto",maastrichtuniversity.nl,111877,Literature studies | Media theory,https://scholar.google.com/citations?hl=en&user=kC6Jz4sAAAAJ
Frank Silver,University of Toronto,uhn.ca,111085,Not Mentioned,https://scholar.google.com/citations?hl=en&user=X8cLKAgAAAAJ
Alex Graves,University of Toronto,cs.toronto.edu,105957,Artificial Intelligence | Recurrent Neural Networks | Handwriting Recognition | Speech recognition,https://scholar.google.com/citations?hl=en&user=DaFHynwAAAAJ
Janet Rossant,University of Toronto,sickkids.ca,95925,Developmental biology | stem cells | genetics,https://scholar.google.com/citations?hl=en&user=abY9aJ0AAAAJ
Ming Tsao,"… of Laboratory Medicine and Pathobiology, University of Toronto, Senior Scientist and …",uhn.ca,95877,molecular pathology | lung cancer | translational research | pancreatic cancer,https://scholar.google.com/citations?hl=en&user=3LIrYNwAAAAJ
Richard Florida,"University of Toronto, Rotman School of Management",creativeclass.com,92483,Economic Geography | Urban Planning | Regional Science | Social Science,https://scholar.google.com/citations?hl=en&user=txVF2DsAAAAJ
Steven Gallinger,"Professor of Surgery, University of Toronto",utoronto.ca,89265,Surgery | Cancer | Genomics,https://scholar.google.com/citations?hl=en&user=VAYy04wAAAAJ
gary latham,University of Toronto,rotman.utoronto.ca,88071,organizational psychology | industrial psychology | human resource management,https://scholar.google.com/citations?hl=en&user=ovlcir4AAAAJ
Allan H. MacDonald,"University of Texas Austin, Indiana University, NRC Canada, U of Toronto",physics.utexas.edu,87487,Theoretical Condensed Matter Physics | Condensed Matter Theory | Nanoelectronics | AMO physics | Nanoscience,https://scholar.google.com/citations?hl=en&user=wd6tu0IAAAAJ
Kathleen I. Pritchard,"Professor, Division of Medical Oncology, University of Toronto",sunnybrook.ca,87149,Adjuvant Therapy for Breast Cancer | Endocrine Therapy for Breast Cancer | … and Translational Research in Breast Cancer,https://scholar.google.com/citations?hl=en&user=3AGo6DUAAAAJ
Keith E. Stanovich,"Applied Psychology, University of Toronto",utoronto.ca,86797,Cognitive Psychology | Reasoning | Decision Making | Educational Psychology | Reading,https://scholar.google.com/citations?hl=en&user=jWRPvwkAAAAJ
Antoine Bechara,"University of Southern California, University of Iowa, University of Toronto",usc.edu,83969,Not Mentioned,https://scholar.google.com/citations?hl=en&user=MSG13WIAAAAJ
Shaun Goodman,"St Michael's Hospital, University of Toronto",unityhealth.to,83771,Cardiology,https://scholar.google.com/citations?hl=en&user=htFqhSkAAAAJ
Laurie J Morrison,University of Toronto,unityhealth.to,81440,resuscitation,https://scholar.google.com/citations?hl=en&user=AFbepXoAAAAJ
Daniel J. Drucker,"Lunenfeld-Tanenbaum Research Institute, Mt. Sinai Hospital, University of Toronto",lunenfeld.ca,81263,Gut hormones | Endocrinology | Diabetes | GLP-1,https://scholar.google.com/citations?hl=en&user=xmFOoRYAAAAJ
Jim Cummins,University of Toronto,utoronto.ca,81116,Education | Language | Bilingualism,https://scholar.google.com/citations?hl=en&user=UWPeriIAAAAJ
James L Kennedy,"Professor of Psychiatry, Centre for Addiction and Mental Health, University of Toronto",camh.ca,78615,psychiatry | genetics | behavior | pharmacogenomics,https://scholar.google.com/citations?hl=en&user=L8B57mIAAAAJ
am lozano,University of Toronto,uhnresearch.ca,76911,brain stimulation neurosurgery alzheimer's …,https://scholar.google.com/citations?hl=en&user=gYa6pGYAAAAJ
David Streiner,McMaster University / University of Toronto,mcmaster.ca,75433,Research methods | quality of life | statistics,https://scholar.google.com/citations?hl=en&user=TlF9iEYAAAAJ
Lewis E Kay,University of Toronto,pound.med.utoronto.ca,73457,Not Mentioned,https://scholar.google.com/citations?hl=en&user=xPHwWpcAAAAJ
Harald Pfeiffer,"Canadian Institute for Theoretical Astrophysics, University of Toronto",cita.utoronto.ca,73026,Not Mentioned,https://scholar.google.com/citations?hl=en&user=ksrLeBoAAAAJ
"David JA Jenkins, MD, Ph.D, D.Sc","… , Depts. of Nutritional Sciences & Medicine, Faculty of Medicine, University of Toronto",utoronto.ca,72662,Use of diet in the prevention and treatment of …,https://scholar.google.com/citations?hl=en&user=z_IsflYAAAAJ
Gary Bader,"… of Molecular Genetics and Computer Science, The Donnelly Centre, University of Toronto",utoronto.ca,72463,Computational Biology | Systems Biology,https://scholar.google.com/citations?hl=en&user=22M9eisAAAAJ
John E. Dick,University of Toronto,uhnresearch.ca,71782,Not Mentioned,https://scholar.google.com/citations?hl=en&user=tJFQIz0AAAAJ
Geoffrey A. Ozin,"University of Toronto, Canada",Not Mentioned,71474,Nanomaterials | Nanotechnology | ArtNano | Space | Carbon,https://scholar.google.com/citations?hl=en&user=_zpzkdcAAAAJ
Zindel Segal,University of Toronto Scarborough,utoronto.ca,70891,Depression | Meditation,https://scholar.google.com/citations?hl=en&user=oTq7Q94AAAAJ
Calvin Barth Netterfield,"Professor, University of Toronto",astro.utoronto.ca,70331,balloon-borne astrophysics | cosmic microwave background | sub-mm astronomy,https://scholar.google.com/citations?hl=en&user=rVi7vX0AAAAJ
Eleftherios Diamandis,"Professor of Laboratory Medicine and Pathobiology, University of Toronto",mtsinai.on.ca,70206,cancer | biomarkers | proteomics,https://scholar.google.com/citations?hl=en&user=AekfAtgAAAAJ
Warren CW Chan,"Professor of the Institute of Biomaterials and Biomedical Engineering, University of Toronto",utoronto.ca,69239,Nanotechnology | Nanomedicine | Diagnostics | Drug Delivery,https://scholar.google.com/citations?hl=en&user=9uIyH1IAAAAJ
Sylvia L. Asa,"University Of Toronto, Case Western Reserve University",uhhospitals.org,69002,endocrine pathology,https://scholar.google.com/citations?hl=en&user=Cx1pN0IAAAAJ
graham collingridge,"Tanz Centre for Research in Neurodegenerative Diseases, University of Toronto, Lunenfeld …",bris.ac.uk,67227,Synaptic Plasticity | neurodegeneration,https://scholar.google.com/citations?hl=en&user=hxSVJt8AAAAJ
Tomas Paus,"Professor of Psychology and Psychiatry, University of Toronto",rotman-baycrest.on.ca,66832,neuroscience,https://scholar.google.com/citations?hl=en&user=LL3M0c8AAAAJ
Timothy Howard,University of Toronto,Not Mentioned,64167,Environmental Engineering,https://scholar.google.com/citations?hl=en&user=NpxbiNsAAAAJ
Morris Moscovitch,University of Toronto,psych.utoronto.ca,62493,Cognition,https://scholar.google.com/citations?hl=en&user=_P14imQAAAAJ
Peter Liu,University of Ottawa Heart Institute & University of Toronto,utoronto.ca,62486,Not Mentioned,https://scholar.google.com/citations?hl=en&user=zl1bOp0AAAAJ
An-Wen Chan,"Women's College Research Institute, University of Toronto",utoronto.ca,62262,Not Mentioned,https://scholar.google.com/citations?hl=en&user=7wUJNzUAAAAJ
Subodh Verma,University of Toronto,unityhealth.to,61151,Not Mentioned,https://scholar.google.com/citations?hl=en&user=-YoDFjAAAAAJ
Philip Awadalla,"Professor, Ontario Institute for Cancer Research, University of Toronto",utoronto.ca,61120,Genomics | Human Genetics | Mutation | Population Genetics,https://scholar.google.com/citations?hl=en&user=WUN5BGgAAAAJ
Mary Gospodarowicz,"Professor, Radiation Oncology, University of Toronto",rmp.uhn.on.ca,60956,cancer | global cancer,https://scholar.google.com/citations?hl=en&user=NzzI_iwAAAAJ
