Lei(Layla) Li,"Duke University, CERN",duke.edu,310053,Experimental high energy physics | Particle physics,https://scholar.google.com/citations?hl=en&user=f4KlrXIAAAAJ
Christopher B Granger,Duke University Medical Center,mc.duke.edu,244060,Not Mentioned,https://scholar.google.com/citations?hl=en&user=fpYmv9MAAAAJ
Ashutosh Vijay Kotwal,Duke University,duke.edu,235878,particle physics,https://scholar.google.com/citations?hl=en&user=zsrmeT4AAAAJ
Terrie E Moffitt,Duke University and Kings College London,duke.edu,200337,developmental psychopathology | intelligence | crime | aging,https://scholar.google.com/citations?hl=en&user=NR0nMHkAAAAJ
Robert J. Lefkowitz,"James B. Duke Professor of Medicine, Biochemistry, Chemistry; HHMI, Duke University",receptor-biol.duke.edu,195841,GPCRs | Structural biology | Biochemistry | Arrestins | Drug discovery,https://scholar.google.com/citations?hl=en&user=vbSOpNkAAAAJ
Michael Tomasello,"Duke University, Max Planck for Evolutionary Anthropology",duke.edu,190106,developmental psychology | evolutionary anthropology | cognitive science | evolutionary psychology,https://scholar.google.com/citations?hl=en&user=kitIj2gAAAAJ
Weitao Yang,"Philip Handler Professor, Department of Chemistry, Duke University",duke.edu,180645,theoretical chemistry | density functional theory | computational chemistry | biophysics | physical chemistry,https://scholar.google.com/citations?hl=en&user=UuyW8AwAAAAJ
avshalom caspi,"Duke University, King's College London",duke.edu,177737,personality psychology | developmental psychology | epidemiology | psychiatry | biomarkers,https://scholar.google.com/citations?hl=en&user=7iOXJVoAAAAJ
Kenneth A. Dodge,"William McDougall Distinguished Professor of Public Policy, Duke University",duke.edu,156964,Behavior Disorders | Child Abuse | Child Development | Child Neglect | Family Violence,https://scholar.google.com/citations?hl=en&user=mn1JMX0AAAAJ
Marc G. Caron,"James B. Duke Professor, Cell Biology, Medicine, Neurobiology Duke University",duke.edu,140060,GPCR Signaling | Psychiatric Disorders | Addiction | Drug Discovery,https://scholar.google.com/citations?hl=en&user=4iN7MOMAAAAJ
Joshua Albert,"Duke University, Indiana University",phy.duke.edu,122706,neutrino,https://scholar.google.com/citations?hl=en&user=X0DWXVUAAAAJ
David Matchar,"Professor of Medicine, Duke University",duke-nus.edu.sg,122583,david.matchar@duke-nus.edu.sg,https://scholar.google.com/citations?hl=en&user=4iEYUUsAAAAJ
Tim Bollerslev,Duke University,duke.edu,117607,Financial Econometrics | Asset Pricing | Time Series Econometrics,https://scholar.google.com/citations?hl=en&user=XKIMx0EAAAAJ
Ingrid Daubechies,Duke University,math.duke.edu,104921,Not Mentioned,https://scholar.google.com/citations?hl=en&user=K83ZJJUAAAAJ
Mark R. Leary,Duke University,duke.edu,104890,social psychology | motivation | emotion | self and identity,https://scholar.google.com/citations?hl=en&user=5dyA1nYAAAAJ
"Michael J. Pencina, PhD","Duke University, School of Medicine",duke.edu,103841,Risk Prediction | Cardiovascular Epidemiology | Artificial Intelligence | Data Science | Health System Innovation,https://scholar.google.com/citations?hl=en&user=I7tckLIAAAAJ
Dan Blazer,Duke University Medical Center,dm.duke.edu,101949,Geriatric Psychiatry,https://scholar.google.com/citations?hl=en&user=kr1E6vsAAAAJ
Frank Harrell,"duke university, university of virginia, vanderbilt university",vanderbilt.edu,100951,biostatistics,https://scholar.google.com/citations?hl=en&user=-Im45ysAAAAJ
Mary Story,"Professor, Duke University",duke.edu,94376,child and adolescent nutrition | obesity prevention,https://scholar.google.com/citations?hl=en&user=90timh0AAAAJ
"David C Montefiori, Ph.D.",Duke University Medical Center,duke.edu,87377,HIV Vaccines | Viral Immunology | Humoral Immunity | Neutralizing Antibodies,https://scholar.google.com/citations?hl=en&user=9an4_IUAAAAJ
Campbell R. Harvey,"Professor of Finance, Duke University",duke.edu,87206,Finance | Economics | Asset Pricing | Corporate Finance | Behavioral Finance,https://scholar.google.com/citations?hl=en&user=cajqjGAAAAAJ
Adrian Bejan,"JA Jones Distinguished Professor of Mechanical Engineering, Duke University",duke.edu,85553,Design | Nature | Evolution | Thermodynamics | Heat Transfer,https://scholar.google.com/citations?hl=en&user=Inu2EBwAAAAJ
Drew Shindell,"Professor, Duke University, former-GISS, former-NASA",duke.edu,84201,Climate change | atmospheric chemistry | climate policy,https://scholar.google.com/citations?hl=en&user=MeraHu8AAAAJ
manesh patel,Duke University,duke.edu,82498,cardiology,https://scholar.google.com/citations?hl=en&user=qQfxVakAAAAJ
Guillermo Sapiro,"James B. Duke Professor, Duke University; Distinguished Engineer, Health AI Lead, Apple …",duke.edu,76855,Image and video processing | machine learning | medical imaging | computer vision | computational photography,https://scholar.google.com/citations?hl=en&user=ISRNX3gAAAAJ
Elizabeth Costello,Professor Duke University,psych.duhs.duke.edu,76032,epidemiology,https://scholar.google.com/citations?hl=en&user=XnB62g4AAAAJ
jie jin wang,"Professor, Duke-NUS Medical School, Singapore; University of Sydney, Australia",sydney.edu.au,75155,epidemiology | age-related macular degeneration | age-related cataract | visual impairment,https://scholar.google.com/citations?hl=en&user=c2iMb5oAAAAJ
Harris Cooper,Duke University,duke.edu,74795,psychology,https://scholar.google.com/citations?hl=en&user=sfVAuhwAAAAJ
Jane S. Richardson,"Professor of Biochemistry, Duke University",duke.edu,74497,structural biology | validation | informatics | molecular graphics of protein & RNA,https://scholar.google.com/citations?hl=en&user=UF1_VRcAAAAJ
Kelly D. Brownell,"Professor and Dean Emeritus, Sanford School of Public Policy, Duke University",duke.edu,73937,Nutrition | Obesity | Public Policy,https://scholar.google.com/citations?hl=en&user=LcV1NtkAAAAJ
James L. Abbruzzese,"Professor of Medicine, Duke University",duke.edu,71388,pancreatic cancer,https://scholar.google.com/citations?hl=en&user=9FJ6gk0AAAAJ
Tomi Akinyemiju,Duke University,duke.edu,70167,Cancer epidemiologist and health equity …,https://scholar.google.com/citations?hl=en&user=_QeYHEsAAAAJ
"Ching-Yu Cheng, MD, MPH, PhD",National University of Singapore; and Singapore Eye Research Institute,duke-nus.edu.sg,66742,Population Health | Genetics | Ophthalmology (Glaucoma) | Artificial Intelligence,https://scholar.google.com/citations?hl=en&user=TmFCBzAAAAAJ
David C. Richardson,"Professor of Biochemistry, Duke University",kinemage.biochem.duke.edu,66468,protein crystallography | molecular graphics | structural informatics,https://scholar.google.com/citations?hl=en&user=7P3t1woAAAAJ
Bryan R. Cullen,"Professor of Molecular Genetics and Microbiology, Duke University",duke.edu,65868,… virology and RNA sequence mediated gene …,https://scholar.google.com/citations?hl=en&user=sfMaq-IAAAAJ
Karen Alexander,Duke University DCRI,duke.edu,65038,Geriatric Cardiology,https://scholar.google.com/citations?hl=en&user=ldOeHBEAAAAJ
Francis J Keefe,Duke University,mc.duke.edu,64264,pain | pain management | arthritis | cancer,https://scholar.google.com/citations?hl=en&user=ddg40IkAAAAJ
Dan Ariely,"Professor of psychology and behavioral economics, Duke University",danariely.com,62874,Psychology | decision making | behavioral economics,https://scholar.google.com/citations?hl=en&user=Z1G9Lk4AAAAJ
gary gereffi,"… Director, Center on Globalization, Governance & Competitivness (CGGC), Duke University",soc.duke.edu,62592,global value chains | industrial governance | economic and social upgrading | private governance,https://scholar.google.com/citations?hl=en&user=2Kd61F0AAAAJ
Jeffrey R. Marks,Duke University,mc.duke.edu,62258,Cancer Biology | Breast Cancer | Ovarian Cancer,https://scholar.google.com/citations?hl=en&user=vecJPVYAAAAJ
Simon Gregory,"Professor, Duke University",duke.edu,59739,genetics | genomics | epigenetics,https://scholar.google.com/citations?hl=en&user=4MNrVwoAAAAJ
Linda George,"Professor of Sociology, Duke University",duke.edu,59202,Not Mentioned,https://scholar.google.com/citations?hl=en&user=Zxfwr_YAAAAJ
Sayan Mukherjee,"Duke University, MIT",stat.duke.edu,58627,machine learning | computational biology | stochastic topology | stochastic geometry,https://scholar.google.com/citations?hl=en&user=R94cBVgAAAAJ
