David Harvey,"Distinguished Professor, City University of New York",gc.cuny.edu,320007,geography | anthropology social sciences | urbanization,https://scholar.google.com/citations?hl=en&user=EBvugA0AAAAJ
Yann LeCun,"… AI Scientist at Facebook & Silver Professor at the Courant Institute, New York University",cs.nyu.edu,276404,AI | machine learning | computer vision | robotics | image compression,https://scholar.google.com/citations?hl=en&user=WLN3QrAAAAAJ
Gregory Hannon,"CRUK, Cambridge University, New York Genome Center, Cold Spring Harbor Laboratory",cruk.cam.ac.uk,189482,noncoding RNA | genetics | molecular biology | genomics | cancer,https://scholar.google.com/citations?hl=en&user=f-XvE6UAAAAJ
Robert Engle,New York University,stern.nyu.edu,187502,Finance and Econometrics,https://scholar.google.com/citations?hl=en&user=8abFiFMAAAAJ
Joseph LeDoux,New York University,nyu.edu,154413,Neuroscience | Fear | Anxiety,https://scholar.google.com/citations?hl=en&user=iAqJssMAAAAJ
Mohammad Tavakkoli,"Clinical Assistant Professor, New York Medical College",wmchealth.org,143058,Psychiatry | Public Health | Mental Health | Prevention Science,https://scholar.google.com/citations?hl=en&user=buWKqYoAAAAJ
Arjun Appadurai,"Professor of Media, Culture and Communication, New York University",nyu.edu,135144,cultural anthropology | social anthropology | globalization | south asia | violence,https://scholar.google.com/citations?hl=en&user=qu5biZAAAAAJ
Joseph Dannenberg,"Professor of Chemistry (Emeritus), City University of NY - Hunter College and the Graduate …",hunter.cuny.edu,120563,Hydrogen Bonds | Theoretical Chemistry | Peptides | .Solvation | Organic Chemstry,https://scholar.google.com/citations?hl=en&user=uNtmqeUAAAAJ
j. john mann,Columbia University and New York State Psychiatric Institute,columbia.edu,113506,Mood Disorders and Suicidal Behavior,https://scholar.google.com/citations?hl=en&user=P8LFNiEAAAAJ
Kyunghyun Cho,"New York University, Genentech",nyu.edu,111575,Machine Learning | Deep Learning,https://scholar.google.com/citations?hl=en&user=0RAmmIAAAAAJ
Gbenga Ogedegbe,"Professor of Medicine, New York University School of Medicine",nyumc.org,108681,hypertension and cardiovascular diseases,https://scholar.google.com/citations?hl=en&user=huJqk3oAAAAJ
"George Thurston, ScD",New York University School of Medicine,nyu.edu,108498,air pollution | human health effects | epidemiology | environment | climate change,https://scholar.google.com/citations?hl=en&user=Snm8bcoAAAAJ
Paul Romer,"University Professor, New York University",paulromer.net,107998,Economic growth | economic development | science policy,https://scholar.google.com/citations?hl=en&user=b5oj894AAAAJ
Szabolcs Marka,"Walter O. LeCroy Jr. Professor of Physics, Columbia University in the City of New York",columbia.edu,107150,Multimessenger | Gravitational waves | Astrophysics | Astroparticle Physics | Biophysics,https://scholar.google.com/citations?hl=en&user=EtCHb8YAAAAJ
Rob Fergus,"Research Scientist, DeepMind. Professor of Computer Science, New York University",cs.nyu.edu,106516,Machine Learning | Computer Vision,https://scholar.google.com/citations?hl=en&user=GgQ9GEkAAAAJ
Theodore (Ted) S. Rappaport,"… Founder; Lee/Weber Chair of ECE; Prof. of CS; Prof. of Radiology, New York University",nyu.edu,103664,wireless | communications | antennas | propagation | 6G,https://scholar.google.com/citations?hl=en&user=aLOSzWwAAAAJ
Carol Gilligan,"University Professor, New York University",nyu.edu,97585,Not Mentioned,https://scholar.google.com/citations?hl=en&user=ttTV9KIAAAAJ
Zsuzsa Marka,"Columbia Astrophysics Laboratory, Columbia University in the City of New York",astro.columbia.edu,88175,Multimessenger | Gravitational waves | Astrophysics | Astroparticle Physics | Biophysics,https://scholar.google.com/citations?hl=en&user=0UuaPYIAAAAJ
David W Hogg,"New York University & MPIA & Center for Computational Astrophysics, Flatiron Institute",nyu.edu,87398,Astronomy | Cosmology | Galaxies | Stars | Exoplanets,https://scholar.google.com/citations?hl=en&user=hcmW-W0AAAAJ
William Easterly,"Professor of Economics, New York University",nyu.edu,84745,Economic Development,https://scholar.google.com/citations?hl=en&user=SNtE_MsAAAAJ
Robert M. Haralick,"Distinguished Professor of Computer Science, Graduate Center, City University of New York",gc.cuny.edu,78817,Pattern Recognition | Image Processing | Computer Vision | Document Image Analysis | Artificial Intelligence,https://scholar.google.com/citations?hl=en&user=HMnF6i0AAAAJ
Shelly Chaiken,"Professor of Psychology, New York University",Not Mentioned,77379,attitudes | social cognition | eating and feminity,https://scholar.google.com/citations?hl=en&user=fAqffY4AAAAJ
Patrick E. Shrout,"Professor of Psychology, New York University",nyu.edu,74593,relationships | epidemiology | stress | statistics | psychometrics,https://scholar.google.com/citations?hl=en&user=jXJNXq8AAAAJ
Adam Przeworski,New York University,nyu.edu,71696,Not Mentioned,https://scholar.google.com/citations?hl=en&user=eg4PrgoAAAAJ
Philip Johnson-Laird,"… Professor of Psychology, Emeritus, Princeton University; Visiting scholar, Psychology, NYU",princeton.edu,70661,Cognitive psychology | reasoning | creativity | emotions | music,https://scholar.google.com/citations?hl=en&user=ZF2fKzQAAAAJ
Thomas J. Sargent,New York University,Not Mentioned,66725,Macroeconomics,https://scholar.google.com/citations?hl=en&user=gtFaB_kAAAAJ
Otto F. Kernberg,"… Psychiatry, Weill Cornell Medical College Director, Personality Disorders Institute NewYork …",med.cornell.edu,66402,Not Mentioned,https://scholar.google.com/citations?hl=en&user=-LC6dq0AAAAJ
John Jost,"Professor of Psychology and Politics, New York University",nyu.edu,60695,Social Psychology | Political Psychology,https://scholar.google.com/citations?hl=en&user=9TimlN0AAAAJ
Orrin Devinsky,New York University,nyu.edu,60572,Neurology | Epilepsy | Behavior | Cognition | Genetics,https://scholar.google.com/citations?hl=en&user=25Q74uMAAAAJ
Holly Hagan,"Professor, College of Global Public Health, New York University",nyu.edu,59786,Infectious Disease | epidemiological methods | harm reduction | people who use drugs,https://scholar.google.com/citations?hl=en&user=67LUQJUAAAAJ
Ralph A Nixon,Professor of Psychiatry and Cell Biology New York University,nki.rfmh.org,58676,Neurodegenerative disease,https://scholar.google.com/citations?hl=en&user=IowedroAAAAJ
Yaacov Trope,New York University,nyu.edu,58001,Psychology,https://scholar.google.com/citations?hl=en&user=ClU_IREAAAAJ
baruch lev,new york university,stern.nyu.edu,57065,Not Mentioned,https://scholar.google.com/citations?hl=en&user=BoXaMsMAAAAJ
Charles J. Vörösmarty,City University of New York,ccny.cuny.edu,56135,Not Mentioned,https://scholar.google.com/citations?hl=en&user=5kSVDe4AAAAJ
