Daniel Kahneman,Princeton University (Emeritus),princeton.edu,503704,Not Mentioned,https://scholar.google.com/citations?hl=en&user=ImhakoAAAAAJ
Hannah Arendt,"Stanford, Princeton, Yale, University of Chicago, etc.",Not Mentioned,305685,political theory | philosophy | political philosophy,https://scholar.google.com/citations?hl=en&user=CNsGZOYAAAAJ
David Botstein,Princeton University,princeton.edu,275393,Genetics,https://scholar.google.com/citations?hl=en&user=0BQzlisAAAAJ
Clifford Geertz,"Anthropology, Princeton University",Not Mentioned,269216,anthropology | symbolic anthropology,https://scholar.google.com/citations?hl=en&user=V4PPW_cAAAAJ
Daniel Marlow,"Professor of Physics, Princeton University",princeton.edu,197066,Experimental Particle Physics,https://scholar.google.com/citations?hl=en&user=OgEe1hEAAAAJ
Michael A. Strauss,"Professor of Astrophysical Sciences, Princeton University",astro.princeton.edu,181544,Not Mentioned,https://scholar.google.com/citations?hl=en&user=qxjNkSMAAAAJ
John Jackson,Princeton University,rockep.com,169101,general relativity,https://scholar.google.com/citations?hl=en&user=KKErpkUAAAAJ
Jonathan D. Cohen,"… of Psychology, Co-Director of Princeton Neuroscience Institute, Princeton University",princeton.edu,167848,Cognitive Neuroscience | Cognitive Psychology | Computational Neuroscience | Cognitive Control | Prefrontal Cortex,https://scholar.google.com/citations?hl=en&user=NCkkQAMAAAAJ
Alejandro Portes,"Sociology, Princeton University",princeton.edu,146293,Sociology | immigration | development | migration | social capital,https://scholar.google.com/citations?hl=en&user=P7ocv9gAAAAJ
Alexey Svyatkovskiy,"Microsoft, Princeton University, Purdue University",princeton.edu,143334,Particle physics | Machine learning | Computational Science,https://scholar.google.com/citations?hl=en&user=0Oj4J4wAAAAJ
Susan Fiske,"Eugene Higgins Professor, Psychology & Public Affairs, Princeton University",princeton.edu,141831,social psychology | social neuroscience,https://scholar.google.com/citations?hl=en&user=4jnrVhoAAAAJ
John von Neumann,"Professor of Mathematics, Princeton University",Not Mentioned,137115,Quantum mechanics | Economics | Game theory | Computer science,https://scholar.google.com/citations?hl=en&user=6kEXBa0AAAAJ
HV Poor,"Michael Henry Strater University Professor, Princeton University",princeton.edu,133008,Communication Systems | Wireless Communications | Communications | Statistical Signal Processing | Information Theory,https://scholar.google.com/citations?hl=en&user=Dq93mOUAAAAJ
Paul DiMaggio,"A. Barton Hepburn Professor of Sociology & Public Affairs, Princeton University",princeton.edu,131305,sociology of culture | economic sociology | stratification | organizations,https://scholar.google.com/citations?hl=en&user=0A5Gnc0AAAAJ
David  N Spergel,"Center for Computational Astrophysics, Flatiron & Princeton University",flatironinstitute.org,121173,Astrophysics,https://scholar.google.com/citations?hl=en&user=xoOGOFEAAAAJ
RJ Cava,"Professor of Chemistry, Princeton University",princeton.edu,119873,solid state chemistry | superconductivity | topological insulators,https://scholar.google.com/citations?hl=en&user=cUt3CuEAAAAJ
Gillian Knapp,"Professor Emerita of Astrophysical Sciences, Princeton University",astro.princeton.edu,119563,planet imaging | stellar astrophysics | interstellar medium,https://scholar.google.com/citations?hl=en&user=ZyH3HIAAAAAJ
Alan Krueger,Princeton University,princeton.edu,115731,labor economics | education | inequality,https://scholar.google.com/citations?hl=en&user=5fY6_jMAAAAJ
Douglas S. Massey,"Professor of Sociology and Public Affairs, Princeton University",princeton.edu,111296,Sociology | Demography,https://scholar.google.com/citations?hl=en&user=T758DcgAAAAJ
Angus Deaton,Princeton University,princeton.edu,107274,Economic development | health | well-being | econometrics,https://scholar.google.com/citations?hl=en&user=rvFjcQIAAAAJ
Simon Levin,"Professor of Ecology and Evolutionary Biology, Princeton University",princeton.edu,104251,Ecology | theoretical ecology | mathematical biology | ecological economics | applied mathematics,https://scholar.google.com/citations?hl=en&user=7PeekG0AAAAJ
Jia Deng,Princeton University,cs.princeton.edu,104099,computer vision,https://scholar.google.com/citations?hl=en&user=U3Eub-EAAAAJ
David K. Lewis,"Professor of Philosophy, Princeton University",lists.berkeley.edu,103947,Metaphysics | epistemology | logic | language | mind,https://scholar.google.com/citations?hl=en&user=SbIm6o0AAAAJ
William J Baumol,Princeton University,Not Mentioned,102811,Microeconomics | industrial organization | entrepreneurship,https://scholar.google.com/citations?hl=en&user=omB6ersAAAAJ
Neta Bahcall,Princeton university,astro.princeton.edu,100224,Astrophysics,https://scholar.google.com/citations?hl=en&user=W-0_21AAAAAJ
Mark Thompson,"University of Southern California, Princeton University, California Institute of Technology …",usc.edu,99598,Not Mentioned,https://scholar.google.com/citations?hl=en&user=dFdP6U0AAAAJ
Gene Grossman,Princeton University,princeton.edu,97190,economics | international trade,https://scholar.google.com/citations?hl=en&user=f46No0UAAAAJ
Paul J. Steinhardt,"Professor of Physics, Princeton University",princeton.edu,96159,Not Mentioned,https://scholar.google.com/citations?hl=en&user=LUbmYqgAAAAJ
eugene wigner,Princeton University,Not Mentioned,95317,Physics | Mathematics,https://scholar.google.com/citations?hl=en&user=OIIWOn0AAAAJ
Roberto Car,"Ralph W Dornte Professor in Chemistry, Princeton University ",princeton.edu,93293,Physics | Chemistry,https://scholar.google.com/citations?hl=en&user=spq1_qEAAAAJ
JH Taylor,"Professor of Physics, Princeton University",princeton.edu,91196,Radio Astronomy | pulsars,https://scholar.google.com/citations?hl=en&user=sssin7EAAAAJ
Robert Tarjan,"Professor of Computer Science, Princeton University",cs.princeton.edu,89351,data structures | graph algorithms | analysis of algorithms,https://scholar.google.com/citations?hl=en&user=lazJixIAAAAJ
Avinash Dixit,Princeton University,princeton.edu,88335,Economics | Political Science,https://scholar.google.com/citations?hl=en&user=_IqibU4AAAAJ
Elliott Lieb,"Prof. of mathematics and physics, Princeton University",math.princeton.edu,85202,mathematical physics,https://scholar.google.com/citations?hl=en&user=AQgCA68AAAAJ
Mark Watson,"Department of Economics, Princeton University",princeton.edu,84998,Econometrics,https://scholar.google.com/citations?hl=en&user=W2OkFFUAAAAJ
Kai Li,"Professor of computer science, Princeton university",cs.princeton.edu,82889,Operating systems | parallel computing | computer architecture | content-based search | privacy preservation and data auditing for M,https://scholar.google.com/citations?hl=en&user=9MSpWOUAAAAJ
