Valarie Zeithaml,"Marketing Department, University of North Carolina at Chapel Hill",unc.edu,272075,marketing | services marketing | service management,https://scholar.google.com/citations?hl=en&user=fxbJ16gAAAAJ
Charles M. Perou,University of North Carolina at Chapel Hill,med.unc.edu,243695,Breast Cancer | Cancer | Genetics | Genomics | Clinical Research,https://scholar.google.com/citations?hl=en&user=JCqzqUMAAAAJ
Joel Parker,University of North Carolina at Chapel Hill,email.unc.edu,157750,Bioinformatics | cancer genetics | gene expression,https://scholar.google.com/citations?hl=en&user=lGMQTBQAAAAJ
Katherine A. Hoadley,University of North Carolina at Chapel Hill,med.unc.edu,131544,Not Mentioned,https://scholar.google.com/citations?hl=en&user=6LYTw-YAAAAJ
Barbara L. Fredrickson,"Professor of Psychology and Neuroscience, University of North Carolina at Chapel Hill",unc.edu,126324,affective science | positive psychology | social psychology | psychology,https://scholar.google.com/citations?hl=en&user=-0XLchUAAAAJ
Nigel Key,"… R Roberts Distinguished Professor of Medicine, University of North Carolina at Chapel Hill",med.unc.edu,91554,Hemostasis and Thrombosis | Sickle Cell Disease,https://scholar.google.com/citations?hl=en&user=Zawdh0gAAAAJ
Ralph Baric,University of North Carolina at Chapel Hill,Not Mentioned,88662,virology | coronaviruses,https://scholar.google.com/citations?hl=en&user=xMR87soAAAAJ
Kevin Anstrom,University of North Carolina - Chapel Hill,unc.edu,83749,biostatistics | coordinating center | causal inference | randomized trials,https://scholar.google.com/citations?hl=en&user=hshXd0wAAAAJ
Channing J. Der,University of North Carolina at Chapel Hill,med.unc.edu,81486,RAS oncogenes | ERK MAPK cascade,https://scholar.google.com/citations?hl=en&user=OKmYIBoAAAAJ
Richard Boucher,"Professor of Medicine, University of NC at Chapel Hill",med.unc.edu,79018,Normal Physiology of Airway Surface Liquids … | ASL System Failure in CF and COPD,https://scholar.google.com/citations?hl=en&user=qcqbQxEAAAAJ
Howard E. Aldrich,"Kenan Professor of Sociology, University of North Carolina at Chapel Hill",unc.edu,77884,sociology | entrepreneurship | organizations | social inequality | organizational sociology,https://scholar.google.com/citations?hl=en&user=Z9VD6-AAAAAJ
Leaf Huang,"Professor of Pharmaceutical Sciences, University of North Carolina at Chapel Hill",email.unc.edu,75382,Drug delivery | nanotechnology | liposome,https://scholar.google.com/citations?hl=en&user=7ElY3V4AAAAJ
Stuart R. Jefferys,University of North Carolina at Chapel Hill,unc.edu,73299,Bioinformatics | Genomics | RNASeq | Proteomics,https://scholar.google.com/citations?hl=en&user=sY3HA6sAAAAJ
Jinsong Huang,"University of North Carolina, Chapel Hill",unc.edu,70721,semiconductor devices | perovskite solar cells | X-ray Detection and Imaging | Photodetectors,https://scholar.google.com/citations?hl=en&user=F5JQ7W8AAAAJ
Cynthia Bulik,University of North Carolina at Chapel Hill,med.unc.edu,66432,eating disorders | psychiatry | psychology | health,https://scholar.google.com/citations?hl=en&user=N4vRCfYAAAAJ
Joseph J Eron,"Professor of Medicine, University of North Carolina at Chapel Hill",med.unc.edu,65879,Infectious Diseases | HIV,https://scholar.google.com/citations?hl=en&user=FwAUoMUAAAAJ
DY (Danyu) Lin,University of North Carolina at Chapel Hill,bios.unc.edu,65127,Biostatistics | Genetics and Genomics | Clinical Trials | Epidemiology,https://scholar.google.com/citations?hl=en&user=SG22hu0AAAAJ
Jamie Bartram,Professor at University of Leeds and University of North Carolina at Chapel Hill,unc.edu,64521,Water sanitation hygiene health,https://scholar.google.com/citations?hl=en&user=TrYvBSMAAAAJ
R. Mark Wightman,"Professor of Chemistry, University of North Carolina at chapel hill",unc.edu,58918,analytical chemistry | neurochemistry | electrochemistry,https://scholar.google.com/citations?hl=en&user=wr67IjsAAAAJ
lee pedersen,"emeritus professor of chemistry, university of north carolina at chapel hill",ad.unc.edu,57314,theoretical chemistry and biology,https://scholar.google.com/citations?hl=en&user=y4Ts-LkAAAAJ
Paschal Sheeran,University of North Carolina - Chapel Hill,unc.edu,55240,Behavior Change | Self-Regulation | Behavioral Medicine | Health Psychology | Social Psychology,https://scholar.google.com/citations?hl=en&user=pwsD-zkAAAAJ
Piotr Mieczkowski,University of North Carolina at Chapel Hill,med.unc.edu,54369,genomics | genome stability,https://scholar.google.com/citations?hl=en&user=bdN5z0YAAAAJ
Joseph M. DeSimone,"University of North Carolina at Chapel Hill; North Carolina State University; Carbon, Inc.",email.unc.edu,52268,Polymers | 3D printing | Nanomedicine | Batteries | Interventional oncology,https://scholar.google.com/citations?hl=en&user=R_FBxHkAAAAJ
Stephen W. Marshall,University of North Carolina at Chapel Hill,unc.edu,51280,Public Health & Epidemiology | Injury & Violence Prevention | Sports-Related Concussion | Opioid Overdose | Systems Thinking,https://scholar.google.com/citations?hl=en&user=PAabS7YAAAAJ
"Lisa A. Carey, MD, FASCO",University of North Carolina at Chapel Hill,med.unc.edu,48297,breast cancer,https://scholar.google.com/citations?hl=en&user=iP2_Pc4AAAAJ
Patrick J. Curran,University of North Carolina at Chapel Hill,unc.edu,47919,Not Mentioned,https://scholar.google.com/citations?hl=en&user=ln8rzjQAAAAJ
Alexander Kabanov,"Professor, University of North Carolina Chapel Hill",email.unc.edu,46689,Drug delivery | nanomedicine | polymers | biomaterials | bioengineering,https://scholar.google.com/citations?hl=en&user=PTouqvoAAAAJ
Michael Topal,University of North Carolina at Chapel Hill,med.unc.edu,45976,genetics | mutation | cancer,https://scholar.google.com/citations?hl=en&user=Fy_SfS0AAAAJ
Dorothy L. Espelage,"… C. Friday Distinguished Professor of Education, University of North Carolina at Chapel Hill",unc.edu,40106,bullying | sexual harassment | dating violence | school-based interventions | social-emotional learning,https://scholar.google.com/citations?hl=en&user=p1Gew10AAAAJ
Paul Watkins,"Professor of Pharmacy, Medicine and Public Health University of North Carolina, Chapel Hill",med.unc.edu,39936,Drug-Induced Liver Injury,https://scholar.google.com/citations?hl=en&user=Vc3IaCIAAAAJ
John Thorp,University of North Carolina at Chapel Hill,med.unc.edu,39096,Not Mentioned,https://scholar.google.com/citations?hl=en&user=1OpDMuYAAAAJ
Jonathan S. Abramowitz,University of North Carolina at Chapel Hill,unc.edu,35828,Clinical Psychology | Anxiety | OCD | cognitive behavioral therapy,https://scholar.google.com/citations?hl=en&user=vVXkOdYAAAAJ
Steven Zeisel,Professor Nutrition University of North Carolina at Chapel Hill,unc.edu,35462,Nutrition,https://scholar.google.com/citations?hl=en&user=GNtgkdEAAAAJ
xian chen,"Professor of Biochemistry & Biophysics, University of North Carolina, Chapel Hill",email.unc.edu,33510,proteomics | chromatin epigenetics | systems biology | cancer | immunology,https://scholar.google.com/citations?hl=en&user=OtqznPkAAAAJ
"Mitch Prinstein, Ph.D.",University of North Carolina at Chapel Hill,unc.edu,32338,peers | adolescents | suicide,https://scholar.google.com/citations?hl=en&user=Jbdt0H4AAAAJ
Peter White,"Department of Chemistry, University of North Carolina at Chapel Hill",unc.edu,29087,Crystallography,https://scholar.google.com/citations?hl=en&user=-5J5tWoAAAAJ
"Eric A. Youngstrom, Ph.D.",University of North Carolina at Chapel Hill,unc.edu,28877,Evidence-Based Assessment | Bipolar Disorder | Emotions | Clinical Decision Making,https://scholar.google.com/citations?hl=en&user=p4nbzxEAAAAJ
Gerhard Meissner,University of North Carolina at Chapel Hill,med.unc.edu,28794,Not Mentioned,https://scholar.google.com/citations?hl=en&user=zeT16RoAAAAJ
David Thissen,"Professor of Psychology, The University of North Carolina at Chapel Hill",email.unc.edu,28368,quantitative psychology,https://scholar.google.com/citations?hl=en&user=ACaXK_EAAAAJ
