Antonio Damasio,"Professor of Neuroscience, University of Southern California",Not Mentioned,184263,Brain,https://scholar.google.com/citations?hl=en&user=dIsPKr0AAAAJ
Arthur Toga,University of Southern California,loni.usc.edu,140393,neuroscience | neuroimaging | informatics,https://scholar.google.com/citations?hl=en&user=B2YRmGgAAAAJ
David J. Van Den Berg,University of Southern California,usc.edu,136399,Genetics | Genomics | Methylomics,https://scholar.google.com/citations?hl=en&user=75Y1m8AAAAAJ
Norbert Schwarz,University of Southern California,usc.edu,121735,social psychology | cognitive psychology | consumer behavior | decision making | survey methodology,https://scholar.google.com/citations?hl=en&user=m50LZsUAAAAJ
Dan Weisenberger,University of Southern California,med.usc.edu,117773,Epigenetics | DNA methylation | CIMP,https://scholar.google.com/citations?hl=en&user=b5F-LmcAAAAJ
Andrew P McMahon,"Professor, University of Southern California",med.usc.edu,116185,development | genetics | stem cells | regenerative medicine | signaling and gene regulation,https://scholar.google.com/citations?hl=en&user=kWP8_qEAAAAJ
Mark Thompson,"University of Southern California, Princeton University, California Institute of Technology …",usc.edu,99598,Not Mentioned,https://scholar.google.com/citations?hl=en&user=dFdP6U0AAAAJ
Terence G. Langdon,"… , University of Southampton, and Professor Emeritus, University of Southern California",usc.edu,92381,Materials Science and Engineering | Creep | Superplasticity | Ultrafine-Grained Materials | Severe Plastic Deformation,https://scholar.google.com/citations?hl=en&user=CntRsTYAAAAJ
George A. Olah,University of Southern California,Not Mentioned,84580,Not Mentioned,https://scholar.google.com/citations?hl=en&user=Euw8qtMAAAAJ
Antoine Bechara,"University of Southern California, University of Iowa, University of Toronto",usc.edu,83969,Not Mentioned,https://scholar.google.com/citations?hl=en&user=MSG13WIAAAAJ
Carl Kesselman,Professor University of Southern California Information Sciences Institute,isi.edu,77947,computer science | medicine | bioinformatics,https://scholar.google.com/citations?hl=en&user=5c38WVcAAAAJ
Warren Bennis, University of Southern California.,Not Mentioned,73768,Leadership | groups | leadership development | organizational behavior,https://scholar.google.com/citations?hl=en&user=SMSQGLMAAAAJ
Kenneth H. Nealson,"Professor of Earth Science & Biological Sciences, University of Southern California",usc.edu,72605,environmental microbiology | bioluminescence | geobiology,https://scholar.google.com/citations?hl=en&user=55pOyCkAAAAJ
Paul D Thomas,"Professor, University of Southern California",usc.edu,65177,Not Mentioned,https://scholar.google.com/citations?hl=en&user=f0b-4xgAAAAJ
Keiiti Aki,MIT University of Southern California,Not Mentioned,62824,seismology,https://scholar.google.com/citations?hl=en&user=cWZA2EoAAAAJ
jmmendel,"Professor Emeritus of Electrical Engineering, University of Southern California",sipi.usc.edu,62734,Type-2 fuzzy sets and systems | computing with words | perceptual computing | books | deconvolution,https://scholar.google.com/citations?hl=en&user=JrX99ekAAAAJ
Andreas F. Molisch,"Professor of Electrical Engineering, University of Southern California",usc.edu,62688,wireless propagation channels | multi-antenna systems | ultrawideband communications and … | cooperative communications,https://scholar.google.com/citations?hl=en&user=W0wwrucAAAAJ
Peggy J. Farnham,"WIlliam M Keck Professor of Biochemistry, University of Southern California",usc.edu,62663,Genomics | Epigenomics | Cancer Biology | Transcriptional Regulation,https://scholar.google.com/citations?hl=en&user=lkJ2R4kAAAAJ
Berislav Zlokovic,"Director, Zilkha Neurogenetic Institute, University of Southern California",usc.edu,60710,Not Mentioned,https://scholar.google.com/citations?hl=en&user=GqI1Ma4AAAAJ
Ramesh Govindan,"Professor of Computer Science, University of Southern California",usc.edu,59857,Computer Networks,https://scholar.google.com/citations?hl=en&user=ZTkRs84AAAAJ
Steve A Kay,University of Southern California,usc.edu,59799,Circadian | Drug Discovery | Systems Biology | Transcription,https://scholar.google.com/citations?hl=en&user=55sPPYMAAAAJ
Arthur A. Stone,University of Southern California,usc.edu,57671,Not Mentioned,https://scholar.google.com/citations?hl=en&user=IoKJlVMAAAAJ
Patricia M. Dechow,University of Southern California,marshall.usc.edu,57063,accounting earnings | earnings management | financial analysts,https://scholar.google.com/citations?hl=en&user=evMSF7gAAAAJ
John Heidemann,University of Southern California / Information Sciences Institute,isi.edu,56560,networking | Internet mapping | file systems,https://scholar.google.com/citations?hl=en&user=bN_de_QAAAAJ
