Timothy R  Andeen,"Associate Professor of Physics, University of Texas at Austin",utexas.edu,220888,experimental particle physics,https://scholar.google.com/citations?hl=en&user=s4-J-3IAAAAJ
William H. Press,"Professor of Computer Science and Integrative Biology, UT Austin",cs.utexas.edu,175159,Computational Biology | Algorithms | Astrophysics,https://scholar.google.com/citations?hl=en&user=yi6DR64AAAAJ
John B. Goodenough,The University of Texas at Austin,mail.utexas.edu,174139,Solid State Chemistry | Batteries | Magnetism | Fuel Cells,https://scholar.google.com/citations?hl=en&user=U8jmzF0AAAAJ
S. Claiborne Johnston,"Dean, Dell Medical School, University of Texas, Austin",utexas.edu,144377,Neurology | Stroke | Epidemiology | Clinical Trials,https://scholar.google.com/citations?hl=en&user=bpdEPQEAAAAJ
Adam Heller,"CSO synAgile Corporation; Professor Emeritus, University of Texas at Austin",che.utexas.edu,141231,Continuous Oral Drug Delivery | Continuous Electrochemical Glucose …,https://scholar.google.com/citations?hl=en&user=-oayDOYAAAAJ
Alan Bovik,"Cockrell Family Regents Endowed Chair Professor, The University of Texas at Austin",ece.utexas.edu,139505,Multimedia | Visual Neuroscience | Augmented Reality | Virtual Reality | Social Media,https://scholar.google.com/citations?hl=en&user=p-PC50wAAAAJ
Charles Nemeroff,"Professor of Psychiatry, University of Texas at Austin Dell Medical School",austin.utexas.edu,133777,childhood maltreatment | psychopharmacology | mood disorders,https://scholar.google.com/citations?hl=en&user=8_YXJ-kAAAAJ
Thomas JR Hughes,"… O'Donnell Jr. Chair in Computational and Applied Mathematics, University of Texas at Austin",ices.utexas.edu,132783,Finite Element Methods | Solid Mechanics | Computational Fluid Dynamics | Partial Differential Equations | Isogeometric Analysis,https://scholar.google.com/citations?hl=en&user=6tPdlYAAAAAJ
James W. Pennebaker,"Professor of Psychology, University of Texas at Austin",mail.utexas.edu,114367,social psychology | language | health,https://scholar.google.com/citations?hl=en&user=KYOCMe0AAAAJ
David M. Hillis,"Professor of Integrative Biology, University of Texas at Austin",austin.utexas.edu,108480,Evolutionary Biology | Phylogenetics | Molecular Evolution | Systematic Biology | Herpetology,https://scholar.google.com/citations?hl=en&user=TUgQVOYAAAAJ
michael pignone,university of texas dell medical school,austin.utexas.edu,102836,medical decision making | prevention | screening | cancer,https://scholar.google.com/citations?hl=en&user=4I9h7Q0AAAAJ
Arumugam Manthiram,"Professor, The University of Texas at Austin",austin.utexas.edu,98274,batteries | fuel cells | materials chemistry | synthesis | nanomaterials,https://scholar.google.com/citations?hl=en&user=DGy5QdUAAAAJ
Rashid Mehdiyev,"University of Texas, Austin",fnal.gov,92109,Experimental HEP | Collider Physics | Neutrino Physics | Computing,https://scholar.google.com/citations?hl=en&user=49DeEckAAAAJ
DM Buss,"Professor, University of Texas",austin.utexas.edu,90761,evolutionary psychology | personality | social psychology | sexuality | sex differences,https://scholar.google.com/citations?hl=en&user=wrmnCfsAAAAJ
Allan H. MacDonald,"University of Texas Austin, Indiana University, NRC Canada, U of Toronto",physics.utexas.edu,87487,Theoretical Condensed Matter Physics | Condensed Matter Theory | Nanoelectronics | AMO physics | Nanoscience,https://scholar.google.com/citations?hl=en&user=wd6tu0IAAAAJ
Edsger Wybe Dijkstra,The University of Texas at Austin,Not Mentioned,73500,Not Mentioned,https://scholar.google.com/citations?hl=en&user=g875mLgAAAAJ
Deirdre Shoemaker,University of Texas at Austin,austin.utexas.edu,70228,Astrophysics | Black Holes | Gravitational Waves | General Relativity,https://scholar.google.com/citations?hl=en&user=QzwcWv0AAAAJ
Robert M. Malina,"Professor Emeritus, University of Texas at Austin",Not Mentioned,69695,human biology | growth | maturation | youth athletes,https://scholar.google.com/citations?hl=en&user=tf1ESlYAAAAJ
Samuel D Gosling,"Professor of Psychology, University of Texas, Austin",austin.utexas.edu,68958,Personality | Architecture | Ecological Psychology,https://scholar.google.com/citations?hl=en&user=E-aMAjwAAAAJ
Jeffrey Andrews,"Truchard Family Chair and Director of 6G@UT, University of Texas at Austin",ece.utexas.edu,67972,Wireless Communications | Communication Theory | Machine Learning for Communications | Stochastic Geometry | Information Theory,https://scholar.google.com/citations?hl=en&user=Hr9Gey0AAAAJ
Guihua Yu,"University of Texas at Austin, Stanford University, Harvard University, USTC",austin.utexas.edu,67038,Materials Science and Engineering | Nanoscience and Nanotechnology | Energy and Environmental Science,https://scholar.google.com/citations?hl=en&user=HDvwMAcAAAAJ
babuska i,"Professor Emeritus, Oden Institute, University of Texas, Austin",ices.utexas.edu,65968,Computational Mathematics,https://scholar.google.com/citations?hl=en&user=Ku3Fcb4AAAAJ
Andrew Ellington,"… Biosciences, Center for Systems and Synthetic Biology, University of Texas at Austin",austin.utexas.edu,60702,Synthetic Biology | Biodefense | Origins of Life | DNA computing,https://scholar.google.com/citations?hl=en&user=A0XsdIMAAAAJ
Brent Waters,University of Texas at Austin,cs.utexas.edu,60150,Cryptography | Computer Security,https://scholar.google.com/citations?hl=en&user=VEKxHOAAAAAJ
Robert Dickinson,"Jackson School of Geosciences, University of Texas Austin and AOS UCLA",jsg.utexas.edu,58951,land surface processes | climate,https://scholar.google.com/citations?hl=en&user=f_DdmMMAAAAJ
camille parmesan,CNRS (France); University of Texas at Austin (USA); University of Plymouth (UK),austin.utexas.edu,58257,climate change | global warming | conservation biology | insect-plant interactions,https://scholar.google.com/citations?hl=en&user=OK6zqaYAAAAJ
Nancy A. Moran,"Professor of Integrative Biology, University of Texas at Austin",austin.utexas.edu,57486,Evolution | microbiology | symbiosis | genomics | entomology,https://scholar.google.com/citations?hl=en&user=5CH2x_YAAAAJ
