Zena Werb,"Professor of Anatomy, University of California San Francisco",ucsf.edu,163286,breast cancer | mammary development | matrix metalloproteinases | stem cells | single cell analysis,https://scholar.google.com/citations?hl=en&user=tIFz0fYAAAAJ
Neil R. Powe,University of California San Francisco and Priscilla Chan and Mark Zuckerberg San …,ucsf.edu,134346,kidney disease | outcomes research | health policy,https://scholar.google.com/citations?hl=en&user=B1x2NvwAAAAJ
Peter Turnbaugh,"University of California, San Francisco",ucsf.edu,131258,microbiome | nutrition | pharmacology,https://scholar.google.com/citations?hl=en&user=K9A44wsAAAAJ
"Chi-yuan Hsu, MD, MSc","Division of Nephrology, University of California, San Francisco",medicine.ucsf.edu,122034,kidney | kidney disease | nephrology | acute kidney injury | chronic kidney disease,https://scholar.google.com/citations?hl=en&user=hRbJYEsAAAAJ
Douglas C Bauer,"University of California, San Francisco",ucsf.edu,111976,Not Mentioned,https://scholar.google.com/citations?hl=en&user=vcuxuI0AAAAJ
Peter Walter,"University of California, San Francisco",walterlab.ucsf.edu,101017,Cell Biology,https://scholar.google.com/citations?hl=en&user=GlcZhnAAAAAJ
Dennis Black,"University of California, San Francisco",ucsf.edu,96068,osteoporosis,https://scholar.google.com/citations?hl=en&user=wuAA7IwAAAAJ
Andrej Sali,"University of California, San Francisco",salilab.org,95852,structural biology | molecular biophysics | bioinformatics,https://scholar.google.com/citations?hl=en&user=mNWliccAAAAJ
peter carroll,"Professor of Urology, university of California san francisco",ucsf.edu,95385,oncology | prostate cancer,https://scholar.google.com/citations?hl=en&user=fMVL5WsAAAAJ
Gregory M Marcus,"University of California, San Francisco",medicine.ucsf.edu,93012,Clinical research | arrhythmias | technology | alcohol | mobile health,https://scholar.google.com/citations?hl=en&user=tC2t-3YAAAAJ
Charles McCulloch,"Professor of Biostatistics, University of California, San Francisco",Not Mentioned,89101,Biostatistics | statistics,https://scholar.google.com/citations?hl=en&user=4L1xEXMAAAAJ
Mary Whooley MD,"Professor of Medicine, University of California, San Francisco",ucsf.edu,88506,Health Services Research - Cardiovascular …,https://scholar.google.com/citations?hl=en&user=2vKDJdAAAAAJ
Steven G. Deeks,"University of California, San Francisco",ucsf.edu,80387,HIV | COVID-19 | Immunotherapy | Medicine,https://scholar.google.com/citations?hl=en&user=k6-1woQAAAAJ
Raymond Rosen,"University of California, San Francisco; Department of Psychiatry",ucsf.edu,80340,Men's and women's health | post-traumatic stress disorder,https://scholar.google.com/citations?hl=en&user=8XSSQgkAAAAJ
"Peter Ganz, MD","University of California, San Francisco",medsfgh.ucsf.edu,73542,Medicine,https://scholar.google.com/citations?hl=en&user=eIgdi00AAAAJ
Hope Rugo,"Professor of Medicine, University of California San Francisco",ucsf.edu,70086,Breast Cancer,https://scholar.google.com/citations?hl=en&user=WJWDALoAAAAJ
Michael D. Lesh,University of California San Francisco,ucsf.edu,68813,cardiac electrophysiology,https://scholar.google.com/citations?hl=en&user=S7VBIksAAAAJ
