Todd Adams,"Professor of Physics, Florida State University",hep.fsu.edu,220974,experimental particle physics,https://scholar.google.com/citations?hl=en&user=panLJB4AAAAJ
Andrew Askew,"Associate Professor of Physics, Florida State University",hep.fsu.edu,215007,Experimental High Energy Physics,https://scholar.google.com/citations?hl=en&user=84VAy7YAAAAJ
Thomas D. Schmittgen,Professor of Pharmaceutics University of Florida,ufl.edu,194183,cancer | microRNA | molecular biology | biochemistry,https://scholar.google.com/citations?hl=en&user=iRiDyqwAAAAJ
Dimitri Bourilkov,"Scientist, University of Florida",ufl.edu,177503,Particle physics,https://scholar.google.com/citations?hl=en&user=Aj_WlNUAAAAJ
Pete Markowitz,"Professor of Physics, Florida International University",fiu.edu,174824,nuclear and particle experiment,https://scholar.google.com/citations?hl=en&user=EujlFccAAAAJ
Philip Podsakoff,"Hyatt and Cici Brown Chair in Business, University of Florida",warrington.ufl.edu,169703,Organizational Citizenship Behavior | Organizational Research Methods | Leadership | Research Methods,https://scholar.google.com/citations?hl=en&user=w7uEqa8AAAAJ
JL Rodriguez,"CMS Collaboration, CLEO Collaboration, Belle Collaboration, University of Florida, Florida",fiu.edu,159520,Particle Physics,https://scholar.google.com/citations?hl=en&user=Ll6iuZUAAAAJ
Peter J. Lang,"Graduate Research Professor, University of Florida",phhp.ufl.edu,130582,Emotion | Anxiety and Phobia | Psychophysiology | Brain Imaging | Cognitive Neuroscience,https://scholar.google.com/citations?hl=en&user=0tXCI5kAAAAJ
David B Tanner,University of Florida,phys.ufl.edu,117819,Optics of solids | axions | gravitational waves,https://scholar.google.com/citations?hl=en&user=cdI5QFMAAAAJ
Stephen Pearton,"Professor of Materials Science and Engineering, University of Florida",mse.ufl.edu,110586,semiconductors | heterostructures | solid state devices | light emitting diodes | compound semiconductors,https://scholar.google.com/citations?hl=en&user=4FORIaAAAAAJ
Richard J Johnson,"Univ of WA, Baylor, Univ of Florida, Univ of CO",ucdenver.edu,104844,fructose | uric acid | hypertension | CKDu | Climate,https://scholar.google.com/citations?hl=en&user=dTgECeMAAAAJ
