Benjamin Hooberman,University of Illinois at Urbana-Champaign,fnal.gov,301779,physics,https://scholar.google.com/citations?hl=en&user=mHI8d_YAAAAJ
Mark Neubauer,University of Illinois at Urbana-Champaign,illinois.edu,228718,Particle Physics | Machine Learning | Scientific Computing,https://scholar.google.com/citations?hl=en&user=jxy08CgAAAAJ
Klaus Schulten,"Professor of Physics, University of Illinois at Urbana-Champaign",ks.uiuc.edu,165345,Biophysics | Computational Biology | Theoretical Physics | Theoretical Chemistry,https://scholar.google.com/citations?hl=en&user=k7vghtEAAAAJ
Thomas S. Huang,"University of Illinois, Urbana-Champaign",ifp.uiuc.edu,149706,Computer Vision | Image Processing | Pattern Recognition | Multimedia | AI,https://scholar.google.com/citations?hl=en&user=rGF6-WkAAAAJ
Austin Basye,University of Illinois at Urbana-Champaign,cern.ch,93666,Higgs and Top Physics | Deep Learning | Large Scale Distributed Data Analysis | Sports Analytics | Complex Systems,https://scholar.google.com/citations?hl=en&user=FC5ONVMAAAAJ
John M Davis,University of IL at Chicago,psych.uic.edu,90293,Psychiatry Pharmacology nutrition psychology,https://scholar.google.com/citations?hl=en&user=ehjWXVUAAAAJ
Liang Wang,"University of Illinois at Urbana-Champaign, Texas Instruments",ti.com,80374,GaN | InAlAs/InGaAs | HEMTs fabrication | characterization | metallization,https://scholar.google.com/citations?hl=en&user=ENUnRxoAAAAJ
philip phillips,university of illinois at urbana champaign,illinois.edu,71826,physics,https://scholar.google.com/citations?hl=en&user=4dAkK0wAAAAJ
Catherine J. Murphy,"Larry R. Faulkner Endowed Chair in Chemistry, University of  Illinois at Urbana-Champaign",illinois.edu,69300,inorganic nanomaterials | nanobioscience,https://scholar.google.com/citations?hl=en&user=MlZ4SzAAAAAJ
Hanghang Tong,University of Illinois at Urbana-Champaign,illinois.edu,66509,Large Scale Data Mining | Graph Mining | Social Networks | Healthcare | Multimedia,https://scholar.google.com/citations?hl=en&user=RaINcuUAAAAJ
Kenneth S. Suslick,"Schmidt Research Professor of Chemistry, University of Illinois at Urbana-Champaign",uiuc.edu,64967,sonochemistry | chemical sensors | sonoluminescence | MOFs | mechanochemistry,https://scholar.google.com/citations?hl=en&user=i4giqlkAAAAJ
Matthias Grosse Perdekamp,"Professor of Physics University of Illinois, Urbana Champaign",illinois.edu,62945,Nuclear Physics,https://scholar.google.com/citations?hl=en&user=KeL5Y3MAAAAJ
Gary J. Olsen,"Professor of Microbiology, University of Illinois at Urbana-Champaign",life.uiuc.edu,62035,Comparative genomics | Evolution | Archaea,https://scholar.google.com/citations?hl=en&user=Phx4HUEAAAAJ
Brent W Roberts,"University of Illinois, Urbana-Champaign & The University of Tübingen",illinois.edu,57100,Personality Psychology,https://scholar.google.com/citations?hl=en&user=daEwk7YAAAAJ
