Martin Sevior,University of Melbourne,unimelb.edu.au,267759,Physics research | Free Software | Energy,https://scholar.google.com/citations?hl=en&user=LYLVqjcAAAAJ
George Patton,University of Melbourne; Murdoch Childrens Research Institute.,unimelb.edu.au,143789,Mental Health | Adolescent Health | Psychiatric epidemiology | Psychiatry,https://scholar.google.com/citations?hl=en&user=hqAf_AgAAAAJ
Colin Louis Masters,The University of Melbourne,florey.edu.au,136786,Not Mentioned,https://scholar.google.com/citations?hl=en&user=52L5ZpIAAAAJ
Rajkumar Buyya,"School of Computing and Information Systems, The Uni of Melbourne; Fellow of IEEE & …",unimelb.edu.au,131578,Cloud Computing | Distributed Systems | Edge Computing | Internet of Things | Sustainable Computing,https://scholar.google.com/citations?hl=en&user=7xN6JqYAAAAJ
John L Hopper,University of Melbourne,unimelb.edu.au,124999,Not Mentioned,https://scholar.google.com/citations?hl=en&user=i9GTRzQAAAAJ
Anthony Jorm,"Emeritus Professor, University of Melbourne",unimelb.edu.au,102056,mental health | psychiatry | psychology | public health | population health,https://scholar.google.com/citations?hl=en&user=YBpsjrkAAAAJ
Patrick McGorry,Professor of Youth Mental Health University of Melbourne Executive Director Orygen,orygen.org.au,98517,youth mental health early intervention …,https://scholar.google.com/citations?hl=en&user=gZNlPywAAAAJ
John B. Carlin,"Murdoch Childrens Research Institute, University of Melbourne",mcri.edu.au,96300,Not Mentioned,https://scholar.google.com/citations?hl=en&user=dwTsUYsAAAAJ
Benjamin Cowie,"WHO Collaborating Centre for Viral Hepatitis, Doherty Institute, The University of Melbourne",mh.org.au,90506,Epidemiology | Public Health | Infectious Diseases | Viral Hepatitis,https://scholar.google.com/citations?hl=en&user=YxiaQuwAAAAJ
Jafar (S Ruhollah) Shojaii,The university of Melbourne,cern.ch,88673,ASIC design | Radiation hardened Electronics | Particle physics | Photonic,https://scholar.google.com/citations?hl=en&user=n-o48PoAAAAJ
Joachim Heinrich,"LMU, University of Melbourne, helmholtz, gsf,",med.uni-muenchen.de,88010,Epidemiology Air pollution Cohort studies,https://scholar.google.com/citations?hl=en&user=m0r89tMQj_oC
Samuel F Berkovic,"Laureate Professor, University of Melbourne",unimelb.edu.au,85970,Neurology | epilepsy,https://scholar.google.com/citations?hl=en&user=kq6STsoAAAAJ
Frank Caruso,University of Melbourne,unimelb.edu.au,78499,Not Mentioned,https://scholar.google.com/citations?hl=en&user=ohJGGT8AAAAJ
Uli Felzmann,The University of Melbourne,unimelb.edu.au,77138,Not Mentioned,https://scholar.google.com/citations?hl=en&user=2u8IvJcAAAAJ
James C. Bezdek,"University of Melbourne, Computer and Information Systems",unimelb.edu.au,75965,Pattern Recognition | Artificial Intelligence | Fuzzy Systems,https://scholar.google.com/citations?hl=en&user=kXy4LAMAAAAJ
Michael Kamm,University of Melbourne,unimelb.edu.au,74027,Gastroenterology,https://scholar.google.com/citations?hl=en&user=yiQWrjIAAAAJ
Christos Pantelis,"Professor of Neuropsychiatry, University of Melbourne",unimelb.edu.au,73322,schizophrenia | psychosis | neurodevelopmental disorders | neuroimaging | neuropsychology,https://scholar.google.com/citations?hl=en&user=h-r1GoAAAAAJ
Michael Goddard,University of Melbourne,unimelb.edu.au,69225,quantitative genetics,https://scholar.google.com/citations?hl=en&user=iE_caH8AAAAJ
Ary Hoffmann,The University of Melbourne,unimelb.edu.au,68293,Not Mentioned,https://scholar.google.com/citations?hl=en&user=vWNn8owAAAAJ
Shitij Kapur,University of Melbourne,unimelb.edu.au,63676,Schizophrenia | Neuroscience | Biomarkers and New Treatments,https://scholar.google.com/citations?hl=en&user=rBXkJ2EAAAAJ
Jane Elith,"Professor, University of Melbourne",unimelb.edu.au,63661,Species distribution models,https://scholar.google.com/citations?hl=en&user=IoWsesQAAAAJ
Paul Mulvaney,University of Melbourne,unimelb.edu.au,60036,chemistry | physics | surface science,https://scholar.google.com/citations?hl=en&user=BeJc50wAAAAJ
Cassandra Szoeke,University of Melbourne,unimelb.edu.au,58282,Not Mentioned,https://scholar.google.com/citations?hl=en&user=8fQ-27kAAAAJ
Christopher Cleon Rowe,University of Melbourne,austin.org.au,56941,Brain Imaging | Alzheimer's Disease | Parkinsons Disease,https://scholar.google.com/citations?hl=en&user=yEb8kQIAAAAJ
Prof. Sean M. Grimmond,The University of Melbourne Centre for Cancer Research,unimelb.edu.au,54124,Cancer Genetics | Genomics | Bioinformatics,https://scholar.google.com/citations?hl=en&user=L0amJ5AAAAAJ
Mark Mackay,"Associate Professor, Department of Paediatrics, University of Melbourne",rch.org.au,51253,Pediatric Neurology,https://scholar.google.com/citations?hl=en&user=iLrUN1oAAAAJ
Eduard Hovy,"University of Melbourne, CMU",andrew.cmu.edu,50941,NLP | AI,https://scholar.google.com/citations?hl=en&user=xMne5ZUAAAAJ
Will Hopkins,"Prof. of Research Design and Statistics, Victoria University, Melbourne, Australia",vu.edu.au,50657,Exercise and Sports Medicine and Science,https://scholar.google.com/citations?hl=en&user=vxPGNgUAAAAJ
Jannie SJ van Deventer,Zeobond; The University of Melbourne,zeobond.com,49831,cement | minerals | waste,https://scholar.google.com/citations?hl=en&user=FCYPuuUAAAAJ
JB Furness,Florey Institute of Neuroscience and Mental Health & University of Melbourne,unimelb.edu.au,49500,Enteric Nervous System,https://scholar.google.com/citations?hl=en&user=JRQaob8AAAAJ
Cynthia Hardy,"Professor of Management, University of Melbourne",unimelb.edu.au,47546,Management,https://scholar.google.com/citations?hl=en&user=OlxGJksAAAAJ
Dan Li,The University of Melbourne,unimelb.edu.au,46925,2D membranes | nanoionics | nanofluidics | electrochemical energy storage,https://scholar.google.com/citations?hl=en&user=lQmBg7kAAAAJ
Charles Abraham,"Professor of Psychology, University of Melbourne",unimelb.edu.au,46693,Psychology,https://scholar.google.com/citations?hl=en&user=hxp12H0AAAAJ
William Heath,"Department of Microbiology and Immunology, University of Melbourne",unimelb.edu.au,46253,Immunology | T cells | malaria | dendritic cells,https://scholar.google.com/citations?hl=en&user=WdUHeYYAAAAJ
David Balding,"… Integrative Genomics, Schools of BioSciences and of Maths & Stats, U Melbourne",unimelb.edu.au,43407,statistical genetics | population genetics | forensic DNA profiles | computational statistics | computational biology,https://scholar.google.com/citations?hl=en&user=9bqHVEsAAAAJ
roger powell,"Emeritus Professor, University of Melbourne",unimelb.edu.au,43234,Earth Sciences,https://scholar.google.com/citations?hl=en&user=9Ww79RMAAAAJ
Alan JM Baker,The Universities of Melbourne and Queensland Australia,unimelb.edu.au,41356,Heavy metal tolerance and uptake and … | hyperaccumulators | phytoremediation technology | phytomining,https://scholar.google.com/citations?hl=en&user=j9Q2oPAAAAAJ
Karen Jehn,University of Melbourne,mbs.edu,40815,conflict management and negotiations | group processes and team effectiveness | research methodology | workplace diversity | politic,https://scholar.google.com/citations?hl=en&user=yARVqF0AAAAJ
Thomas A McMahon,"Emeritus Professor, University of Melbourne",unimelb.edu.au,40130,Hydrology | water resources,https://scholar.google.com/citations?hl=en&user=4G5rwSMAAAAJ
daniel hoyer,U of Melbourne,unimelb.edu.au,39696,Not Mentioned,https://scholar.google.com/citations?hl=en&user=LEJYrN4AAAAJ
