"Graham Colditz, MD, DrPH","Professor, Dept. of Surgery, Washington University in St. Louis",wustl.edu,363045,Epidemiology | Cancer Prevention | Health Outcomes,https://scholar.google.com/citations?hl=en&user=M5_mEHQAAAAJ
Oliver H. Lowry,"Biochemistry, Washington University in St. Louis",Not Mentioned,268075,biochemistry,https://scholar.google.com/citations?hl=en&user=YCS0XAcAAAAJ
Douglass C. North,"Department of Economics, Washington University",artsci.wustl.edu,188254,Economic History | Institutions,https://scholar.google.com/citations?hl=en&user=-LcMZqMAAAAJ
Marcus E. Raichle,The Alan and Edith Wolff Distinguished Professor in Medicine,npg.wustl.edu,178082,brain imaging,https://scholar.google.com/citations?hl=en&user=IyXCbX0AAAAJ
Robert Fulton,Washington University,wustl.edu,148273,Genetics | Genome Sequencing,https://scholar.google.com/citations?hl=en&user=FfAN1SMAAAAJ
David Holtzman,Washington University in St. Louis,neuro.wustl.edu,143606,Alzheimer disease,https://scholar.google.com/citations?hl=en&user=HDm_NV4AAAAJ
"Andrew C Heath, DPhil","Professor in Psychiatry, Washington University in St Louis",wustl.edu,141440,Alcoholism/addiction | obesity/eating disorders | psychiatric co morbidity | psychiatric epidemiology & genetics | GE interplay,https://scholar.google.com/citations?hl=en&user=7_O-J8YAAAAJ
Lucinda Fulton,Washington University School of Medicine,wustl.edu,141220,Human Reference | Genome Sequencing | Administration and Study of Science,https://scholar.google.com/citations?hl=en&user=Ay459QUAAAAJ
Xiandong Zhao,Ph.D. of Particle Physics,wustl.edu,124116,Physics | Particle Physics | High Energy Physics,https://scholar.google.com/citations?hl=en&user=eOem9VoAAAAJ
Wei Wang,"Mallinckrodt Institute of Radiology, Washington University School of Medicine",wustl.edu,120956,Neuroradiology | functional brain mapping | brain-computer interface | neuroimaging | neural engineering,https://scholar.google.com/citations?hl=en&user=Rc95UwkAAAAJ
Abraham Z. Snyder,"Reserach Professor of Radiology, Washington University School of Medicine",npg.wustl.edu,118947,Neuroimaging | intrinsic brain activity,https://scholar.google.com/citations?hl=en&user=fBx1kaMAAAAJ
Michael Wendl,Washington University,wustl.edu,118167,Mathematics | Bioinformatics | Engineering | Statistical Genetics | Fluid Physics,https://scholar.google.com/citations?hl=en&user=MTQJx7IAAAAJ
Robert Schreiber,Washington University School of Medicine,immunology.wustl.edu,117767,Tumor Immunology | Cancer Immunotherapy | Interferon-gamma | Cytokine Receptor Signaling | Cytokine Biology,https://scholar.google.com/citations?hl=en&user=kd-l1MoAAAAJ
Michael D McLellan,The Genome Institute at Washington University School of Medicine,wustl.edu,112349,Not Mentioned,https://scholar.google.com/citations?hl=en&user=oOIYc4YAAAAJ
