Majid Arabgol,Purdue University,purdue.edu,219459,Not Mentioned,https://scholar.google.com/citations?hl=en&user=E2M08K4AAAAJ
Souvik Das,Purdue University,cern.ch,210877,High Energy Physics,https://scholar.google.com/citations?hl=en&user=ujBPpF0AAAAJ
Norbert Neumeister,"Professor of Physics, Purdue University",purdue.edu,189466,Particle Physics | High Energy Physics,https://scholar.google.com/citations?hl=en&user=htgqRewAAAAJ
Stefan Piperov,"INRNE-BAS, CERN, Fermilab, Brown University, Purdue University",cern.ch,179449,Experimental Particle Physics,https://scholar.google.com/citations?hl=en&user=EAB4Z44AAAAJ
Dr. MK Jha,Purdue University,purdue.edu,174342,Experimental High Energy Physics,https://scholar.google.com/citations?hl=en&user=rO1KraYAAAAJ
Alexey Svyatkovskiy,"Microsoft, Princeton University, Purdue University",princeton.edu,143334,Particle physics | Machine learning | Computational Science,https://scholar.google.com/citations?hl=en&user=0Oj4J4wAAAAJ
Fuqiang Wang,"Professor of Physics, Purdue University",purdue.edu,140159,Physics,https://scholar.google.com/citations?hl=en&user=hqGIkOIAAAAJ
Robert Graham Cooks,"Professor of Chemistry, Purdue University",purdue.edu,90733,analytical chemistry,https://scholar.google.com/citations?hl=en&user=_Jxju_sAAAAJ
Yang Chen,"PhD student of Computer Graphics Technology, Purdue University",purdue.edu,90412,Game study | User Interface/ User Experience study,https://scholar.google.com/citations?hl=en&user=gl26ACAAAAAJ
Steven Steinhubl,"Professor of Biomedical Engineering, Purdue University; CMO, physIQ",purdue.edu,72721,Digital Medicine,https://scholar.google.com/citations?hl=en&user=FyOhYrMAAAAJ
