Louisa Degenhardt,University of New South Wales,unsw.edu.au,205821,Not Mentioned,https://scholar.google.com/citations?hl=en&user=ObRz9F0AAAAJ
Konrad Pesudovs,University of New South Wales,unsw.edu.au,134419,Ophthalmology Outcomes Research,https://scholar.google.com/citations?hl=en&user=ldst3VwAAAAJ
Liming Dai,University of New South Wales,unsw.edu.au,113421,Advanced Carbon Materials | Polymers | Electrochemistry | Catalysis,https://scholar.google.com/citations?hl=en&user=Qsz_ZXwAAAAJ
Martin A Green,University of New South Wales,unsw.edu.au,111163,Photovoltaics | Semiconductors,https://scholar.google.com/citations?hl=en&user=roS0_Z0AAAAJ
Philip B. Mitchell,"Scientia Professor, School of Psychiatry, University of New South Wales, Sydney, Australia",unsw.edu.au,102771,Bipolar disorder | Depression | Genetics | Mental health | Psychiatry,https://scholar.google.com/citations?hl=en&user=RO7OANoAAAAJ
Perminder Sachdev,University of New South Wales,unsw.edu.au,98199,Psychiatry | Dementia | Brain Ageing | Neuroscience | Movement Disorders,https://scholar.google.com/citations?hl=en&user=joXgLDoAAAAJ
Guy B. Marks,"University of New South Wales, Woolcock Institute of Medical Research",unsw.edu.au,93049,tuberculosis | asthma | COPD | air pollution,https://scholar.google.com/citations?hl=en&user=_i2ns7QAAAAJ
Aletta E Schutte,University of New South Wales/George Institute for Global Health,unsw.edu.au,92399,cardiovascular | blood pressure | hypertension,https://scholar.google.com/citations?hl=en&user=f1oels0AAAAJ
Dr Soufiane Boufous,… and Road Safety (TARS) Research; School of Aviation; University of New South Wales,unsw.edu.au,89160,Injury prevention | Road safety | Epidemiology | Data linkage.,https://scholar.google.com/citations?hl=en&user=orQcSTYAAAAJ
Henri Prade,"CNRS, France and University of New South Wales",TheMagicLab.org,88442,Artificial Intelligence | Decision Making,https://scholar.google.com/citations?hl=en&user=Hw_xpykAAAAJ
