Emelia J. Benjamin,"The Framingham Heart Study, Boston University",bu.edu,330825,Atrial fibrillation | Cardiovascular epidemiology | inflammation | vascular function,https://scholar.google.com/citations?hl=en&user=Xbwuw8gAAAAJ
Ralph B. D'Agostino,Boston University,bu.edu,292339,Statistics | Biostatistics | Medical Statistics | Epidemiology | Cardiovascular Disease,https://scholar.google.com/citations?hl=en&user=FupgTT8AAAAJ
Saul Youssef,"Research Associate Professor, Boston University",bu.edu,226666,Physics | Mathematics | Computing,https://scholar.google.com/citations?hl=en&user=E32pwxsAAAAJ
H. Eugene Stanley,"Professor of Physics, Boston University",bu.edu,220234,Water | Networks | Econophysics | Biophysics | Complex Systems,https://scholar.google.com/citations?hl=en&user=1fatN9EAAAAJ
Steven P Ahlen,"Physics Department, Boston University",bu.edu,204062,high energy physics,https://scholar.google.com/citations?hl=en&user=DooyfBsAAAAJ
Ramachandran S. Vasan,"professor of Medicine, Boston University School of Medicine",bu.edu,189742,Not Mentioned,https://scholar.google.com/citations?hl=en&user=lUCod98AAAAJ
Michael F. Holick,Boston University,bu.edu,159859,Not Mentioned,https://scholar.google.com/citations?hl=en&user=KzcHdGUAAAAJ
David Felson,Boston University,bu.edu,157961,Not Mentioned,https://scholar.google.com/citations?hl=en&user=m9JvO4kAAAAJ
"Philimon Gona, PhD, MSc. MPH, FAHA","Associate Professor of Biostatistics, University of Massachusetts Boston",umb.edu,147637,Biostatistics | Cardiovascular Disease Epidemiology | Statistical Methods for Public Health | HIV/AIDS | Global Health,https://scholar.google.com/citations?hl=en&user=rnQJ-dUAAAAJ
Joseph Massaro,"Professor of Biostatistis, Boston University",bu.edu,143663,Biostatstics | Clinical Trials,https://scholar.google.com/citations?hl=en&user=Fa42N2YAAAAJ
Alexa Beiser,Boston University,bu.edu,135650,Biostatistics | Neuroepidemiology | Dementia,https://scholar.google.com/citations?hl=en&user=A1HRwJQAAAAJ
Zeynep Demiragli,"Assistant Professor of Physics, Boston University",bu.edu,124536,High Energy Experimental Physics,https://scholar.google.com/citations?hl=en&user=DJYOMKMAAAAJ
Sandro Galea,"Professor, Dean, Boston University",bu.edu,91005,epidemiology,https://scholar.google.com/citations?hl=en&user=wltWtzkAAAAJ
Kenneth J Rothman,Research Triangle Institute and Boston University,rti.org,90125,Epidemiology,https://scholar.google.com/citations?hl=en&user=puU9ks0AAAAJ
Alessandro Vespignani,"Sternberg Family Distinguished Professor, Northeastern University, Boston",neu.edu,84866,Network Science | Computational Epidemiology | Data Science | Statistical Physics | Complex Systems,https://scholar.google.com/citations?hl=en&user=U3CXAPsAAAAJ
Pierre Perron,"Department of Economics, Boston University",bu.edu,81147,Econometrics | Time Series Econometrics | Economics | Statistics | Time Series Analysis,https://scholar.google.com/citations?hl=en&user=BfRW2woAAAAJ
Stephen Grossberg,"Wang Professor of Cognitive and Neural Systems, Boston University",bu.edu,80248,computational neuroscience | theoretical cognitive science and psychology | neuromorphic technology | applied mathematics,https://scholar.google.com/citations?hl=en&user=3BIV70wAAAAJ
Richard H. Myers,"Professor Emeritus, Boston University School of Medicine",bu.edu,74434,Neurogenetics | neurodegeneration | computational genetics,https://scholar.google.com/citations?hl=en&user=d1d3PxYAAAAJ
Ranga Myneni,"Department of Earth & Environment, Boston University, USA",bu.edu,73119,Remote Sensing | Climate Change | Biogeosciences | Geosciences | Ecology,https://scholar.google.com/citations?hl=en&user=NczWU8AAAAAJ
Bessel Van Der Kolk,Boston University,bu.edu,72634,PTSD | development | memory,https://scholar.google.com/citations?hl=en&user=1oHBFlMAAAAJ
Stefan G. Hofmann,"… von Humboldt Professor, Philipps-University Marburg and Professor, Boston University",bu.edu,69043,Clinical Psychology | Cognitive Behavioral Therapy | Anxiety Disorders | Social Anxiety,https://scholar.google.com/citations?hl=en&user=viXvPqMAAAAJ
Terence M. Keane,VA National Center for PTSD & Boston University School of Medicine,va.gov,66518,PTSD,https://scholar.google.com/citations?hl=en&user=2BF69nMAAAAJ
"Christopher S. Chen, MD, Ph.D.","Biomedical Engineering, Boston University; The Wyss Institute for Biologically Inspired …",bu.edu,65240,Systems Mechanobiology | Tissue Engineering and Regenerative … | Adhesion Biology,https://scholar.google.com/citations?hl=en&user=-6maX04AAAAJ
Timothy A. Brown,"Professor of Psychology, Boston University",bu.edu,64743,Clinical Psychology,https://scholar.google.com/citations?hl=en&user=ZJfyAaQAAAAJ
"Lindsay A. Farrer, Ph.D.","Distinguished Professor of Genetics & Chief Biomedical Genetics, Boston University",bu.edu,63644,genetics of neurodegenerative and eye … | genomics,https://scholar.google.com/citations?hl=en&user=Y9eR0M8AAAAJ
Detlef Schuppan,"… Medicine Mainz University Medical Center, Germany, and Harvard Medical School, Boston …",bidmc.harvard.edu,61774,biomedicine,https://scholar.google.com/citations?hl=en&user=0C46CVgAAAAJ
Howard Eichenbaum,Boston University,Not Mentioned,60306,neuroscience,https://scholar.google.com/citations?hl=en&user=-kG-N1sAAAAJ
LF Abbott,"… University, CERN, Boston University, Columbia University, Stanford Linear Accelerator",columbia.edu,57999,Theoretical Neuroscience,https://scholar.google.com/citations?hl=en&user=ca_O-WQAAAAJ
James Galagan,"Associate Professor, Boston University",bu.edu,54921,Systems Biology | Genomics | Computational Biology | Tuberculosis | Neurospora crassa,https://scholar.google.com/citations?hl=en&user=T2UE00sAAAAJ
Douglas T. (Tim) Hall,Boston University School of Management,bu.edu,54760,Careers | work-life | leadership development | career development | protean careers,https://scholar.google.com/citations?hl=en&user=kwEX-e8AAAAJ
N. Venkat Venkatraman,David J. McGrath Jr. Professor at Boston University Questrom School of Business,bu.edu,51313,Management | IT Strategy | Strategy | Digital business,https://scholar.google.com/citations?hl=en&user=U_rlsrUAAAAJ
Benjamin Sovacool,"Boston University, University of Sussex, and Aarhus University",sussex.ac.uk,50969,Energy security | energy policy | energy studies | climate policy | science and technology studies,https://scholar.google.com/citations?hl=en&user=wKHreQ0AAAAJ
David A Boas,Boston University,bu.edu,49869,Biomedical Optics | Neurophotonics,https://scholar.google.com/citations?hl=en&user=mgQkio4AAAAJ
