Andreas Warburton,"Professor of Physics, McGill University",mcgill.ca,345275,Physics | Particle Physics | High Energy Physics | Instrumentation | Elementary Particle Physics,https://scholar.google.com/citations?hl=en&user=HI4OwhYAAAAJ
Henry Mintzberg,McGill University,mcgill.ca,225188,management | organization | strategy | rebalancing society,https://scholar.google.com/citations?hl=en&user=gAxRsSAAAAAJ
Matt Dobbs,"Professor of Physics, McGill University",mcgill.ca,160237,Observational Cosmology | Astroparticle Physics,https://scholar.google.com/citations?hl=en&user=C6Hw6DMAAAAJ
Guy Rouleau,"Montreal Neurological Institute-Hospital, McGill University",mcgill.ca,99924,Not Mentioned,https://scholar.google.com/citations?hl=en&user=vWFB6H4AAAAJ
Serge Gauthier,"Professor, McGill University",mcgill.ca,90157,Alzheimer's disease,https://scholar.google.com/citations?hl=en&user=sSfC22UAAAAJ
Ronald Melzack,"Professor Emeritus, Department of Psychology, McGill University",yorku.ca,87803,Pain Mechanisms,https://scholar.google.com/citations?hl=en&user=R48IMwsAAAAJ
Samy Suissa,McGill University,mcgill.ca,74421,Not Mentioned,https://scholar.google.com/citations?hl=en&user=apOLBwYAAAAJ
Ernesto L. Schiffrin,"Professor, Department of Medicine, McGill University",mcgill.ca,71497,Hypertension,https://scholar.google.com/citations?hl=en&user=iwj2x94AAAAJ
James Hanley,McGill University,mcgill.ca,69763,Biostatistics,https://scholar.google.com/citations?hl=en&user=wo4LePAAAAAJ
D. Louis Collins,"Professor of Biomedical Engineering and Neurology & Neurosurgery, McGill University",mcgill.ca,68814,medical image processing | MRI | neurology | Alzheimer | multiple sclerosis,https://scholar.google.com/citations?hl=en&user=ib5GlrQAAAAJ
Elena M. Bennett,McGill University,mcgill.ca,68810,ecology | ecosystem services | phosphorus,https://scholar.google.com/citations?hl=en&user=x0BXM00AAAAJ
Robert Zatorre,McGill University,mcgill.ca,68697,Cognitive Neuroscience | auditory neuroscience | music cognition | neuroimaging,https://scholar.google.com/citations?hl=en&user=7PAd3Z0AAAAJ
Michael Pollak,McGill University,mcgill.ca,65839,cancer | oncology,https://scholar.google.com/citations?hl=en&user=37Vcb5EAAAAJ
William D. Foulkes,"Professor of Oncology, Medicine, and Human Genetics. McGill University",mail.mcgill.ca,61421,Genetics | Cancer | Oncology,https://scholar.google.com/citations?hl=en&user=is21WEUAAAAJ
JB Poline,"MNI, McGill University and  UC Berkeley",mcgill.ca,58825,Neuroinformatics | Biostatistics for Brain imaging | fMRI | Imaging genetics,https://scholar.google.com/citations?hl=en&user=BU7Zdi4AAAAJ
"Turecki, Gustavo",McGill University,mcgill.ca,58549,Not Mentioned,https://scholar.google.com/citations?hl=en&user=idCRVRUAAAAJ
mario bunge,McGill University,usc.edu,55755,Philosophy of Science | Philosophy of Social Science | Philosophy of Physics | Philosophy | Methodology,https://scholar.google.com/citations?hl=en&user=7MmcYgEAAAAJ
John Lin,McGill University,mail.mcgill.ca,53413,Not Mentioned,https://scholar.google.com/citations?hl=en&user=0y45tAwAAAAJ
Arun S Mujumdar,"Adjunct Professor, Bioresource Engg & Mining Engineering, McGill University, Canada",Not Mentioned,53152,Thermal Fluids Engineering | Drying Technology | Food Engineering  & Science | Energy Systems | Modeling Transport Phenomena in Meta,https://scholar.google.com/citations?hl=en&user=NvBGTd4AAAAJ
Madhukar Pai,"Professor of Epidemiology, McGill University",mcgill.ca,51343,Tuberculosis | Global Health | Public Health | Infectious Diseases,https://scholar.google.com/citations?hl=en&user=insvxPUAAAAJ
Michael Petrides,"Professor, McGill University",Not Mentioned,51212,cognitive neuroscience,https://scholar.google.com/citations?hl=en&user=nwvIwvoAAAAJ
Moshe Szyf,Professor of Pharmacology McGill University,mcgill.ca,50257,epigemetics | cancer behavior,https://scholar.google.com/citations?hl=en&user=81Wd8f8AAAAJ
"Eduardo L. Franco, Professor",McGill University,mcgill.ca,48267,epidemiology | cancer prevention | human papillomavirus infection,https://scholar.google.com/citations?hl=en&user=9GDejd4AAAAJ
David   Goltzman,"Professor of Medicine, McGill University",mcgill.ca,45921,metabolic bone disease,https://scholar.google.com/citations?hl=en&user=xjTIwngAAAAJ
Wilson Miller,McGill University,ldi.jgh.mcgill.ca,45594,Not Mentioned,https://scholar.google.com/citations?hl=en&user=cDMBfi0AAAAJ
Susan R Kahn,"Professor of Medicine, Canada Research Chair, McGill University",mcgill.ca,44074,thromboembolism | anticoagulants | epidemiology | clinical trials | quality of life,https://scholar.google.com/citations?hl=en&user=TIk9qnUAAAAJ
john j. jonas,"professor, mcgill university",mcgill.ca,44033,materials,https://scholar.google.com/citations?hl=en&user=pxp0fK4AAAAJ
Louise Pilote,"… of Medicine, James McGill Chair, McGill University Health Center and McGill University",Not Mentioned,43539,Gender Medicine | Cardiovascular Epidemiology | Big Data Science,https://scholar.google.com/citations?hl=en&user=uzacz2gAAAAJ
Leon Glass,"Professor of Physiology, McGill University",mcgill.ca,43421,nonlinear dynamics | mathematical biology | genetic networks | cardiac arrhythmias | vision,https://scholar.google.com/citations?hl=en&user=8LN2i8MAAAAJ
Josee Dupuis,"… , Department of Epidemiology, Biostatistics and Occupational Health, McGill University",mcgill.ca,43393,Statistical genetics,https://scholar.google.com/citations?hl=en&user=SYR7nl4AAAAJ
"Laurence J. Kirmayer, MD","… McGill Professor & Director, Division of Social & Transcultural Psychiatry, McGill University",mcgill.ca,41240,cultural psychiatry | medical anthropology | psychological anthropology | philosophy of psychiatry,https://scholar.google.com/citations?hl=en&user=FQX6D3UAAAAJ
Howard Bussey,"Professor Emeritus of Biology, McGill University",mcgill.ca,38729,Not Mentioned,https://scholar.google.com/citations?hl=en&user=hDQ3ZMIAAAAJ
Robert W Platt,McGill University,mcgill.ca,37890,Biostatistics | Epidemiology,https://scholar.google.com/citations?hl=en&user=P6OE6x8AAAAJ
Ian Shrier,McGill University,mcgill.ca,37049,epidemiology | sport medicine | injury | evidence synthesis | causal inference,https://scholar.google.com/citations?hl=en&user=7migbTUAAAAJ
William J. Muller,"Professor, McGill University",mcgill.ca,36852,breast cancer,https://scholar.google.com/citations?hl=en&user=Zd5n9-UAAAAJ
Jeffrey Mogil,McGill University,mcgill.ca,36561,Pain,https://scholar.google.com/citations?hl=en&user=j-zlY8AAAAAJ
Simon Gravel,"Associate Professor, McGill University",mcGill.ca,36346,Genetics | Genomics | Applied Math,https://scholar.google.com/citations?hl=en&user=0wQ8O80AAAAJ
Vincent Giguere,"Professor, McGill University",mcgill.ca,35275,Cancer biology,https://scholar.google.com/citations?hl=en&user=yHo1fbEAAAAJ
Andrew Gonzalez,"Professor of Biology, McGill University",mcgill.ca,34745,biodiversity change | evolutionary rescue | mesoecology | connectivity conservation | sustainability,https://scholar.google.com/citations?hl=en&user=nxg3KqkAAAAJ
R Rozen,"Professor Human Genetics and Pediatrics, McGill University",mcgill.ca,34652,Not Mentioned,https://scholar.google.com/citations?hl=en&user=Cj5Jy-oAAAAJ
