Paul Zimmet,"Monash University, BakerIDI",monash.edu,289761,Diabetes | Epidemiology | Genetics | Epigenetics,https://scholar.google.com/citations?hl=en&user=d-NvY4cAAAAJ
Jordan Nash,Dean Faculty of Science Monash University,monash.edu,229585,Experimental Particle Physics,https://scholar.google.com/citations?hl=en&user=Y3fGBawAAAAJ
Amanda Samantha,"Student ,Studying Criminal Law in Monash University",student.monash.edu,202460,Criminal law,https://scholar.google.com/citations?hl=en&user=vWlT4x4AAAAJ
Rachelle Buchbinder,"Professor, Monash University and Cabrini Institute",monash.edu,150454,Musculoskeletal | arthritis | back pain | health literacy | shoulder pain,https://scholar.google.com/citations?hl=en&user=zPHPtOIAAAAJ
Andrew J Stewart Coats,"Academic VP, Monash and Warwick Universities",monash.edu,138888,Heart Failure | Hypertension | Biotechnology | Organisational Behaviour,https://scholar.google.com/citations?hl=en&user=0XkC2dsAAAAJ
Ulrik Egede,"Professor of Physics, Monash University",monash.edu,128405,Particle Physics | Flavour Physics | Machine learning applications,https://scholar.google.com/citations?hl=en&user=MWAinIAAAAAJ
Matthew J Page,Monash University,monash.edu,126728,meta-research | metascience | systematic review | meta-analysis,https://scholar.google.com/citations?hl=en&user=YNUamsYAAAAJ
Mark Cooper,"Department of Diabetes, Monash University",monash.edu,121870,diabetes | nephrology | diabetic complications,https://scholar.google.com/citations?hl=en&user=or1BLkgAAAAJ
Peter Skands,"Professor of Physics, Monash University",monash.edu,114960,Particle Physics | QCD | Monte Carlo,https://scholar.google.com/citations?hl=en&user=RI4xDNsAAAAJ
stephen hall,Monash university,Not Mentioned,104529,Arthritis | systemic lupus erythematosus,https://scholar.google.com/citations?hl=en&user=NJoCklsAAAAJ
German Valencia,"Professor of Physics, Monash University",monash.edu,99151,Particle Physics phenomenology,https://scholar.google.com/citations?hl=en&user=jDYPto0AAAAJ
Robin Room,La Trobe University,latrobe.edu.au,96201,Not Mentioned,https://scholar.google.com/citations?hl=en&user=-fBmqcgAAAAJ
Amanda Thrift,Monash University,monash.edu,90305,global health | epidemiology | clinical trials | hypertension | disadvantage,https://scholar.google.com/citations?hl=en&user=5gf7YUAAAAAJ
Eric Thrane,"Professor in Physics & Astronomy, Monash University",monash.edu,90177,astrophysics | cosmology | gravitational waves | neutrinos,https://scholar.google.com/citations?hl=en&user=FIUZuS0AAAAJ
