Julia Velkovska,Vanderbilt University,vanderbilt.edu,207413,quark-gluon plasma | heavy ion collisions | nuclear physics | high-energy physics,https://scholar.google.com/citations?hl=en&user=kkJMCHEAAAAJ
Senta Greene,Vanderbilt University,vanderbilt.edu,188526,Not Mentioned,https://scholar.google.com/citations?hl=en&user=_AXYuRIAAAAJ
Dan Roden,"Professor of Medicine and Pharmacology, Vanderbilt University",vanderbilt.edu,163176,arrhythmia | electrophysiology | cardiology | pharmacology | genetics,https://scholar.google.com/citations?hl=en&user=mDDqEQUAAAAJ
Kristopher J. Preacher,"Professor, Quantitative Methods, Vanderbilt University",vanderbilt.edu,120433,Quantitative Psychology | Quantitative Methods | Methodology | Psychometrics | Statistical Methods,https://scholar.google.com/citations?hl=en&user=sKM_3t4AAAAJ
Fred Guengerich,"Professor of Biochemistry, Vanderbilt University",vanderbilt.edu,120212,Enzymology | drug metabolism | cytochrome P450 | mutagenesis,https://scholar.google.com/citations?hl=en&user=S4akpOAAAAAJ
Wei Zheng,Vanderbilt University School of Medicine,vanderbilt.edu,110993,epidemiology | genetics | nutrition | biomarkers | cancer,https://scholar.google.com/citations?hl=en&user=XXwGeb4AAAAJ
"William G Stevenson, MD","Professor of Medicine, Vanderbilt University Medical Center",vumc.org,105981,arrhythmias | catheter ablation | sudden death | atrial fibrillation | ventricular tachycardia,https://scholar.google.com/citations?hl=en&user=ZSDURgUAAAAJ
Frank Harrell,"duke university, university of virginia, vanderbilt university",vanderbilt.edu,100951,biostatistics,https://scholar.google.com/citations?hl=en&user=-Im45ysAAAAJ
David Vanderbilt,"Professor of Physics and Astronomy, Rutgers University",physics.rutgers.edu,96703,Condensed matter theory | Materials theory | Condensed matter physics | Materials physics,https://scholar.google.com/citations?hl=en&user=uY1warIAAAAJ
David G. Harrison,"Professor of Medicine, Vanderbilt University",vanderbilt.edu,91873,Cardiovascular biology | hypertension | vascular biology,https://scholar.google.com/citations?hl=en&user=7DWSCGgAAAAJ
Wes Ely,"Professor of Medicine, Vanderbilt University Medical Center",vumc.org,91164,ICU Delirium | … and Cognitive Impairment after Critical illness | Sedation | Mechanical ventilation | Survivorship,https://scholar.google.com/citations?hl=en&user=AKi6tNIAAAAJ
gore j or gore jc,Vanderbilt University Medical Center,vanderbilt.edu,90759,Bioemdical imaging | MRI,https://scholar.google.com/citations?hl=en&user=ywIeLC0AAAAJ
W. Kimryn Rathmell,"Chair of Medicine, Vanderbilt University Medical Center",vanderbilt.edu,87719,cancer | biomedical science,https://scholar.google.com/citations?hl=en&user=XV4o3m0AAAAJ
Xiao-Ou Shu,"Professor of Epidemiology, Vanderbilt University",vanderbilt.edu,85521,epidemiology | cancer | genetics | diabetes | cohort studies,https://scholar.google.com/citations?hl=en&user=8VpI1AEAAAAJ
"Thomas J. Wang, MD",Vanderbilt University Medical Center,vanderbilt.edu,79799,Not Mentioned,https://scholar.google.com/citations?hl=en&user=KA93VqkAAAAJ
Nancy Cox,Vanderbilt University Medical Center,vanderbilt.edu,76740,genetics,https://scholar.google.com/citations?hl=en&user=4eT5tXgAAAAJ
Lynn S. Fuchs,Vanderbilt University,vanderbilt.edu,72530,learning disabilities | mathematics | intervention,https://scholar.google.com/citations?hl=en&user=NSH0FkwAAAAJ
Brian Rini,Vanderbilt University Medical Center,vumc.org,69156,renal cell carcinoma,https://scholar.google.com/citations?hl=en&user=tPS6cGMAAAAJ
Karan Jani,"Professor of Physics & Astronomy, Vanderbilt University",vanderbilt.edu,68581,Black Holes | Gravitational Waves | General Relativity | Numerical Relativity,https://scholar.google.com/citations?hl=en&user=vp5vzMUAAAAJ
Bill Gabella,"Assistant Research Professor of Physics and Astronomy, Vanderbilt University",vanderbilt.edu,64813,gravitational waves | general relativity | control systems | free-electron lasers | nonlinear dynamics,https://scholar.google.com/citations?hl=en&user=RypHU4QAAAAJ
Leora Horn,Vanderbilt University,vumc.org,63617,Not Mentioned,https://scholar.google.com/citations?hl=en&user=EQXBkA8AAAAJ
Lori Jordan,Vanderbilt University Medical Center,vumc.org,58326,pediatric stroke | sickle cell disease,https://scholar.google.com/citations?hl=en&user=PHStqPIAAAAJ
Douglas Fuchs,"… of Special Education and Psychology and Human Development, Vanderbilt University",vanderbilt.edu,58077,educational psychology | special education | educational policy,https://scholar.google.com/citations?hl=en&user=RtUCV48AAAAJ
Jon H. Kaas,Distinguished Professor of Psychology Vanderbilt University,vanderbilt.edu,58038,brain evolution,https://scholar.google.com/citations?hl=en&user=i1ZN5qkAAAAJ
Steven Hollon,Vanderbilt University,vanderbilt.edu,55110,Depression etiology treatment and prevention,https://scholar.google.com/citations?hl=en&user=Gm9uQhIAAAAJ
Gordon Logan,"Centennial Professor of Psychology, Vanderbilt University",vanderbilt.edu,55056,cognitive psychology | cognitive control | automaticity | attention | memory,https://scholar.google.com/citations?hl=en&user=R1FaAhMAAAAJ
Agnes Fogo,"Professor of Pathology, Vanderbilt Univ Medical Center",vanderbilt.edu,54921,kidney disease,https://scholar.google.com/citations?hl=en&user=I6rqSTkAAAAJ
James S Sutcliffe,"Associate Professor, Vanderbilt University",vanderbilt.edu,52362,autism | genetics | sequencing | serotonin | dopamine,https://scholar.google.com/citations?hl=en&user=W7-4O98AAAAJ
SOKRATES T. PANTELIDES,"Professor of Physics, Vanderbilt University",vanderbilt.edu,52256,Not Mentioned,https://scholar.google.com/citations?hl=en&user=uq8SCrgAAAAJ
William Schaffner,Vanderbilt University,vanderbilt.edu,51416,Not Mentioned,https://scholar.google.com/citations?hl=en&user=GLddpJAAAAAJ
paul cobb,vanderbilt university,vanderbilt.edu,50937,mathematics education | design research | learning sciences,https://scholar.google.com/citations?hl=en&user=7bcDRVEAAAAJ
Bruce Compas,"Patricia and Rodes Hart Professor, Vanderbilt University",vanderbilt.edu,49836,Psychology,https://scholar.google.com/citations?hl=en&user=rMcwiX4AAAAJ
Robert Dittus,Vanderbilt University,vanderbilt.edu,47975,Not Mentioned,https://scholar.google.com/citations?hl=en&user=JVtTzgoAAAAJ
Jeffrey C Rathmell,"Professor of Pathology, Vanderbilt University Medical Center",vanderbilt.edu,46358,Immunology | Cancer Biology | Metabolism,https://scholar.google.com/citations?hl=en&user=0umbacYAAAAJ
"T. Alp Ikizler, MD",Vanderbilt University Medical Center,vanderbilt.edu,45270,Kidney disease | nutrition | metabolism | dialysis,https://scholar.google.com/citations?hl=en&user=pnoXcDIAAAAJ
Richard Caprioli,"Professor of Biochemistry, Chemistry, Pharmacology, and Medicine, Vanderbilt University",vanderbilt.edu,44557,Mass Spectrometry,https://scholar.google.com/citations?hl=en&user=wvtlY68AAAAJ
Douglas Schmidt,Cornelius Vanderbilt Professor at Vanderbilt University,vanderbilt.edu,43993,Pattern-oriented middleware | Java/Android concurrency and parallelism | reactive microservices | distributed real-time and embedde,https://scholar.google.com/citations?hl=en&user=8GA4R2wAAAAJ
Joshua Beckman,"Professor of medicine, Vanderbilt University",vanderbilt.edu,43716,Vascular dysfunction,https://scholar.google.com/citations?hl=en&user=6smr7J0AAAAJ
W. Kip Viscusi,"… Distinguished Professor of Law, Economics, and Management, Vanderbilt University",vanderbilt.edu,43450,regulation | health and safety | law and economics | tort liability | risk and uncertainty,https://scholar.google.com/citations?hl=en&user=BqhhA7EAAAAJ
Paul A Harris,"Professor of Biomedical Informatics, Vanderbilt University",vanderbilt.edu,42480,informatics | data management | clinical and translational research,https://scholar.google.com/citations?hl=en&user=JT2EmVIAAAAJ
conn pj,"… , Director, Vanderbilt Center for Neuroscience Drug Discovery, Vanderbilt University",vanderbilt.edu,42107,Neuropharmacology | Drug Discovery for Brain Disorders | GPCR signaling,https://scholar.google.com/citations?hl=en&user=XAmDqRQAAAAJ
Andreas Berlind,"Professor of Physics and Astronomy, Vanderbilt University",vanderbilt.edu,41411,Large Scale Structure | Cosmology | Galaxy Formation,https://scholar.google.com/citations?hl=en&user=zmejircAAAAJ
