Jan Bogaert,"Professor of Radiology, University Hospitals Leuven, Catholic University Leuven, Belgium",uzleuven.be,20042,MRI | CMR | cardiac MRI | radiology,https://scholar.google.com/citations?hl=en&user=WigJd2oAAAAJ
Marleen Peumans,"Professor of Dentistry, Catholic University Leuven",uzleuven.be,19664,Adhesive dentistry,https://scholar.google.com/citations?hl=en&user=HviCv80AAAAJ
Speybroeck N,Catholic University of Louvain,uclouvain.be,17947,Epidemiology | Statistics | Public Health | Vector-borne diseases | Zoonoses,https://scholar.google.com/citations?hl=en&user=0wjaBWwAAAAJ
Agnes Moors,Catholic University of Leuven,kuleuven.be,9146,Not Mentioned,https://scholar.google.com/citations?hl=en&user=UZ_e9VsAAAAJ
Charles De Smet,"de Duve Institute, Catholic University of Louvain",uclouvain.be,7762,Cancer epigenetics,https://scholar.google.com/citations?hl=en&user=e_JjOYsAAAAJ
d'Artis Kancs,KU Leuven  Catholic University of Leuven Joint Research Centre,alum.mit.edu,5240,Virtual Currencies | International Trade and Labour Migration | Spatial Economics | Energy and Environmental Economics | Food Policy,https://scholar.google.com/citations?hl=en&user=WvNLEnkAAAAJ
Decottignies Anabelle,Catholic University of Louvain,uclouvain.be,4814,Not Mentioned,https://scholar.google.com/citations?hl=en&user=8uTuUkIAAAAJ
Frank Janssen,"Université catholique de Louvain, UCL, Catholic University of Louvain, IAG, Louvain school …",uclouvain.be,4647,Entrepreneurship | Small business | PME | Entrepreneuriat,https://scholar.google.com/citations?hl=en&user=GLdi4UwAAAAJ
Chris Kesteloot,"Professor of social and economic geography, Catholic University Leuven",kuleuven.be,3349,Urban geography | human geography,https://scholar.google.com/citations?hl=en&user=ZmkuOCkAAAAJ
Weiping Yu,"Doctoral researcher of Biomedical Sciences, Catholic University of Leuven",student.kuleuven.be,3141,Epidemiology | Biostatistics | Neuroscience,https://scholar.google.com/citations?hl=en&user=pyZcnh0AAAAJ
Bernard Hallet,Professor Catholic University of Louvain (Be),uclouvain.be,2347,biochimie | biologie moléculaire | bactériologie,https://scholar.google.com/citations?hl=en&user=zspiyTwAAAAJ
Nathalie Conrad,"Marie Curie Research Fellow, Catholic University of Leuven",kuleuven.be,1905,Not Mentioned,https://scholar.google.com/citations?hl=en&user=qzqn8mkAAAAJ
Ralph Crott,"Associate Researcher, Catholic University of Louvain",uclouvain.be,1828,Health Economics | Clinical Epidemiology | Medical Decision-Making,https://scholar.google.com/citations?hl=en&user=LgXapLUAAAAJ
Dimitrios Dardamanis,Catholic University of Louvain,Not Mentioned,1041,General Surgery | Laparoscopic surgery | Bariatric Surgery | Breast cancer surgery,https://scholar.google.com/citations?hl=en&user=5HlD-xoAAAAJ
Ludovic D'auria,Catholic University of Louvain,Not Mentioned,910,Multiple Sclerosis | Membrane Lipids,https://scholar.google.com/citations?hl=en&user=CFoS59EAAAAJ
Sreerangappa Ramesh,"Postdoctoral fellow, catholic university of louvain",uclouvain.be,712,Heterogeneous catalysis | Biomass conversion | GTL process | FT synthesis | Reforming,https://scholar.google.com/citations?hl=en&user=Lsz41NIAAAAJ
Klaus Steinmeyer,Catholic University of Leuven,Not Mentioned,671,Volume-sensitive anion channel | KATP channel | beta cell | insulin secretion,https://scholar.google.com/citations?hl=en&user=VmNWs58AAAAJ
Daniele Catanzaro,"Professor of Discrete Optimization, CORE, Catholic University of Louvain",uclouvain.be,522,Discrete Optimization | Combinatorics | Mathematical Programming | Algorithms | Phylogenetics,https://scholar.google.com/citations?hl=en&user=YUHMFMMAAAAJ
Jian Li,Catholic University of Louvain,uclouvain.be,520,photobioreactors            algae,https://scholar.google.com/citations?hl=en&user=QcsIP_oAAAAJ
LGD Hawke,"Postdoctoral researcher, Catholic University of Louvain",uclouvain.be,452,Molecular Rheology | Theoretical Polymer Physics,https://scholar.google.com/citations?hl=en&user=oLtJVG8AAAAJ
Dominique Trouet,Catholic University of Leuven,Not Mentioned,446,ion channel | beta cell | VRAC | insulin secretion | signaling pathway,https://scholar.google.com/citations?hl=en&user=veDUXJgAAAAJ
Hakan MIHCI,Catholic University of Leuven,hacettepe.edu.tr,435,Development Economics | Structure of Turkish Economy | Environmental Economics | Economic History,https://scholar.google.com/citations?hl=en&user=2sNnknUAAAAJ
Vladimir Shikhman,Catholic University of Louvain (UCL),uclouvain.be,375,Optimization | Mathematical Economics,https://scholar.google.com/citations?hl=en&user=tHvSCkAAAAAJ
Diane Hermans,Catholic University of Leuven,Not Mentioned,359,caveolae | tyrosine kinase | beta cell | ion channel | insulin secretion,https://scholar.google.com/citations?hl=en&user=hXOdf-MAAAAJ
Evgeniya A. Vorontsova,Catholic University of Louvain (UCL),uclouvain.be,237,optimization | mathematical programming | machine learning | interval analysis,https://scholar.google.com/citations?hl=en&user=KConUy8AAAAJ
Laura Ledesma Garcia,Catholic University of Louvain,uclouvain.be,215,Microbiology | Molecular Biology | Gene expression regulation,https://scholar.google.com/citations?hl=en&user=8P43Uj4AAAAJ
Riccardo Leinardi,"Postdoctoral Researcher, Catholic University of Louvain",uclouvain.be,186,particle toxicology | immunotoxicology | nanomaterials,https://scholar.google.com/citations?hl=en&user=kAFXrCcAAAAJ
Peyman Ranji,"Human Molecular Genetics, de Duve Institute (DDUV), Catholic University of Louvain  …",uclouvain.be,146,Medical Genetic | Medical Biotechnology | Cancer Stem Cell | Cancer Therapy | Cleft Lip/Palate,https://scholar.google.com/citations?hl=en&user=8XldaSkAAAAJ
Richard Lappin,Catholic University of Leuven,kuleuven.be,145,democracy assistance | democratization | democracy | peacebuilding | transitional justice,https://scholar.google.com/citations?hl=en&user=q9YDJUAAAAAJ
Laurent Collard,Catholic University of Louvain · Institute of Condensed Matter and Nanosciences (IMCN),uclouvain.be,125,Chromatographie Liquide,https://scholar.google.com/citations?hl=en&user=GJDcOl0AAAAJ
Mohammad Ali Bagherian,Catholic University of Louvain (UCLouvain),student.uclouvain.be,116,Energy systems integration | Combined heat and power,https://scholar.google.com/citations?hl=en&user=0hyC2XkAAAAJ
