John Bates,"Professor of Psychological and Brain Sciences, Indiana University, Bloomington",iu.edu,67459,developmental clinical psychology | social development,https://scholar.google.com/citations?hl=en&user=xdeDVNEAAAAJ
Santo Fortunato,"Professor, School of Informatics and Computing, Indiana University, Bloomington, USA",indiana.edu,41684,complex systems | network science | computational social science | science of science | climate change,https://scholar.google.com/citations?hl=en&user=NDrCCokAAAAJ
Douglas B Rusch,Indiana University Bloomington,indiana.edu,40924,Bioinformatics | Machine Learning,https://scholar.google.com/citations?hl=en&user=BWL7i5cAAAAJ
Karen Bush,Indiana University Bloomington,indiana.edu,40224,Antibiotic resistance | beta-lactamases | drug discovery & development,https://scholar.google.com/citations?hl=en&user=-50bLlgAAAAJ
C. Sue Carter,Indiana University at Bloomington,iu.edu,33596,love | sexual behavior | monogamy,https://scholar.google.com/citations?hl=en&user=Ev3qjxwAAAAJ
James M Walker,"Professor, Indiana University, Bloomington",indiana.edu,24957,Experimental Economics,https://scholar.google.com/citations?hl=en&user=NpF2GeoAAAAJ
William Corsaro,"Professor Emeritus Department of Sociology, Indiana University, Bloomington",indiana.edu,21398,Sociology of Childhood | Ethnography | Early Childhood Education | Social Psychology,https://scholar.google.com/citations?hl=en&user=xTsX8CAAAAAJ
Sara Skrabalak,Indiana University - Bloomington,indiana.edu,18290,Materials Chemistry,https://scholar.google.com/citations?hl=en&user=57ZnZRgAAAAJ
"Hillol Bala, Ph.D.","Kelley School of Business, Indiana University, Bloomington",indiana.edu,14905,Information systems | IT-driven changes | process and service management | enterprise social media | IT in healthcare,https://scholar.google.com/citations?hl=en&user=C_sMR9YAAAAJ
Blaise Cronin,"Rudy Professor Emeritus of Information Science, Indiana University Bloomington, USA",indiana.edu,14847,Bibliometrics | Informetrics | Scientometrics | Webometrics | Scholarly Communication,https://scholar.google.com/citations?hl=en&user=ZM_iVWQAAAAJ
Yong-Yeol Ahn,"Associate Professor of Informatics, Indiana University Bloomington",iu.edu,13950,Network science | Complex Systems | Computational Social Science | Science of Science | Computational Neuroscience,https://scholar.google.com/citations?hl=en&user=US7OSNgAAAAJ
