XJ Meng,"University Distinguished Professor, Virginia Polytechnic Institute and State University  …",vt.edu,34024,Virology,https://scholar.google.com/citations?hl=en&user=86WX4lUAAAAJ
"Xiang-Jin Meng (aka, XJ Meng)","University Distinguished Professor, Virginia Polytechnic Institute and State University",vt.edu,33619,virology,https://scholar.google.com/citations?hl=en&user=NmK0tboAAAAJ
Randolph Hamilton Wynne,"… and Environmental Conservation, Virginia Polytechnic Institute and State University",vt.edu,18122,Remote Sensing | Ecosystems | Forests,https://scholar.google.com/citations?hl=en&user=fj3Kxn4AAAAJ
Dong Wang,Virginia Polytechnic Institute and State University,vt.edu,13949,civil engineering,https://scholar.google.com/citations?hl=en&user=UPgg1GwAAAAJ
Yue Wang,Virginia Polytechnic Institute and State University,vt.edu,12977,Machine learning | signal processing | bioinformatics | computational biology,https://scholar.google.com/citations?hl=en&user=fFFoTTQAAAAJ
Alicia M Pickrell,Virginia Polytechnic Institute and State University,vt.edu,12334,mitochondria | mtDNA | neurodegenerative diseases | mitophagy | VT School of Neuroscience,https://scholar.google.com/citations?hl=en&user=jXwtz6UAAAAJ
"Robert P. Rhoads, Jr.","Professor of Animal Science, Virginia Polytechnic Institute and State University",vt.edu,11134,Animal Science | Environmental stress | Muscle biology,https://scholar.google.com/citations?hl=en&user=FFV50uQAAAAJ
Timothy Warburton,"John K. Costain Faculty Chair, Virginia Polytechnic Institute and State University",vt.edu,9411,Discontinuous Galerkin Methods | Computational Electromagnetics | GPU computing | VT Math,https://scholar.google.com/citations?hl=en&user=ULTQG6QAAAAJ
Thomas O'Donnell,"Assistant Professor of Physics, Virginia Polytechnic Institute and State University",vt.edu,8088,VT physics | neutrino physics | particle astrophysics | low background experiments,https://scholar.google.com/citations?hl=en&user=f1U5VCIAAAAJ
Chris Ashall,"… Professor, Department of Physics,  Virginia Polytechnic Institute and State University",vt.edu,7003,Astrophysics,https://scholar.google.com/citations?hl=en&user=DqPUqJIAAAAJ
Stella L. Volpe,"… of Human Nutrition, Foods and Exercise, Virginia Polytechnic Institute and State University",vt.edu,6837,Nutrition | Exercise Physiology | Mineral Metabolism | Energy Expenditure | Sports Nutrition,https://scholar.google.com/citations?hl=en&user=lM_OgjgAAAAJ
Benjamin C Gill,"Associate Professor, Virginia Polytechnic Institute and State University",vt.edu,6378,Paleoceanography | Biogeochemistry | Geochemistry | Redox | Isotope Geochemistry,https://scholar.google.com/citations?hl=en&user=oqC-aQEAAAAJ
Donald Orth,Virginia Tech University (Virginia Polytechnic Institute and State University),vt.edu,5444,fish | fisheries | stream ecology | population dynamics | conservation,https://scholar.google.com/citations?hl=en&user=gSNf5egAAAAJ
Kylene Kehn-Hall,"… of Biomedical Sciences and Pathobiology, Virginia Polytechnic Institute and State University",vt.edu,5129,Alphaviruses | Rift Valley fever virus | therapeutics | SARS-CoV-2 | host-pathogen interactions,https://scholar.google.com/citations?hl=en&user=FEFeRkIAAAAJ
"Lijuan Yuan, Ph.D. Professor",Virginia Polytechnic Institute and State University,vt.edu,4912,Rotavirus | norovirus | probiotics | viral diarrhea,https://scholar.google.com/citations?hl=en&user=BV3xjaYAAAAJ
JH Simonetti,Virginia Polytechnic Institute and State University or Virginia Tech or National Radio …,vt.edu,4498,astronomy | astrophysics | physics | VT Physics,https://scholar.google.com/citations?hl=en&user=d7XyYOkAAAAJ
Luke Achenie,"Professor of Chemical Engineering, Virginia Polytechnic Institute and State University",vt.edu,4093,Computational Modeling | Data Science | Machine Learning | Optimization,https://scholar.google.com/citations?hl=en&user=87GV6L8AAAAJ
Herve Marand,Virginia Polytechnic Institute and State University,vt.edu,3379,Not Mentioned,https://scholar.google.com/citations?hl=en&user=DvOmf4IAAAAJ
Mark Cline,Virginia Polytechnic Institute and State University,vt.edu,2982,VT School of Neuroscience | Food Intake | Appetite | Hypothalamus | VT Animal and Poultry Sciences,https://scholar.google.com/citations?hl=en&user=CTGfkuYAAAAJ
