M. Lynne Markus,Bentley University,bentley.edu,41202,Organizational and Societal Consequences of … | Automation | Algorithms | Risk and Governance | Organization and IT Organization D,https://scholar.google.com/citations?hl=en&user=5aXawzwAAAAJ,US,Bentley University
George Bentley,"Professor of Orthopaedics,University College London",nhs.net,28199,Musculo-Skeletal research,https://scholar.google.com/citations?hl=en&user=qKk2_oEAAAAJ,US,Bentley University
William E Bentley,"Robert E Fischell Chair in Engineering, University of Maryland",umd.edu,21321,Metabolic Engineering | Synthetic Biology | Bioelectronics | Biomanufacturing,https://scholar.google.com/citations?hl=en&user=wdckqjYAAAAJ,US,Bentley University
Robert D Galliers,"University Distinguished Professor Emeritus, Bentley University, USA; Professor Emeritus …",bentley.edu,16532,Information Systems Strategizing | Implementing and Managing Strategic IS … | Strategy-as-Practice | Innovation | IS Research,https://scholar.google.com/citations?hl=en&user=t9tqyFoAAAAJ,US,Bentley University
Rex Colle Bentley,"Professor of Pathology, Duke University Medical Center",mc.duke.edu,14066,,https://scholar.google.com/citations?hl=en&user=GoHWtEAAAAAJ,US,Bentley University
Mary Culnan,"Professor Emeritus, Bentley University",bentley.edu,14016,Information privacy,https://scholar.google.com/citations?hl=en&user=IqcVlpIAAAAJ,US,Bentley University
Andrew Bentley,University of Manchester,manchester.ac.uk,13427,Critical Care | Non-invasive ventilation | Acute severe respiratory failure | weaning from invasive ventilation.,https://scholar.google.com/citations?hl=en&user=eT073t0AAAAJ,US,Bentley University
Martin Conyon,"Trustee Professor, Bentley University; Senior Fellow at the Wharton School",bentley.edu,12965,Economics | finance and accounting,https://scholar.google.com/citations?hl=en&user=nVRG_-wAAAAJ,US,Bentley University
Jill A. Brown,"Associate Professor of Management, Bentley University",bentley.edu,12738,Management | CSR | Ethics | Corporate Governance,https://scholar.google.com/citations?hl=en&user=J8i5atYAAAAJ,US,Bentley University
Peter J Bentley,"Honorary Professor, University College London",cs.ucl.ac.uk,11651,Evolutionary algorithms | genetic algorithms | artificial immune systems | robots | simulation,https://scholar.google.com/citations?hl=en&user=5O519TYAAAAJ,US,Bentley University
G Krishnan,"Trustee Professor of Accounting, Bentley University",bentley.edu,10045,Accounting | Auditing | Corporate Governance,https://scholar.google.com/citations?hl=en&user=_f_hoOkAAAAJ,US,Bentley University
Fred Ledley,"Center for Integration of Science and Industry, Bentley University",bentley.edu,10044,pharmaceutical innovation | biotechnology | business | public investment | health equity,https://scholar.google.com/citations?hl=en&user=TLARkTcAAAAJ,US,Bentley University
R. Alexander Bentley,"Professor, University of Tennessee",utk.edu,9922,Culture evolution | Neolithic | decision making,https://scholar.google.com/citations?hl=en&user=C6lV11IAAAAJ,US,Bentley University
W. Bentley MacLeod,"Sami Mnaymneh Professor of Economics, Columbia University",wbmacleod.net,9772,Relational Contracts | Contract Theory | Labor Economics | Law and Economics | Health Economics,https://scholar.google.com/citations?hl=en&user=uBTIy50AAAAJ,US,Bentley University
Mike Bentley,"Department of Geography, Durham University",durham.ac.uk,9364,Antarctica | ice sheet | environmental change | glacial geomorphology | sea level,https://scholar.google.com/citations?hl=en&user=U9HVRXwAAAAJ,US,Bentley University
Paul D. Berger,Bentley University,alum.mit.edu,9232,quantitative methods | design of experiments | marketing analytics,https://scholar.google.com/citations?hl=en&user=834Y1uUAAAAJ,US,Bentley University
Jean C Bedard,Bentley University,,9158,Auditing,https://scholar.google.com/citations?hl=en&user=5c5APqcAAAAJ,US,Bentley University
Thomas S. Tullis,Bentley University,bentley.edu,8842,User experience | usability | human-computer interaction,https://scholar.google.com/citations?hl=en&user=TXoUczoAAAAJ,US,Bentley University
Anthony F Buono,"Professor Emeritus, Management & Sociology, Bentley University",bentley.edu,8784,merger integration | ethics | social responsibility | organizational change,https://scholar.google.com/citations?hl=en&user=VP-u4xQAAAAJ,US,Bentley University
Linda Edelman,Bentley University,bentley.edu,8623,Entrepreneurship | Strategy,https://scholar.google.com/citations?hl=en&user=gBceOm0AAAAJ,US,Bentley University
