Prof. Dr. Frank Oliver Glöckner,"Alfred Wegener Institute Bremerhaven, MARUM, University of Bremen, Jacobs University",awi.de,65638,Earth System Data Science | Data Management | Bioinformatics | Biodiversity | Ecosystems Biology,https://scholar.google.com/citations?hl=en&user=BmzoT3QAAAAJ,Germany,Jacobs University Bremen
Werner M. Nau,Jacobs University Bremen,jacobs-university.de,20072,Physical Organic Chemistry | Supramolecular Chemistry | Photochemistry | Enzyme Assays,https://scholar.google.com/citations?hl=en&user=MEA8eqgAAAAJ,Germany,Jacobs University Bremen
Bau Michael,"Professor of Geosciences, Jacobs University Bremen",jacobs-university.de,17700,Geochemistry,https://scholar.google.com/citations?hl=en&user=RmTi4JkAAAAJ,Germany,Jacobs University Bremen
Mathias Winterhalter,Jacobs University Bremen,jacobs-university.de,15087,Biophysics | Translocation | Nanobiotechnology,https://scholar.google.com/citations?hl=en&user=RLH3_2gAAAAJ,Germany,Jacobs University Bremen
Margrit Schreier,Jacobs University Bremen,jacobs-university.de,13900,qualitative research methods | mixed methods,https://scholar.google.com/citations?hl=en&user=01qk5OkAAAAJ,Germany,Jacobs University Bremen
Klaus Boehnke,"Professor for Social Science Methodology, Jacobs University Bremen",Jacobs-University.de,13367,Political Socialization,https://scholar.google.com/citations?hl=en&user=htUI9QQAAAAJ,Germany,Jacobs University Bremen
Sonia Lippke,"Professor of Health Psychology, Jacobs University Bremen",jacobs-university.de,11770,Psychology | Health Promotion | Rehabilitation | Health Behavior Change | Theory,https://scholar.google.com/citations?hl=en&user=tTKkW1EAAAAJ,Germany,Jacobs University Bremen
Andrea Koschinsky,"Professor of Geoscience, Jacobs University Bremen and MARUM Center for Marine …",jacobs-university.de,9168,Marine Geochemistry | Trace Metals in Aqueous Systems,https://scholar.google.com/citations?hl=en&user=7DetoacAAAAJ,Germany,Jacobs University Bremen
Richard Wagner,"Prof. Biophysics, Jacobs-University Bremen",jacobs-university.de,9078,Biophysics | Life Science,https://scholar.google.com/citations?hl=en&user=nBAzpm0AAAAJ,Germany,Jacobs University Bremen
Arvid Kappas,Jacobs University Bremen,jacobs-university.de,8531,Emotions | Emotion Expression | Affective Computing,https://scholar.google.com/citations?hl=en&user=nGrEcmQAAAAJ,Germany,Jacobs University Bremen
Gerd-Volker Röschenthaler,"Professor of Chemistry, Jacobs University Bremen",jacobs-university.de,6617,Organofluorine Chemistry | Organophosphorus chemistry | Application,https://scholar.google.com/citations?hl=en&user=_wZvC-cAAAAJ,Germany,Jacobs University Bremen
Dietmar Knipp,"Professor of Electrical Engineering, Jacobs University Bremen",jacobs-university.de,6529,photonics | organic electronics | photovoltaics | optical sensor | optoelectronics,https://scholar.google.com/citations?hl=en&user=OifrmEwAAAAJ,Germany,Jacobs University Bremen
Ulrich Kleinekathöfer,Jacobs University Bremen,jacobs-university.de,6233,Computational Biophysics | Quantum Dynamics | Light Harvesting | Membrane Proteins,https://scholar.google.com/citations?hl=en&user=j2b-kXYAAAAJ,Germany,Jacobs University Bremen
Jürgen Schönwälder,Jacobs University Bremen,jacobs-university.de,5914,computer networking | network management | network measurement | computer security,https://scholar.google.com/citations?hl=en&user=YaiOokwAAAAJ,Germany,Jacobs University Bremen
Jan O. Haerter,"Associate Professor, Jacobs University Bremen/Leibniz ZMT and Niels Bohr Institute …",nbi.ku.dk,5699,Complex Systems | Clouds & Precipitation | Ecology & Evolution,https://scholar.google.com/citations?hl=en&user=izqZELAAAAAJ,Germany,Jacobs University Bremen
Colin Vance,RWI & Jacobs University Bremen,jacobs-university.de,5564,economics,https://scholar.google.com/citations?hl=en&user=rXif9d8AAAAJ,Germany,Jacobs University Bremen
Peter Schupp,"Professor of Physics, Jacobs University Bremen",jacobs-university.de,5563,Mathematical Physics | Theoretical Physics | Gravity | Quantum Information | Quantum Geometry,https://scholar.google.com/citations?hl=en&user=MVohwIQAAAAJ,Germany,Jacobs University Bremen
Adele Diederich,"Professor of Psychology, Jacobs University Bremen",jacobs-university.de,5500,decision making | cross modal interaction | multi sensory integration | mathematical modeling,https://scholar.google.com/citations?hl=en&user=0nFJHbwAAAAJ,Germany,Jacobs University Bremen
Arnulf Materny,Jacobs University Bremen,jacobs-university.de,5392,Laser Spectroscopy,https://scholar.google.com/citations?hl=en&user=rprDfBEAAAAJ,Germany,Jacobs University Bremen
Matthias S. Ullrich,Jacobs University Bremen,jacobs-university.de,4886,Microbiology,https://scholar.google.com/citations?hl=en&user=Ag0bCJgAAAAJ,Germany,Jacobs University Bremen
