Sankarshan Ghosh,Lovely Professional University,lpu.in,27906,Computer Graphics | Animation | Algorithms,https://scholar.google.com/citations?hl=en&user=Qh--jHwAAAAJ,India,Lovely Professional University
Dr. Nitin Bhardwaj,"… Professor and Deputy Dean,Department of Mathematics, Lovely Professional University",lpu.co.in,18673,Fuzzy Topology,https://scholar.google.com/citations?hl=en&user=5uXT97AAAAAJ,India,Lovely Professional University
Dr. Anil Sharma,"Professor, Lovely Professional University",lpu.co.in,15025,Computer Science,https://scholar.google.com/citations?hl=en&user=EKW5IMoAAAAJ,India,Lovely Professional University
Dinesh Kumar Singh,"Assistant Professor Law, Lovely Professional University",lpu.co.in,13680,Criminal Law Constitution and  Human Rights,https://scholar.google.com/citations?hl=en&user=aGvdLoYAAAAJ,India,Lovely Professional University
Arjun singh,Ph.D SCHOLAR LOVELY PROFESSIONAL UNIVERSITY,,12998,sports psychology | yoga | health,https://scholar.google.com/citations?hl=en&user=PDRCfTcAAAAJ,India,Lovely Professional University
DR.SUDHAKAR GUPTA,Lovely Professional University,lpu.co.in,12988,Entomology,https://scholar.google.com/citations?hl=en&user=qmJ8r9kAAAAJ,India,Lovely Professional University
Jasvinder Singh,Lovely Professional University,lpu.co.in,11479,Mechanical Engineering,https://scholar.google.com/citations?hl=en&user=8b01uRwAAAAJ,India,Lovely Professional University
NAZAKAT ALI,Lovely Professional University Punjab India,,10992,Biotechnology,https://scholar.google.com/citations?hl=en&user=e3kZlTQAAAAJ,India,Lovely Professional University
Rakesh Kumar,LOVELY PROFESSIONAL UNIVERSITY,lpu.co.in,10184,FUZZY C-MEAN CLUSTERING,https://scholar.google.com/citations?hl=en&user=Ol77wg8AAAAJ,India,Lovely Professional University
Gurdeep Singh Sandhu,"Assistant Professor , Lovely Professional University",lpu.co.in,6297,Instrumental Music ( Sitar ),https://scholar.google.com/citations?hl=en&user=Rke8vdwAAAAJ,India,Lovely Professional University
ANJALI SHARMA,Lovely Professional University,lpu.co.in,6184,Finance and Marketing,https://scholar.google.com/citations?hl=en&user=LNblaOQAAAAJ,India,Lovely Professional University
sujeet singh,Lovely Professional University,,6175,computer science,https://scholar.google.com/citations?hl=en&user=QoYoNToAAAAJ,India,Lovely Professional University
Gazal .,"Assistant Professor & Dy.Dean,Lovely Professional University",lpu.co.in,6067,Differential Equations,https://scholar.google.com/citations?hl=en&user=dI0tTIcAAAAJ,India,Lovely Professional University
Gagandeep Kaur,"Coordinator of Department (Verbal Ability),Lovely Professional University",lpu.co.in,5986,Research and Academics,https://scholar.google.com/citations?hl=en&user=YiFSuDsAAAAJ,India,Lovely Professional University
Joginder Singh,Lovely Professional University,lpu.co.in,5771,Environmental Microbiology,https://scholar.google.com/citations?hl=en&user=0EeopQ8AAAAJ,India,Lovely Professional University
Neelam Verma,"Former Lovely Professional University, Phagwara, Punjab, Former Punjabi University …",lpu.co.in,5573,Biosensor Technology | Environment Biotechnology and Medical … | Sensor Technology | Molecularly Imprinted Polymers  an,https://scholar.google.com/citations?hl=en&user=Ac_cibwAAAAJ,India,Lovely Professional University
Aashish Sharma,"Asstt. Professor of Mechanical Engineering, Lovely Professional University",lpu.co.in,5263,LCA | Sustainable development | Green Building | Heat Transfer,https://scholar.google.com/citations?hl=en&user=W5YtQB4AAAAJ,India,Lovely Professional University
Dr. Vishnu  Kirthi Arivarasan,Lovely Professional University,lpu.co.in,5138,Drug Delivery | Nanomedicine | Malaria and Cancer Biology,https://scholar.google.com/citations?hl=en&user=hiiGZxcAAAAJ,India,Lovely Professional University
Ved Prakash Singh,Student of Lovely Professional University,rklick.com,4917,Software Engineering | Web Security | Big Data developer,https://scholar.google.com/citations?hl=en&user=Li60r5YAAAAJ,India,Lovely Professional University
Reji Thomas,"Division of Research and Development, Lovely Professional University",lpu.co.in,4708,Thin film High-k Dielectrics | Ferroelectrics | Li-ion rechargeable batteries | MOCVD | Internet of Things,https://scholar.google.com/citations?hl=en&user=50YOjW0AAAAJ,India,Lovely Professional University
