Spencer Smith,"Assistant Professor, Mount Holyoke College",mtholyoke.edu,43045,Fluid Dynamics | Nonlinear Dynamics & Chaos Theory | Computational Physics,https://scholar.google.com/citations?hl=en&user=rE5Xr8oAAAAJ,US,Mount Holyoke College
Melinda Dyar,Mount Holyoke College,mtholyoke.edu,20875,geology | chemistry | biology | planetary science,https://scholar.google.com/citations?hl=en&user=PUYhogcAAAAJ,US,Mount Holyoke College
Francine Deutsch,Mount Holyoke College,mtholyoke.edu,6610,,https://scholar.google.com/citations?hl=en&user=8Da9n2sAAAAJ,US,Mount Holyoke College
Alexi C. Arango,"Associate Professor of Physics, Mount Holyoke College",mtholyoke.edu,5494,Organic Photovoltaics | Open-circuit Voltage | Colloidal Quantum Dot Photovoltaics,https://scholar.google.com/citations?hl=en&user=Eh7EzE8AAAAJ,US,Mount Holyoke College
Thomas E. Wartenberg,"Professor of Philosophy, Emeritus, Mount Holyoke College",mtholyoke.edu,3144,Philosophy for Children | Philosophy of Film | Aesthetics | Kant,https://scholar.google.com/citations?hl=en&user=PdH-0LYAAAAJ,US,Mount Holyoke College
Katherine Binder,Mount Holyoke College,mtholyoke.edu,2813,cognitive psychology | adult literacy | morphology | reading comprehension | vocabulary,https://scholar.google.com/citations?hl=en&user=At8ssf4AAAAJ,US,Mount Holyoke College
Jason P. Andras,Mount Holyoke College,mtholyoke.edu,2583,ecology | evolution | symbiosis | host/parasite coevolution,https://scholar.google.com/citations?hl=en&user=0S_ygIUAAAAJ,US,Mount Holyoke College
Mark McMenamin,"Department of Geology and Geography, Mount Holyoke College",mtholyoke.edu,2382,Proterozoic and Cambrian Paleontology | Earth History,https://scholar.google.com/citations?hl=en&user=RN83AIkAAAAJ,US,Mount Holyoke College
Kyle Broaders,Mount Holyoke College,mtholyoke.edu,2198,,https://scholar.google.com/citations?hl=en&user=MaQ0YBkAAAAJ,US,Mount Holyoke College
Debbora Battaglia,"Research Professor Emeritus, Mount Holyoke College",mtholyoke.edu,2161,sociocultural anthropology | science and technology studies | cultural studies | art,https://scholar.google.com/citations?hl=en&user=BW_fKsYAAAAJ,US,Mount Holyoke College
Katherine C. Haydon,Mount Holyoke College,mtholyoke.edu,2108,Attachment | Romantic relationship development and …,https://scholar.google.com/citations?hl=en&user=wEc5KzgAAAAJ,US,Mount Holyoke College
Catherine Corson,Mount Holyoke College,mtholyoke.edu,2073,Political Ecology | Global Environmental Governance | Collaborative Event and Institutional …,https://scholar.google.com/citations?hl=en&user=bWf8GMcAAAAJ,US,Mount Holyoke College
Kate Ballantine,Mount Holyoke College,mtholyoke.edu,2043,restoration ecology | biogeochemistry | wetland ecology | water resources | soil microbial ecology,https://scholar.google.com/citations?hl=en&user=ZtaXb5AAAAAJ,US,Mount Holyoke College
Darren Hamilton,"Professor of Chemistry, Mount Holyoke College",mtholyoke.edu,2017,Molecular recognition | Supramolecular Chemistry | Dynamic Chemistry,https://scholar.google.com/citations?hl=en&user=YNatnbgAAAAJ,US,Mount Holyoke College
Kenneth Mulder,"Visiting Associate Professor of Data Science, Mt. Holyoke College",mtholyoke.edu,1933,Data analysis and modeling | Hierarchical Bayesian Models,https://scholar.google.com/citations?hl=en&user=WXAmU84AAAAJ,US,Mount Holyoke College
Gary B. Gillis,Mount Holyoke College,mtholyoke.edu,1913,Biomechanics | Neuromuscular Control of Locomotion | Functional Vertebrate Morphology,https://scholar.google.com/citations?hl=en&user=U0k-tMIAAAAJ,US,Mount Holyoke College
Maria Gomez,"Professor of chemistry, Mount Holyoke College",mtholyoke.edu,1863,proton conduction | graph theory measures,https://scholar.google.com/citations?hl=en&user=LTeeSL0AAAAJ,US,Mount Holyoke College
Gail A. Hornstein,Mount Holyoke College,mtholyoke.edu,1781,,https://scholar.google.com/citations?hl=en&user=wTn5GpMAAAAJ,US,Mount Holyoke College
Andrew G. Reiter,"Associate Professor of Politics and International Relations, Mount Holyoke College",mtholyoke.edu,1749,Civil-Military Relations | Transitional Justice | Political Violence | Conflict Resolution,https://scholar.google.com/citations?hl=en&user=MbgQ6ScAAAAJ,US,Mount Holyoke College
Eva Paus,"Professor of Economics, Mount Holyoke College",mtholyoke.edu,1635,economic development | globalization | middle income trap,https://scholar.google.com/citations?hl=en&user=gb0X448AAAAJ,US,Mount Holyoke College
