WI Thomas,"Sociology, University of Tennessee, Oberlin College, University of Chicago",,25732,sociology,https://scholar.google.com/citations?hl=en&user=cAt1_psAAAAJ,US,Oberlin College
Nancy Darling,Oberlin College,oberlin.edu,23715,developmental psychology,https://scholar.google.com/citations?hl=en&user=KdvI8F4AAAAJ,US,Oberlin College
Cynthia McPherson Frantz,"Professor of Psychology & Environmental Studies, Oberlin College",oberlin.edu,7426,social psychology | environmental psychology,https://scholar.google.com/citations?hl=en&user=Xh_6WGUAAAAJ,US,Oberlin College
Michael J. Moore,"Professor, Department of Biology, Oberlin College",oberlin.edu,7261,Plant systematics | Edaphic endemism | Angiosperm phylogenomics,https://scholar.google.com/citations?hl=en&user=I89XmKsAAAAJ,US,Oberlin College
Stephen Checkoway,Associate Professor at Oberlin College,oberlin.edu,6419,Computer Security,https://scholar.google.com/citations?hl=en&user=EhRzLhQAAAAJ,US,Oberlin College
Stephen Sheppard,"Williams College, Oberlin College, Virginia Tech",williams.edu,6070,Housing and Land Markets | Cultural Organizations | Non-profits,https://scholar.google.com/citations?hl=en&user=5c0Y0_kAAAAJ,US,Oberlin College
Jason Stalnaker,Oberlin College,oberlin.edu,5151,,https://scholar.google.com/citations?hl=en&user=9gIfZ8QAAAAJ,US,Oberlin College
John H. Scofield,"Professor of Physics, Oberlin College",oberlin.edu,4256,building energy | renewable energy | solar cells | wind energy | energy monitoring,https://scholar.google.com/citations?hl=en&user=U6KNzKIAAAAJ,US,Oberlin College
Matthew Elrod,"Professor of Chemistry, Oberlin College",oberlin.edu,4042,Chemistry,https://scholar.google.com/citations?hl=en&user=5vuDQDwAAAAJ,US,Oberlin College
Norman Henderson,Professor of psychology Oberlin College,oberlin.edu,4005,,https://scholar.google.com/citations?hl=en&user=ZOZWkREAAAAJ,US,Oberlin College
Chris Howell,Oberlin College & Yale-NUS College,oberlin.edu,3086,Comparative political economy | industrial relations,https://scholar.google.com/citations?hl=en&user=MsYdqOkAAAAJ,US,Oberlin College
Paul Thibodeau,"Associate Professor of Psychology, Oberlin College",oberlin.edu,3022,Cognition | Language | Metaphor | Analogy | Mind,https://scholar.google.com/citations?hl=en&user=VA5iX4AAAAAJ,US,Oberlin College
John Petersen,Oberlin College,oberlin.edu,2289,ecosystem ecology | complex systems | feedback | social psychology | resource conservation,https://scholar.google.com/citations?hl=en&user=m9zBrU8AAAAJ,US,Oberlin College
Patrick Simen,"Associate Professor of Neuroscience, Oberlin College",oberlin.edu,2182,decision making | interval timing | psychology | neuroscience | artificial intelligence,https://scholar.google.com/citations?hl=en&user=Zz2HbjIAAAAJ,US,Oberlin College
Stephen  A. FitzGerald,Professor of Physics Oberlin College,oberlin.edu,2164,Infrared Spectroscopy | Hydrogen Storage | Metal-Organic Frameworks,https://scholar.google.com/citations?hl=en&user=2n-k07QAAAAJ,US,Oberlin College
Jillian M. Scudder,"Assistant Professor of Physics, Oberlin College",oberlin.edu,1968,Extragalactic Astronomy | Galaxy interactions | star formation rates | gas phase metallicities | Active Galactic Nuclei,https://scholar.google.com/citations?hl=en&user=hwdY6j0AAAAJ,US,Oberlin College
Michael Parkin,"Professor of Politics, Oberlin College",oberlin.edu,1868,,https://scholar.google.com/citations?hl=en&user=4VFaeoQAAAAJ,US,Oberlin College
Yumi Ijiri,"Professor of Physics, Oberlin College",oberlin.edu,1800,Magnetic materials | Neutron scattering | Nanoscale materials,https://scholar.google.com/citations?hl=en&user=n5uia4kAAAAJ,US,Oberlin College
Aaron Goldman,Oberlin College,oberlin.edu,1733,,https://scholar.google.com/citations?hl=en&user=AuiIzP4AAAAJ,US,Oberlin College
Sara Verosky,Oberlin College,oberlin.edu,1672,Social neuroscience | face perception,https://scholar.google.com/citations?hl=en&user=Zv5y8y4AAAAJ,US,Oberlin College
