"Felip Burgos PhD, MSc, RPFT, RN, FERS. Emeritus Researcher & Associate Professor (Biomedical",Respiratory Diagnostic Center - Hospital Clìnic Barcelona - IDIBAPS - Universitat de …,ub.edu,36551,Lung Function | eHealth | COPD | Spirometry | Exercise Physiology,https://scholar.google.com/citations?hl=en&user=L_UlveUAAAAJ,Spain,Universidad de Burgos
"Mauricio Arcos-Burgos MD, PhD.",Universidad de Antioquia,udea.edu.co,13341,Medical Genetics | Predictive Genomics | Population Genetics | Neurodevelopmental Genetics | Translational Genomics,https://scholar.google.com/citations?hl=en&user=MZlwFqgAAAAJ,Spain,Universidad de Burgos
Carlos Larrinaga,Universidad de Burgos; CSEAR,ubu.es,8073,social and environmental accounting | sustainability accounting | corporate social responsibility | CSEAR,https://scholar.google.com/citations?hl=en&user=l0KHuy8AAAAJ,Spain,Universidad de Burgos
José Miguel Carretero Díaz,"Profesor Titular, Universidad de Burgos",ubu.es,6681,Evolución Humana | Prehsitoria | Antropología física | Paleobiología,https://scholar.google.com/citations?hl=en&user=BG40snIAAAAJ,Spain,Universidad de Burgos
Daniel Burgos,Universidad Internacional de La Rioja (UNIR),unir.net,5699,Educational Technology | Educational Innovation | eLearning | Open Education | Learning Analytics,https://scholar.google.com/citations?hl=en&user=1XqIM88AAAAJ,Spain,Universidad de Burgos
Colin Smith,Universidad de Burgos,latrobe.edu.au,5569,Archaeological Science,https://scholar.google.com/citations?hl=en&user=TZYj02QAAAAJ,Spain,Universidad de Burgos
Ileana M. Greca,Universidad de Burgos,,5435,,https://scholar.google.com/citations?hl=en&user=-4PJXLAAAAAJ,Spain,Universidad de Burgos
Juan J. Rodríguez (ORCID: 0000-0002-3291-2739),"Catedrático (Professor), Universidad de Burgos",ubu.es,5238,Machine Learning | Data Mining,https://scholar.google.com/citations?hl=en&user=p4m8t6oAAAAJ,Spain,Universidad de Burgos
Jordi Rovira,"Profesor de ciencia y Tecnología de los Alimentos, Universidad de Burgos",ubu.es,4570,Biotecnología alimentaria | Tecnología de los alimentos | Microbiología de alimentos,https://scholar.google.com/citations?hl=en&user=GrhfIVUAAAAJ,Spain,Universidad de Burgos
JUAN CARLOS BURGOS,Profesor Titular de Universidad. Universidad Carlos III de Madrid,ing.uc3m.es,4479,Transformadores. Dieléctricos,https://scholar.google.com/citations?hl=en&user=UaPGxQYAAAAJ,Spain,Universidad de Burgos
Tomas Torroba,Universidad de Burgos,ubu.es,4142,Química Orgánica,https://scholar.google.com/citations?hl=en&user=zFm2XX8AAAAJ,Spain,Universidad de Burgos
José Miguel García,Universidad de Burgos,ubu.es,4050,polymers | sensors | smart fibers | high performance polymers | aramids,https://scholar.google.com/citations?hl=en&user=AyJFEPgAAAAJ,Spain,Universidad de Burgos
Roberto Quesada,"Departamento de Química, Universidad de Burgos",ubu.es,3900,Chemistry,https://scholar.google.com/citations?hl=en&user=yfb1RVIAAAAJ,Spain,Universidad de Burgos
David Hortiguela Alcalá,Universidad de Burgos,ubu.es,3835,evaluación formativa | metodología y didáctica de la educación física | investigación acción | docencia universitaria,https://scholar.google.com/citations?hl=en&user=vXH5O4IAAAAJ,Spain,Universidad de Burgos
SONIA SAN MARTÍN,Profesora Catedrática de Marketing.Universidad de Burgos,ubu.es,3784,marketing relacional | comportamiento del consumidor | comercio electrónico | comercio móvil | país de origen,https://scholar.google.com/citations?hl=en&user=92o2JCkAAAAJ,Spain,Universidad de Burgos
Olga Domínguez Renedo,Universidad de Burgos,,3511,,https://scholar.google.com/citations?hl=en&user=auDvccsAAAAJ,Spain,Universidad de Burgos
M. Asunción Alonso Lomillo,Universidad de Burgos,ubu.es,3164,,https://scholar.google.com/citations?hl=en&user=wDrpeduplhUC,Spain,Universidad de Burgos
Juan Mielgo Ayuso,Universidad de Burgos,,3004,nutrición | fisiología | deporte | salud,https://scholar.google.com/citations?hl=en&user=6n7_1D0AAAAJ,Spain,Universidad de Burgos
Estefania Burgos-Moron,Universidad de Sevilla,us.es,2959,https://www.mdpi.com/si/107193,https://scholar.google.com/citations?hl=en&user=Z725LtwAAAAJ,Spain,Universidad de Burgos
Jerónimo de Burgos Jiménez,Profesor Universidad de Almería,ual.es,2935,gestión ambiental | dirección operaciones,https://scholar.google.com/citations?hl=en&user=O25sSusAAAAJ,Spain,Universidad de Burgos
