Daniela Ribeiro,"Faculdade de Ciências Agrárias e do Ambiente, Universidade dos Açores",uac.pt,15154,Medicinal chemistry | Pharmacy,https://scholar.google.com/citations?hl=en&user=M-5673YAAAAJ,Portugal,Universidade dos Açores
Célia Carvalho,Professor Universidade dos Açores,uac.pt,6463,Psychology,https://scholar.google.com/citations?hl=en&user=iTKZerAAAAAJ,Portugal,Universidade dos Açores
Luís Silva,Universidade dos Açores,uac.pt,3564,Ecology,https://scholar.google.com/citations?hl=en&user=1_92InUAAAAJ,Portugal,Universidade dos Açores
Sérgio P. Ávila,"Senior Scientists, Principal Investigator, CIBIO-Açores/InBIO, Universidade dos Açores",uac.pt,2944,Marine Biogeography | Palaeobiogeography | Quaternary | Invertebrate palaeontology | Island Biogeography,https://scholar.google.com/citations?hl=en&user=MWf5AUIAAAAJ,Portugal,Universidade dos Açores
António Onofre Soares,"Professor de Ecologia, Departamento de Biologia, Universidade dos Açores",uac.pt,2743,Ecologia | Evolução | Controlo Biológico,https://scholar.google.com/citations?hl=en&user=437hXTcAAAAJ,Portugal,Universidade dos Açores
Filipe Porteiro,"OKEANOS,Universidade dos Açores",,2483,Biodiversidade marinha | Biogeografia marinha | oceano profundo | conservação e política marinha,https://scholar.google.com/citations?hl=en&user=uLaWetMAAAAJ,Portugal,Universidade dos Açores
Ana Cristina Costa,"Assistant Professor, InBio CIBIO-Az, Departamento de Biologia, Universidade dos Açores",uac.pt,2244,Biodiversity | Aquatic ecology | Marine Invertebrate Biology | Nature Conservation and Management,https://scholar.google.com/citations?hl=en&user=ZozypcIAAAAJ,Portugal,Universidade dos Açores
José Manuel N. Azevedo,Universidade dos Açores,uac.pt,1917,Ictiologia | Mamíferos Marinhos,https://scholar.google.com/citations?hl=en&user=S8wZgwkAAAAJ,Portugal,Universidade dos Açores
Armindo Rodrigues,"Prof. Auxiliar com Agregação, Universidade dos Açores",uac.pt,1831,Ecotoxicology | volcanism | environmental health | reproduction,https://scholar.google.com/citations?hl=en&user=-wJc7SYAAAAJ,Portugal,Universidade dos Açores
Paulo Fialho,Universidade dos Açores,uac.pt,1755,atmosfera | ambiente | termodinâmica,https://scholar.google.com/citations?hl=en&user=GvLq4B4AAAAJ,Portugal,Universidade dos Açores
Patrícia Garcia,"Professora Auxiliar, Universidade dos Açores",uac.pt,1731,Ecotoxicology | Environmental health | pesticides | volcanism | heavy metals,https://scholar.google.com/citations?hl=en&user=2OcjyiAAAAAJ,Portugal,Universidade dos Açores
Celia Silva,Universidade dos Açores,uac.pt,1631,,https://scholar.google.com/citations?hl=en&user=sVusDVgAAAAJ,Portugal,Universidade dos Açores
Francisco Silva,"Professor de Gestão, Universidade dos Açores",uac.pt,1485,Investigação Operacional | Logística | Economia Regional,https://scholar.google.com/citations?hl=en&user=_sfEOrQAAAAJ,Portugal,Universidade dos Açores
Joaquim Moreira da Silva,Professor na Universidade dos Açores,uac.pt,1470,Reprodução | Fisiologia | Bioquimica | Genética | Stress,https://scholar.google.com/citations?hl=en&user=7XtRo3oAAAAJ,Portugal,Universidade dos Açores
Jagoba Malumbres-Olarte,Universidade dos Acores,,1337,Ecology | Evolution | Biogeography | Phylogenetics,https://scholar.google.com/citations?hl=en&user=6IZIM_AAAAAJ,Portugal,Universidade dos Açores
Vittorio Zanon,"Instituto de Investigação em Vulcanologia e Avaliação de Riscos, Universidade dos Açores",azores.gov.pt,1241,Igneous Petrology | Igneous Geochemistry | Magmatic systems,https://scholar.google.com/citations?hl=en&user=rHfsqBMAAAAJ,Portugal,Universidade dos Açores
Duarte Mendonça,Centro de Biotecnologia dos Açores - Universidade dos Açores,uac.pt,1181,Agricultural biotechnology | Molecular Biology | Plant Virology | Plant Tissue Culture,https://scholar.google.com/citations?hl=en&user=m6nH4voAAAAJ,Portugal,Universidade dos Açores
Maria do Céu Patrão Neves,"Professora Catedrática de Ética, Universidade dos Açores / Presidente do Conselho …",uac.pt,1181,Filosofia | Ética | Bioética,https://scholar.google.com/citations?hl=en&user=J-tTRHwAAAAJ,Portugal,Universidade dos Açores
Catarina Silva,"… - Instituto de Investigação em Vulcanologia e Avaliação de Riscos, Universidade dos Açores",azores.gov.pt,1149,Volcanic gases | radon | carbon dioxide,https://scholar.google.com/citations?hl=en&user=eE8993QAAAAJ,Portugal,Universidade dos Açores
Nicolau Wallenstein,Universidade dos Açores - Centro de Vulcanologia e Avaliação de Riscos Geológicos,azores.gov.pt,1045,Geociências | Vulcanismo | Sismologia,https://scholar.google.com/citations?hl=en&user=EUHvgCoAAAAJ,Portugal,Universidade dos Açores
