Paul Ohmann,"Professor of Physics, University of St. Thomas",stthomas.edu,2167,Complex systems | animal behavior | computational physics | particle physics,https://scholar.google.com/citations?hl=en&user=BV8HnOYAAAAJ,US,University of Saint Thomas Saint Paul
Paul Gavrilyuk,"Aquinas Chair in Theology and Philosophy, University of St. Thomas",stthomas.edu,1061,Patristics | Orthodox theology | Russian religious thought | Early Christianity,https://scholar.google.com/citations?hl=en&user=oO00S6EAAAAJ,US,University of Saint Thomas Saint Paul
Kundan Nepal,"University of St. Thomas, Saint Paul, MN",stthomas.edu,654,VLSI Design | Test | Reconfigurable Computing | Engineering Education,https://scholar.google.com/citations?hl=en&user=2Aup8BAAAAAJ,US,University of Saint Thomas Saint Paul
Paul Thoresen,University of St Thomas,stthomas.edu,376,Organization Development | Evidence Based Practice | Surveys | Teams | Scholar-Practitioner Interface,https://scholar.google.com/citations?hl=en&user=rh1dDEcAAAAJ,US,University of Saint Thomas Saint Paul
Thomas D. Sullivan,"Professor of Philosophy, Emeritus, University of St Thomas, St. Paul MN",stthomas.edu,240,Everything,https://scholar.google.com/citations?hl=en&user=LpHM2dMAAAAJ,US,University of Saint Thomas Saint Paul
Kanishka Chowdhury,"Professor of English, University of St. Thomas, St. Paul",stthomas.edu,174,postcolonial studies | historical materialism,https://scholar.google.com/citations?hl=en&user=Z_MhDLgAAAAJ,US,University of Saint Thomas Saint Paul
Joby Paul,"Assistant Professor, Department of Botany, St. Thomas' College (Autonomous), Thrissur",stthomas.ac.in,147,Plant Taxonomy | Biodiversity | Phytogeography | Riparian ecology,https://scholar.google.com/citations?hl=en&user=ke7a_sIAAAAJ,US,University of Saint Thomas Saint Paul
Gloria Frost,"Professor of Philosophy, University of St. Thomas, St. Paul, MN",stthomas.edu,78,Medieval Philosophy | Philosophy of Religion | Early modern | History of science and medicine,https://scholar.google.com/citations?hl=en&user=a35HE20AAAAJ,US,University of Saint Thomas Saint Paul
Michelle T. Tong,"University of St. Thomas, St. Paul, MN",stthomas.edu,75,long-term memory | olfaction | perineuronal nets,https://scholar.google.com/citations?hl=en&user=FUDOi7MAAAAJ,US,University of Saint Thomas Saint Paul
NEES PAUL,"Professor of Physics, St. Thomas' (Autonomous) College",stthomas.ac.in,49,Electromagnetism,https://scholar.google.com/citations?hl=en&user=AmZetYcAAAAJ,US,University of Saint Thomas Saint Paul
Dr. Amit Paul,"Associate Professor of Computer Sci. and Engg., St. Thomas'  College of Engg. and Tech.",stcet.ac.in,43,Bioinformatics | Soft computing | Data mining | Machine learning | Data Science,https://scholar.google.com/citations?hl=en&user=P_cpsxYAAAAJ,US,University of Saint Thomas Saint Paul
chinju paul,"Assistant professor on Contract, Dept .of .B.Voc Data Science, St.Thomas College …",vimalacollege.edu.in,38,IoT | Machine learning | Big Data | R programming | Python,https://scholar.google.com/citations?hl=en&user=ZW0ejSYAAAAJ,US,University of Saint Thomas Saint Paul
Paul J. Wojda,University of St. Thomas,stthomas.edu,9,Catholic Moral Theology | Bioethics | Healthcare Ethics | Political Theory,https://scholar.google.com/citations?hl=en&user=_2ccfnkAAAAJ,US,University of Saint Thomas Saint Paul
Matthew Vernon,"Instructional Designer University of St. Thomas, St. Paul, MN",stthomas.edu,6,Learning Technologies | GIS | Sustainability | STEAM | Design,https://scholar.google.com/citations?hl=en&user=Z8YLAu8AAAAJ,US,University of Saint Thomas Saint Paul
Adambukulam Paul Shaun,"Assistant Professor of Zoology ,St. Thomas College (Autonomous) Thrissur",,1,Entomology | Odonata | Exuvial study of odonates,https://scholar.google.com/citations?hl=en&user=KIdgu1oAAAAJ,US,University of Saint Thomas Saint Paul
