Klaus Honscheid,"Professor of Physics, Ohio State University",physics.osu.edu,167527,Cosmology | Instrumentation | Particle Physics,https://scholar.google.com/citations?hl=en&user=5qBzgbIAAAAJ
Richard E. Petty,"Distinguished University Professor of Psychology, Ohio State University",osu.edu,165915,social psychology | attitudes | persuasion | social cognition | emotion,https://scholar.google.com/citations?hl=en&user=y4MYDxQAAAAJ
Stanley Lemeshow,"Professor of Biostatistics, Ohio State University",osu.edu,132887,Not Mentioned,https://scholar.google.com/citations?hl=en&user=8Sjt6C0AAAAJ
René Stulz,"Professor of Finance, Ohio State University",osu.edu,109032,Corporate Finance | Financial Institutions | Risk Management,https://scholar.google.com/citations?hl=en&user=Jz0-RSMAAAAJ
James J Beatty,"Professor of Physics, The Ohio State University",osu.edu,100425,Astroparticle physics,https://scholar.google.com/citations?hl=en&user=G4BQxXoAAAAJ
Bharat Bhushan,"The Ohio State University (San Jose, CA)",osu.edu,95662,Biomimetics | nanotribology | nanomaterials | bio/nanotechnology | magnetic storage devices,https://scholar.google.com/citations?hl=en&user=dtvtjgsAAAAJ
Stuart Raby,"Professor of Physics, The Ohio State University",osu.edu,94645,supersymmetry | grand unification | beyond the standard model,https://scholar.google.com/citations?hl=en&user=Og0koPUAAAAJ
Bin Gui,the Ohio State University,osu.edu,87613,High Energy Experimental Physics,https://scholar.google.com/citations?hl=en&user=JZkJN2MAAAAJ
Jason L. Sonnenberg,Sunny Hill Consulting,osu.edu,85036,Chemical Education | Actinoids | Internal coordinates | Metal binding mechanisms | Potential Energy Surfaces,https://scholar.google.com/citations?hl=en&user=1eQ9djEAAAAJ
Xavier Siemens,Oregon State University,oregonstate.edu,82293,Astrophysics | General Relativity | Cosmology,https://scholar.google.com/citations?hl=en&user=Atnk16AAAAAJ
Marilynn Brewer,Not Mentioed,osu.edu,81252,Not Mentioned,https://scholar.google.com/citations?hl=en&user=SbfDw3wAAAAJ
Heidi Schellman,"Professor of Physics, Oregon State University",science.oregonstate.edu,76247,Experimental Particle Physics,https://scholar.google.com/citations?hl=en&user=N90i3dQAAAAJ
"Timothy E. Hewett, PhD, FACSM","Consultant, Orthopaedics, Biomechanics, Sports & Sports Medicine Research",osu.edu,72931,Biophysics & Biomechanics | Orthopaedic & Sports Medicine Research | Orthopedic Surgery | PM&R | Physiology & Biomedical Engineering,https://scholar.google.com/citations?hl=en&user=UIufWZYAAAAJ
Thomas Dishion,"Professor Arizona State University & Senior Scientist, Oregon Research Institute",asu.edu,63845,development and psychopathology | prevention science | child clinical,https://scholar.google.com/citations?hl=en&user=OQBD_rUAAAAJ
Russell H Fazio,"Harold E. Burtt Chair in Psychology, Ohio State University",osu.edu,61333,Social Psychology,https://scholar.google.com/citations?hl=en&user=QeI1xU0AAAAJ
Brad J. Bushman,"Professor of Communication, The Ohio State University",osu.edu,60894,Aggression and violence,https://scholar.google.com/citations?hl=en&user=LUrHrxcAAAAJ
Julian Thayer,The Ohio State University,osu.edu,60247,psychololgy,https://scholar.google.com/citations?hl=en&user=EKDnNFwAAAAJ
Jane Lubchenco,Oregon State University,oregonstate.edu,57182,ecology | environmental science | conservation science | marine science | sustainability science,https://scholar.google.com/citations?hl=en&user=DR25bTwAAAAJ
rolf fare,oregon state university,orst.edu,55312,Not Mentioned,https://scholar.google.com/citations?hl=en&user=IaszjVkAAAAJ
Thomas Dietterich,"Distinguished Professor (Emeritus), Computer Science, Oregon State University",cs.orst.edu,54395,Machine Learning | Computational Sustainability | Artificial Intelligence | Reinforcement Learning,https://scholar.google.com/citations?hl=en&user=09kJn28AAAAJ
Shan-Lu Liu,"Professor of Virology, The Ohio State University",osu.edu,54247,Virology,https://scholar.google.com/citations?hl=en&user=9Ee76gwAAAAJ
David Bangsberg,"… School of Public Health, Oregon Health and Science University, Portland State University",ohsu.edu,53169,Public Health | HIV,https://scholar.google.com/citations?hl=en&user=PP6LKtYAAAAJ
