Edmund T Rolls,Oxford Centre for Computational Neuroscience and University of Warwick,oxcns.org,105390,Neuroscience | Computational Neuroscience | Emotion | Memory | Vision,https://scholar.google.com/citations?hl=en&user=4tIgOKsAAAAJ
Professsor Olalekan Uthman,University of Warwick,warwick.ac.uk,90217,Global Health Informatics,https://scholar.google.com/citations?hl=en&user=IMV5E2IAAAAJ
Kendall Ackley,University of Warwick,warwick.ac.uk,75241,Not Mentioned,https://scholar.google.com/citations?hl=en&user=pQ_hxRUAAAAJ
Thomas Blake,University of Warwick,warwick.ac.uk,68382,Particle Physics,https://scholar.google.com/citations?hl=en&user=-zMmLegAAAAJ
Paramjit Gill,"Professor of General Practice, University of Warwick",warwick.ac.uk,66146,Not Mentioned,https://scholar.google.com/citations?hl=en&user=TfM8GxMAAAAJ
Andrew Oswald,"Professor of Economics and Behavioural Science, University of Warwick",warwick.ac.uk,56371,Economics | Human Well-being | Behavioural Science,https://scholar.google.com/citations?hl=en&user=0qXvmz4AAAAJ
Jerry P. Nolan,"Professor of Resuscitation Medicine, University of Warwick",nhs.net,51409,Resuscitation,https://scholar.google.com/citations?hl=en&user=xiZu2HoAAAAJ
Keith R Abrams,"Prof, Univ of Warwick, Hon Prof, Univ of York & NIHR Senior Investigator Emeritus",york.ac.uk,46722,Biostatistics | Epidemiology | Health Data Science | HTA,https://scholar.google.com/citations?hl=en&user=8YdOC44AAAAJ
Christian Robert,"Université Paris Dauphine, PSL & University of Warwick",ceremade.dauphine.fr,42675,Bayesian Statistics | Monte Carlo methods | econometrics | astronomy | genetics,https://scholar.google.com/citations?hl=en&user=g_q39ZUAAAAJ
Lawrence S. Young,University of Warwick,warwick.ac.uk,42083,virology | cancer | EBV | HPV,https://scholar.google.com/citations?hl=en&user=kRVYgy0AAAAJ
Dieter Wolke,"Professor, Department of Psychology, University of Warwick",warwick.ac.uk,41370,Preterm | Developmental Psychology | Individual Differences,https://scholar.google.com/citations?hl=en&user=bNHDQ6cAAAAJ
Christopher Quince,University of Warwick,warwick.ac.uk,41318,Mathematical biology | Bioinformatics | Bayesian statistics,https://scholar.google.com/citations?hl=en&user=0yKnJ2wAAAAJ
Marcus Miller,"Professor of Economics, University of Warwick",warwick.ac.uk,40777,Economics,https://scholar.google.com/citations?hl=en&user=uZ2BR8MAAAAJ
Gavin Perkins,"Professor of Critical Care Medicine, University of Warwick",warwick.ac.uk,40316,Critical care medicine | pre-hospital care | resuscitation,https://scholar.google.com/citations?hl=en&user=l05Nl5YAAAAJ
Mark Achtman FRS,"emeritus Professor University of Warwick, previously University College Cork and Max …",warwick.ac.uk,39759,microbial population genetics,https://scholar.google.com/citations?hl=en&user=a5VMuFUAAAAJ
Martyn Plummer,University of Warwick,warwick.ac.uk,39472,Epidemiology | Cancer | Statistics | Statistical Computing,https://scholar.google.com/citations?hl=en&user=PuDvqn4AAAAJ
Boris Gaensicke,"University of Warwick, Department of Physics",warwick.ac.uk,35905,Astronomy,https://scholar.google.com/citations?hl=en&user=8emqZn0AAAAJ
Andrew Levan,"Professor, Radboud University Nijmegen; Honorary Professor, University of",warwick.ac.uk,33091,Gamma-ray bursts | gravitational wave counterparts | supernovae | cosmology,https://scholar.google.com/citations?hl=en&user=-tcLIGMAAAAJ
Richard Hastings,"… (Centre for Educational Development Appraisal and Research), University of Warwick",warwick.ac.uk,32593,Special Education | Intellectual Disability | Intellectual Disabilities | Developmental Disabilities | Special Educational Needs,https://scholar.google.com/citations?hl=en&user=F-tUp4wAAAAJ
Leslie J Francis,University of Warwick,warwick.ac.uk,32387,Psychology of Religion | Practical Theology | Religious Education | Empirical Theology,https://scholar.google.com/citations?hl=en&user=3GRF3yYAAAAJ
