Michelle Francl,Bryn Mawr College & Vatican Observatory,brynmawr.edu,12681,Computational chemistry | quantum chemistry,https://scholar.google.com/citations?hl=en&user=7QKMrnoAAAAJ
Alison Cook-Sather,"Mary Katharine Woodworth Professor of Education, Bryn Mawr College",brynmawr.edu,11125,student voice | pedagogical partnership,https://scholar.google.com/citations?hl=en&user=r1xv_twAAAAJ
Deepak Kumar,Bryn Mawr College,brynmawr.edu,9213,Not Mentioned,https://scholar.google.com/citations?hl=en&user=vkSizgIAAAAJ
Dustin Albert,"Associate Professor of Psychology, Bryn Mawr College",brynmawr.edu,5860,Developmental Science | Adolescence | Self Regulation and Decision Making,https://scholar.google.com/citations?hl=en&user=DFIkktsAAAAJ
Julia Littell,"Professor, Bryn Mawr College",brynmawr.edu,5565,Research Synthesis | Social Work | Child Welfare | Methodology,https://scholar.google.com/citations?hl=en&user=8RcbKMcAAAAJ
Xuemei May Cheng,"Professor of Physics, Bryn Mawr College",brynmawr.edu,4317,nanomaterials | Spintronics | synchrotron x-ray | mechanobiology,https://scholar.google.com/citations?hl=en&user=25WjUwIAAAAJ
Marc Schulz,Bryn Mawr College,brynmawr.edu,4240,Emotion | Marriage | Couple Relationships | Lifespan | Psychology,https://scholar.google.com/citations?hl=en&user=sDHn0GAAAAAJ
Arlo Brandon Weil,Bryn Mawr College,brynmawr.edu,3782,Geology | Tectonics | Structural Geology | Paleomagnetism,https://scholar.google.com/citations?hl=en&user=W6M4NF8AAAAJ
Anjali Thapar,Bryn Mawr College,brynmawr.edu,3226,Human Memory | Cognitive Aging,https://scholar.google.com/citations?hl=en&user=w5o8YjAAAAAJ
Gregory K Davis,"Associate Professor of Biology, Bryn Mawr College",brynmawr.edu,3133,Evolutionary Developmental Bioloy | Developmental Plasticity,https://scholar.google.com/citations?hl=en&user=2nvzWLoAAAAJ
James C. Wright,"Professor emeritus of Archaeology, Bryn Mawr College",brynmawr.edu,2974,Archaeology,https://scholar.google.com/citations?hl=en&user=cZP0zvkAAAAJ
Cindy Sousa,"Bryn Mawr College, Graduate School of Social Work and Social Research",brynmawr.edu,2918,violence | trauma | communities | health | resilience,https://scholar.google.com/citations?hl=en&user=EA54iNQAAAAJ
William Malachowski,"Professor of Chemistry, Bryn Mawr College",brynmawr.edu,2514,medicinal chemistry | synthetic organic chemistry,https://scholar.google.com/citations?hl=en&user=uA2_nBEAAAAJ
Thomas J. Mozdzer,"Associate Professor, Bryn Mawr College",brynmawr.edu,2485,Ecosystem Ecology | Ecophysiology | Global Change | Invasion Ecology,https://scholar.google.com/citations?hl=en&user=1nveD9AAAAAJ
Donald C. Barber,"Associate Professor, Bryn Mawr College",brynmawr.edu,2417,Coastal Processes | Marine Sedimentology | Sea Level | Biogeochemistry | Climate Justice,https://scholar.google.com/citations?hl=en&user=ZrLGZt0AAAAJ
Thomas Vartanian,BRYN MAWR COLLEGE,Not Mentioned,2350,Neighborhoods,https://scholar.google.com/citations?hl=en&user=8peGe3MAAAAJ
Adam Poliak,Bryn Mawr College,brynmawr.edu,1749,Natural Language Processing | Machine Learning,https://scholar.google.com/citations?hl=en&user=emOpjxAAAAAJ
Beck A. Wehrle,"Visiting Assistant Professor of Biology, Bryn Mawr College",brynmawr.edu,1673,herpetology | ecological physiology | digestion | digestive ecology | diet specialization,https://scholar.google.com/citations?hl=en&user=xKwVVP8AAAAJ
Douglas Blank,"Emeritus Professor of Computer Science, Bryn Mawr College; Head of Research, Comet.ml",brynmawr.edu,1619,Machine Learning | Developmental Robotics | Computer Science Education | Artificial Intelligence | Gender Issues,https://scholar.google.com/citations?hl=en&user=Jv1FrfwAAAAJ
Dan E. Davidson,"… Councils Research Center (ARC), Emeritus Professor of Russian, Bryn Mawr College",americancouncils.org,1588,second language acquisition | immersion learning | Russian | educational development,https://scholar.google.com/citations?hl=en&user=lu80IxIAAAAJ
Adam P. Williamson,"Assistant Professor, Bryn Mawr College",brynmawr.edu,1559,Cell biology | Biochemistry | Immunology,https://scholar.google.com/citations?hl=en&user=2SkE0u0AAAAJ
Paul Melvin,"Professor of Mathematics, Bryn Mawr College",brynmawr.edu,1507,Topology of 3 and 4-manifolds,https://scholar.google.com/citations?hl=en&user=loGojQoAAAAJ
