Andrew Kerkhoff,"Professor of Biology and Mathematics & Statistics, Kenyon College",kenyon.edu,9320,Ecology | Biogeography | Evolution | Conservation | Education,https://scholar.google.com/citations?hl=en&user=J2_CC68AAAAJ
Andrew D. Engell,Kenyon College,kenyon.edu,6493,Cognitive Neurosicence | Perception of Social Agents,https://scholar.google.com/citations?hl=en&user=PTL5EOAAAAAJ
Siobhan Fennessy,"Professor, Kenyon College",kenyon.edu,5894,wetlands | carbon | restoration | assessment,https://scholar.google.com/citations?hl=en&user=zzhn8msAAAAJ
Karen Hicks,Kenyon College,kenyon.edu,4267,Not Mentioned,https://scholar.google.com/citations?hl=en&user=GR6eoK4AAAAJ
Heather Rowan-Kenyon,Boston College,bc.edu,3776,Not Mentioned,https://scholar.google.com/citations?hl=en&user=RBDmFT8AAAAJ
Iris I Levin,Kenyon college,kenyon.edu,2631,Behavioral ecology | physiology | evolutionary biology,https://scholar.google.com/citations?hl=en&user=MkemWxkAAAAJ
Joseph Klesner,"Professor of Political Science, Kenyon College",kenyon.edu,2287,comparative politics | Latin American politics | Mexican politics,https://scholar.google.com/citations?hl=en&user=WjkEPS8AAAAJ
Bruce Hardy,"Professor of Anthropology, Kenyon College",kenyon.edu,2147,paleoanthropology | Neanderthals | human evolution,https://scholar.google.com/citations?hl=en&user=EtJtCX0AAAAJ
Patricia Urban,"JK Smail Professor of Anthropology, Kenyon College",kenyon.edu,1903,Mesoamerican and Central American … | archaeological ceramic analysis | archaeological theory | ancient settlement patterns,https://scholar.google.com/citations?hl=en&user=Wp1TXAIAAAAJ
Robert Mauck,Kenyon College,kenyon.edu,1746,Behavioral Ecology | Evolution | Physiological Ecology,https://scholar.google.com/citations?hl=en&user=477SmucAAAAJ
Christopher Gillen,"Professor of Biology, Kenyon College",kenyon.edu,1706,Animal Physiology,https://scholar.google.com/citations?hl=en&user=vWmRPPQAAAAJ
Nuh Aydin,Kenyon College,kenyon.edu,1512,coding theory | cryptography | theoretical computer science | mathematics education | history of mathematics,https://scholar.google.com/citations?hl=en&user=71yU4nIAAAAJ
Wade Powell,"Professor of Biology, Kenyon College",kenyon.edu,1427,molecular biology | environmental toxicology,https://scholar.google.com/citations?hl=en&user=AeG4r3UAAAAJ
Yutan Getzler [he•him],Kenyon College,kenyon.edu,1385,catalysis | polymer chemistry | sustainability,https://scholar.google.com/citations?hl=en&user=WWuQ3MEAAAAJ
Jay R. Corrigan,"Professor of Economics, Kenyon College",kenyon.edu,1228,Laboratory and field auction experiments | environmental and resource economics | agricultural economics | public sector economics,https://scholar.google.com/citations?hl=en&user=XFu_3k8AAAAJ
Frank Peiris,"Professor, Kenyon College",kenyon.edu,1201,Nanostructures | Topological Insulators | Ellipsometry,https://scholar.google.com/citations?hl=en&user=x-AKVNEAAAAJ
Marci D. Cottingham,"Department of Sociology, Kenyon College",kenyon.edu,1195,Emotion | Social Inequalities | Carework | Biomedical Science | Risk,https://scholar.google.com/citations?hl=en&user=5JiUa7IAAAAJ
Catherine M. Mauck,Kenyon College,kenyon.edu,1150,Not Mentioned,https://scholar.google.com/citations?hl=en&user=8aWm1DUAAAAJ
