Zhihua Liang,Physicist at SMU,smu.edu,204879,Quantum Field Theory | Cosmology | Artificial Intelligence | Quantum computer,https://scholar.google.com/citations?hl=en&user=euNshFkAAAAJ
Tulin Varol,"Post-Doctoral Fellow, Southern Methodist University",mail.smu.edu,198106,High energy physics | data analysis,https://scholar.google.com/citations?hl=en&user=tI94vtoAAAAJ
Rohin Narayan,"Department of Physics, Southern Methodist University",smu.edu,159356,High energy particle physics,https://scholar.google.com/citations?hl=en&user=1z8faREAAAAJ
Robert Calkins,Southern Methodist University,smu.edu,119313,particle physics | high energy physics | dark matter | cosmology | SuperCDMS,https://scholar.google.com/citations?hl=en&user=Kpc0H3sAAAAJ
Pavel Nadolsky,"Professor of Theoretical Physics, Southern Methodist University",smu.edu,42436,Elementary particle physics …,https://scholar.google.com/citations?hl=en&user=GOqnRJcAAAAJ
"Jianhui Wang, Professor, IEEE Fellow",Southern Methodist University,smu.edu,39668,Power Systems | Smart Grid | Renewable Integration | Energy Economics and Policy,https://scholar.google.com/citations?hl=en&user=IV2sb-sAAAAJ
"Kelloway, E. Kevin",Saint Mary's University,smu.ca,39348,Not Mentioned,https://scholar.google.com/citations?hl=en&user=k_Lo5MQAAAAJ
Lionel Tang,Singapore Management University,business.smu.edu.sg,31223,Not Mentioned,https://scholar.google.com/citations?hl=en&user=LPbfNNEAAAAJ
Jill Clayton-Smith,"Professor of Medical Genetics, University of Manchester, Clinical Geneticist, St Mary's …",cmft.nhs.uk,28528,Clinical genetics | paediatrics,https://scholar.google.com/citations?hl=en&user=1IMvjw4AAAAJ
John Slocum,Southern Methodist university ,cox.smu.edu,26798,management,https://scholar.google.com/citations?hl=en&user=OMiupZQAAAAJ
Shuwen Liu,Southern Medical University,smu.edu.cn,26670,Anti-viral drugs | Immunopharmacology,https://scholar.google.com/citations?hl=en&user=rWaqCocAAAAJ
Nirmalya Kumar,"Lee Kong Chian Professor of Marketing, Singapore Management University",smu.edu.sg,26439,Marketing | Strategy | Operations,https://scholar.google.com/citations?hl=en&user=yhwZktQAAAAJ
Filip Lievens,Singapore Management University,smu.edu.sg,25908,Human Resource Management | Talent Assessment | Adaptability | Selection | Employer Branding,https://scholar.google.com/citations?hl=en&user=7M0s5dQAAAAJ
Manchester LC Ph.D,"St. Mary's University, TX",stmarytx.edu,25777,Melatonin | Oxidative Stress Neurobiology,https://scholar.google.com/citations?hl=en&user=tXSOxngAAAAJ
Youhua Liu,Southern Medical University,smu.edu.cn,25372,Kidney fibrosis | CKD | Wnt signaling | podocyte,https://scholar.google.com/citations?hl=en&user=7wASb44AAAAJ
Guangchuang Yu,"Professor of Bioinformatics, Southern Medical University",smu.edu.cn,25000,Bioinformatics | Evolution | Microecology,https://scholar.google.com/citations?hl=en&user=DO5oG40AAAAJ
David Lo,"Professor of Computer Science, Singapore Management University",smu.edu.sg,24050,Software Analytics | AIOps | Software Maintenance and Testing | Software Engineering | Data Mining,https://scholar.google.com/citations?hl=en&user=Ra4bt-oAAAAJ
Daniel  F. Heitjan,SMU/UTSW,smu.edu,23963,Biostatistics | Statistics,https://scholar.google.com/citations?hl=en&user=KB7InloAAAAJ
David Chan,"… university of singapore, singapore management university, michigan state university",smu.edu.sg,23650,industrial and organizational psychology | personnel selection | multilevel research | longitudinal modeling | subjective well-being,https://scholar.google.com/citations?hl=en&user=LQHeHaQAAAAJ
Richard Duschl,Southern Methodist University; Emeritus Penn State,smu.edu,23535,Argumentation Discourse | Epistemic Learning Goals | HPS,https://scholar.google.com/citations?hl=en&user=vmKhCgoAAAAJ
Steven CH Hoi,Managing Director of Salesforce Research Asia; IEEE Fellow; Professor at SMU,smu.edu.sg,23245,Machine Learning | Computer Vision | Multimedia | NLP | Data Mining,https://scholar.google.com/citations?hl=en&user=JoLjflYAAAAJ
denis leung,singapore management University,smu.edu.sg,23093,missing data | health statistics | data science,https://scholar.google.com/citations?hl=en&user=dz1TgbsAAAAJ
Robert H. Deng,Singapore Management University,smu.edu.sg,22528,Information security | cryptography | data privacy | computer security | network security,https://scholar.google.com/citations?hl=en&user=OPbZGPsAAAAJ
Ee-Peng Lim,Singapore Management University,smu.edu.sg,22348,Data and Text Mining | Social Network Mining | Information Integration | Digital Libraries,https://scholar.google.com/citations?hl=en&user=r0wOAikAAAAJ
Donald (Don) L. Ferrin,Professor of Organisational Behaviour & Human Resources,smu.edu.sg,20172,trust | negotiation,https://scholar.google.com/citations?hl=en&user=mTrZaDYAAAAJ
"Radovan Kovacevic, Ph.D., FASME, FSME, FAWS","Professor of Mechanical Engineering and Herman Brown Chair in Engineering, Southern …",lyle.smu.edu,18755,Additive manufacturing | materials processing by high-power lasers | abrasive waterjet materials processing | friction stir welding,https://scholar.google.com/citations?hl=en&user=rm9_M6cAAAAJ
Gi-Ho Sung,"College of Medicine and Bio. Ins. of Mycol. Res., Int. St.Mary's Hospital, Catholic Kwandong …",ish.or.kr,18039,Not Mentioned,https://scholar.google.com/citations?hl=en&user=nD3LYwEAAAAJ
Jing Jiang,"School of Computing and Information Systems, Singapore Management University",smu.edu.sg,16032,Natural Language Processing | Text Mining | Machine Learning,https://scholar.google.com/citations?hl=en&user=hVTK2YwAAAAJ
Bruce Gnade,SMU,smu.edu,15186,Electronic materials,https://scholar.google.com/citations?hl=en&user=ZPQWPa4AAAAJ
Panchanan Maiti,"… St. Mary's Hospital, Saginaw Valley State University and Central Michigan University",cmich.edu,15020,Protein misfolding neurodegenerative …,https://scholar.google.com/citations?hl=en&user=C8xIVzkAAAAJ
George W Holden,"Emeritus Professor of Psychology, Southern Methodist University",smu.edu,14336,social development | parent-child relationships | discipline,https://scholar.google.com/citations?hl=en&user=2zroAJcAAAAJ
Jodi Cooley,"Professor of Physics, Southern Methodist University",physics.smu.edu,14229,physics,https://scholar.google.com/citations?hl=en&user=-HI_tH0AAAAJ
Ernest Jouriles,"Professor of Psychology, Southern Methodist University",smu.edu,14209,Family Violence | Child Abuse | Domestic Violence | Child Externalizing Problems | Teen Dating Violence,https://scholar.google.com/citations?hl=en&user=BzN_0qEAAAAJ
gordon walker,Southern Methodist University,smu.edu,13758,Strategy,https://scholar.google.com/citations?hl=en&user=_8BpmhMAAAAJ
Glenn Voss,"Research Director, SMU DataArts",smu.edu,13644,Innovation and organizational learning | Customer satisfaction and relationship … | Retail pricing strategies,https://scholar.google.com/citations?hl=en&user=W8Jed3gAAAAJ
Nicolay V. Tsarevsky,Southern Methodist University,smu.edu,13606,polymer chemistry | reversible deactivation radical polymerization | hypervalent iodine,https://scholar.google.com/citations?hl=en&user=N87dGREAAAAJ
Albert J. Mills,"Professor Emeritus, MGMT (SMU); Prof. Innovation MGMT, U. Eastern Finland",smu.ca,13569,Management history | gender | existentialism | critical sensemaking | organizational culture,https://scholar.google.com/citations?hl=en&user=IBAmOJgAAAAJ
David Rosenfield,"Department of Psychology, Southern Methodist University",smu.edu,13393,psychology,https://scholar.google.com/citations?hl=en&user=dr_ZWGAAAAAJ
Zhen Zhang,"Professor of Management, Southern Methodist University",smu.edu,13334,Leadership | Groups and teams | Biological basis of work behavior | Research methods,https://scholar.google.com/citations?hl=en&user=yF80nYQAAAAJ
Chong-Wah Ngo,Singapore Management University,smu.edu.sg,13270,Multimedia | Computer Vision | Information Retrieval,https://scholar.google.com/citations?hl=en&user=HM39HrUAAAAJ
