Glenn Geher,"Psychology Department, State University of New York at New Paltz",newpaltz.edu,3560,Evolutionary Psychology | social psychology | personality psychology | intelligence | mating,https://scholar.google.com/citations?hl=en&user=DWveMXQAAAAJ
Narcyz Roztocki,"Professor, State University of New York at New Paltz",newpaltz.edu,3008,ICT in Transition Economies | ICT for development | Activity-Based Costing | Capital Markets | Enterprise Systems,https://scholar.google.com/citations?hl=en&user=JAanMG8AAAAJ
Jonathan D. Raskin,State University of New York at New Paltz,newpaltz.edu,2317,constructivist psychology,https://scholar.google.com/citations?hl=en&user=fWNjS2gAAAAJ
Benjamin Junge,"Full Professor of Anthropology, State University of New York at New Paltz",newpaltz.edu,1690,Social movements | class | gender | sexuality | health,https://scholar.google.com/citations?hl=en&user=2YFxU6oAAAAJ
Davina Vora,State University of New York at New Paltz,newpaltz.edu,900,Not Mentioned,https://scholar.google.com/citations?hl=en&user=BrcTONkAAAAJ
Chih-Yang Tsai,State University of New York at New Paltz,newpaltz.edu,641,Operations Management | Cash Flow Management | Accounting Information System,https://scholar.google.com/citations?hl=en&user=7o_cNo4AAAAJ
Lydia Bright,"Assistant Professor, State University of New York at New Paltz",newpaltz.edu,609,Cell biology | Evolutionary biology,https://scholar.google.com/citations?hl=en&user=Ch7WOmIAAAAJ
Andrea M. Noel,"Professor, State University of New York at New Paltz",newpaltz.edu,444,child development | early childhood education | language learning | social studies/history education,https://scholar.google.com/citations?hl=en&user=_lLk6FcAAAAJ
Yuan Wen,State University of New York at New Paltz,newpaltz.edu,410,Finance,https://scholar.google.com/citations?hl=en&user=g7B7TQcAAAAJ
Eugene Heath,"Philosophy, State University of New York at New Paltz",newpaltz.edu,351,Eighteenth-century moral philosophy | Business Ethic ...,https://scholar.google.com/citations?hl=en&user=SYBYT9IAAAAJ
Qiao Li,State University of New York at New Paltz,newpaltz.edu,301,AIS | Continuous Auditing | Audit Data Analytics | AI,https://scholar.google.com/citations?hl=en&user=apb-BZIAAAAJ
Anyuan Shen,"Professor of Marketing, State University of New York at New Paltz",newpaltz.edu,264,Individual Marketing | Service Personalization | Object Attachment,https://scholar.google.com/citations?hl=en&user=Ow6sYm0AAAAJ
Kathleen Murphy,State University of New York at New Paltz,newpaltz.edu,243,Music therapy | substance abuse,https://scholar.google.com/citations?hl=en&user=ansqKiQAAAAJ
Kiersten Greene,State University of New York at New Paltz,newpaltz.edu,236,literacy education | educational policy | instructional technology,https://scholar.google.com/citations?hl=en&user=TAJygiUAAAAJ
Moshe Cohen,"Assistant Professor, State University of New York at New Paltz",newpaltz.edu,152,Knot Theory | Hyperplane Arrangements | Random Topology | Combinatorial Topology | Combinatorics,https://scholar.google.com/citations?hl=en&user=3QaRvAkAAAAJ
Aaron D. Isabelle,State University of New York at New Paltz,newpaltz.edu,133,Science Education | Elementary Education,https://scholar.google.com/citations?hl=en&user=uwlh-3EAAAAJ
SoeYoon Choi,The State University of New York at New Paltz,newpaltz.edu,125,Communication and Technology,https://scholar.google.com/citations?hl=en&user=Z2vQSvcAAAAJ
Rachael Carmen,State University of New York at New Paltz,newpaltz.edu,121,Psychology | Evolution | Science | Anthropology,https://scholar.google.com/citations?hl=en&user=MwQXUS4AAAAJ
Ji Yu,"Associate Professor, the State University of New York at New Paltz",newpaltz.edu,94,Accounting,https://scholar.google.com/citations?hl=en&user=WJYvT5EAAAAJ
Cyrus Mulready,State University of New York at New Paltz,newpaltz.edu,90,Shakespeare | genre | material culture,https://scholar.google.com/citations?hl=en&user=_Cr1VjEAAAAJ
Stephen Pampinella,State University of New York at New Paltz,newpaltz.edu,31,State building | counterinsurgency | American foreign policy,https://scholar.google.com/citations?hl=en&user=hXwGZOQAAAAJ
Kerry Dean Carso,"Professor of Art History, State University of New York at New Paltz",newpaltz.edu,29,American art and architectural history,https://scholar.google.com/citations?hl=en&user=fNF0xHwAAAAJ
Yi Zheng,"Assistant Professor of Finance, State University of New York at New Paltz",newpaltz.edu,28,Financial Intermediation | Banking | Household Finance | Corporate Finance | Financial Accounting,https://scholar.google.com/citations?hl=en&user=JDWrBlsAAAAJ
Jeungeun Park,State University of New York at New Paltz,newpaltz.edu,23,traveling waves | applied analysis | flagellated bacteria | mathematical biology,https://scholar.google.com/citations?hl=en&user=U62VT00AAAAJ
Mathew Swerdloff,"Adjunct Professor, State University of New York at New Paltz",swerdloff.org,17,Education | Instructional Technology | School Leadership and Administration,https://scholar.google.com/citations?hl=en&user=2KnsD8gAAAAJ
