Francisco J. Ayala,Presidente de honor de la Cátedra Francisco José Ayala. Universidad Pontificia de Comillas …,uib.es,49277,evolución humana | genética | redes cerebrales,https://scholar.google.com/citations?hl=en&user=cNVy3ioAAAAJ
Ignacio J. Pérez-Arriaga,"Full Profesor, Universidad Pontificia Comillas; Visiting professor, MIT, since 2008, PI status",mit.edu,7198,Regulation | planning | business models | computer modeling for energy access in …,https://scholar.google.com/citations?hl=en&user=fgcuOdEAAAAJ
Andres Ramos (ORCID 0000-0002-8871-1872),Professor. Universidad Pontificia Comillas. Instituto de Investigación Tecnológica (RoR …,comillas.edu,6850,Optimization | Power systems | Planning and operation of electric energy … | Transmission Expansion Planning,https://scholar.google.com/citations?hl=en&user=4dXn9G4AAAAJ
Rosalia Mota López,Universidad Pontificia Comillas,comillas.edu,6305,Social welfare | Social policy | Ageing | Family | Social innovation,https://scholar.google.com/citations?hl=en&user=HJx2dIwAAAAJ
Tomas GOMEZ SAN ROMAN,"Profesor, Universidad Pontificia Comillas, Instituto Investigación Tecnológica",comillas.edu,5697,Economics and regulation of the energy …,https://scholar.google.com/citations?hl=en&user=yU4dQ-kAAAAJ
José Daniel Muñoz Frías,… del departamento de Electrónica Automática y Comunicaciones. Universidad Pontificia,comillas.edu,4779,Sistemas Digitales | Sistemas Empotrados | Tiempo Real,https://scholar.google.com/citations?hl=en&user=lC3PZbAAAAAJ
Pablo Frías Marín,"Universidad Pontificia Comillas, Instituto de Investigación Tecnológica, ICAI School of …",iit.comillas.edu,4355,Sustainable Mobility | Electric Power Systems | Smart grids | DER integration | Electric Machines,https://scholar.google.com/citations?hl=en&user=b2H1uIQAAAAJ
Michel Rivier,Universidad Pontificia Comillas. Institute for Research in Technology,comillas.edu,4065,Electricity Power Systems (Regulation | Market design | Operation),https://scholar.google.com/citations?hl=en&user=0CZa-WcAAAAJ
Antonio Núñez Partido,Universidad Pontificia Comillas,comillas.edu,3793,Psicología | Comportamiento Organizacional | Satisfacción y Clima laboral | Estrés | Bionergética,https://scholar.google.com/citations?hl=en&user=5j2Ez7AAAAAJ
Carmen Valor,ICADE; Universidad Pontificia Comillas; Instituto de Investigación Tecnológica,comillas.edu,3788,transitions to sustainability | collaborative economy | ethical consumption | sustainable consumption | market systems,https://scholar.google.com/citations?hl=en&user=Ij18bO4AAAAJ
"Hernandez Franco,V",Profesor Universidad Pontificia Comillas,Not Mentioned,3711,Orientación educativa | profesional y familiar,https://scholar.google.com/citations?hl=en&user=v-aA_IgAAAAJ
Mario Castro,"Instituto de Investigación Tecnológica (IIT), Universidad Pontificia Comillas",comillas.edu,3405,Theoretical Immunology | Viral Dynamics | Virus Dynamics | Stochastic models,https://scholar.google.com/citations?hl=en&user=OTxuF1EAAAAJ
Javier Reneses,Institute for Research in Technology - IIT. Universidad Pontificia Comillas,iit.comillas.edu,3245,Not Mentioned,https://scholar.google.com/citations?hl=en&user=D4pEd10AAAAJ
Javier García-González,"Universidad Pontificia Comillas, Instituto de Investigación Tecnológica (IIT), ETSI ICAI",comillas.edu,3126,Decision support models | power systems | electricity markets,https://scholar.google.com/citations?hl=en&user=-kXCPwIAAAAJ
José-Luis Fernández-Fernández,Universidad Pontificia Comillas,comillas.edu,2857,Ética Empresarial | Responsabilidad Social de la Empresa | Sostenibilidad,https://scholar.google.com/citations?hl=en&user=c-JwiLQAAAAJ
Rafael Cossent,"Universidad Pontificia Comillas, Institute for Research in Technology (IIT)",iit.comillas.edu,2624,Economics and regulation of the power sector | electricity distribution | integration of renewable and distributed … | dem,https://scholar.google.com/citations?hl=en&user=YX-Xh_QAAAAJ
Carlos Mateo Domingo,Universidad Pontificia Comillas,comillas.edu,2534,… network models. Impact of distributed energy …,https://scholar.google.com/citations?hl=en&user=wO-ue7IAAAAJ
Mariano Ventosa,Universidad Pontificia Comillas,comillas.edu,2285,Electricity Markets,https://scholar.google.com/citations?hl=en&user=8GRwtGcAAAAJ
Aurelio García-Cerrada,"Professor of Power Electronics and Control Systems, Universidad Pontificia Comillas de …",comillas.edu,2279,Power Electronics | Control Systems | Electric Power Systems,https://scholar.google.com/citations?hl=en&user=pEAVdmYAAAAJ
Covadonga Meseguer,"International Politics and Economics, Universidad Pontificia de Comillas (ICADE-CIHS)",comillas.edu,2265,International Political Economy | Latin America | Migration | Development,https://scholar.google.com/citations?hl=en&user=psEXCPoAAAAJ
maria josé martín rodrigo,Universidad Pontificia Comillas,comillas.edu,2213,Organización y Recursos Humanos,https://scholar.google.com/citations?hl=en&user=ovclvGcAAAAJ
Luis Olmos,Universidad Pontificia Comillas. Institute for Research in Technology. ICAI School of …,comillas.edu,2161,Electrical Engineering | Energy Policy | Energy Economics,https://scholar.google.com/citations?hl=en&user=0J7Tn8sAAAAJ
Antonio Fernandez-Cardador,Universidad Pontificia Comillas. Institute for Research in Technology. ICAI School of …,iit.comillas.edu,2075,Railways | Traffic operation | Energy Efficiency | Eco-driving | Transport Capacity,https://scholar.google.com/citations?hl=en&user=gXMLcAQAAAAJ
Miguel Angel Sanz Bobi,"Universidad Pontificia Comillas,",comillas.edu,1949,Not Mentioned,https://scholar.google.com/citations?hl=en&user=SM8LblMAAAAJ
