Jian Pei,"Professor of Computing Science, Simon Fraser University",cs.sfu.ca,110243,Data mining | big data analytics | database systems | information retrieval,https://scholar.google.com/citations?hl=en&user=zIMEVKsAAAAJ
Pei-Yong Shi,University of Texas Medical Branch,UTMB.edu,44460,Virology | Drug Discovery | Vaccine | Diagnostics,https://scholar.google.com/citations?hl=en&user=WcBDYP8AAAAJ
Pei-Yuan Qian,Hong Kong University of Science and Technology,ust.hk,28219,Marine biology,https://scholar.google.com/citations?hl=en&user=0Rxk-AcAAAAJ
Pei Jian,"College of Chemistry and Molecular Engineering, Peking University",pku.edu.cn,21530,Organic Electronics,https://scholar.google.com/citations?hl=en&user=D9oKbkAAAAAJ
Travis Saunders,"Assistant Professor, University of Prince Edward Island",upei.ca,17860,Exercise Physiology | Sedentary Behaviour | Physical Activity | Cardiometabolic Risk,https://scholar.google.com/citations?hl=en&user=ZBeZ5MUAAAAJ
Ian Gardner,University of Prince Edward Island,upei.ca,17411,Epidemiology | animal diseases,https://scholar.google.com/citations?hl=en&user=8cFC2QIAAAAJ
York Pei,University of Toronto,uhn.ca,15660,Hereditary kidney disease,https://scholar.google.com/citations?hl=en&user=CMQ3l4cAAAAJ
Chung-Pei Ma,University of California at Berkeley,berkeley.edu,15288,Not Mentioned,https://scholar.google.com/citations?hl=en&user=uHzTjcAAAAAJ
Tzung-Pei Hong,National University of Kaohsiung,nuk.edu.tw,15221,Machine Learning | Data Mining | Soft Computing | Parallel Processing,https://scholar.google.com/citations?hl=en&user=lOE-fU8AAAAJ
貝蘇章 (Soo-Chang Pei),"Deptartment of Electrical Engineering, National Taiwan University",cc.ee.ntu.edu.tw,14546,Signal Processing | Image Processing | Computer Vision | Pattern Recognition,https://scholar.google.com/citations?hl=en&user=-JiGrnAAAAAJ
Zhi-Pei Liang,"Franklin W. Woeltge Professor, University of Illinois",illinois.edu,14158,Magnetic Resonance Imaging and … | Signal processing | Machine Learning,https://scholar.google.com/citations?hl=en&user=1jE96CYAAAAJ
Pei Wang,"Lecture of Henan University, Graduated Ph.D of Wuhan University",Not Mentioned,12682,Systems Biology | Complex systems & networks | Chaotic dynamics,https://scholar.google.com/citations?hl=en&user=Hgzq328AAAAJ
Chung-Pei Lee,"School of Nursing, National Taipei University of Nursing and Health Sciences, Taipei",ntunhs.edu.tw,12582,Molecular Virology | Cell Biology,https://scholar.google.com/citations?hl=en&user=8Itp3bAAAAAJ
Greg F. Naterer,"Vice-President, Academic and Research, University of Prince Edward Island, Canada",upei.ca,12402,Energy | Heat Transfer | Multiphase Flow | Thermodynamics,https://scholar.google.com/citations?hl=en&user=7lFJQgUAAAAJ
Zengxia Pei,University of Sydney,sydney.edu.au,11440,nanomaterials | electrocatalysis | batteries,https://scholar.google.com/citations?hl=en&user=nFKjP9oAAAAJ
Zhen-Ming Pei,"Department of Biology, Duke University",duke.edu,10366,Plant biology | Ca2+ signaling | sensory Ca2+ channels | nitric oxide,https://scholar.google.com/citations?hl=en&user=XZmuRBAAAAAJ
Dehua Pei,"Professor of Chemistry and Biochemistry, The Ohio State University",osu.edu,10302,Chemical Biology | Cell-Penetrating Peptides | Cyclic Peptides | Cell-Permeable Proteins,https://scholar.google.com/citations?hl=en&user=JC4DT_cAAAAJ
Gang Pei,University of science and technology of china,ustc.edu.cn,10246,Energy、Heat,https://scholar.google.com/citations?hl=en&user=Lh5N-wkAAAAJ
Elizabeth Townsend,"Dalhousie University, University of Prince Edward Island",upei.ca,10237,occupational science | older adult education | occupational therapy,https://scholar.google.com/citations?hl=en&user=MLEtZ_YAAAAJ
Zhiheng Pei,New York University School of Medicine,nyumc.org,10014,Microbiology | cancer | pathology,https://scholar.google.com/citations?hl=en&user=R0P_ArUAAAAJ
Pei Xu,"New Mexico State University, Colorado School of Mines",nmsu.edu,9977,Membrane | Desalination | Produced water treatment | Water reuse | Photocatalysis,https://scholar.google.com/citations?hl=en&user=bAJmdXMAAAAJ
Ta-Pei Cheng,Physics & Astronomy University of Missouri - St Louis,umsl.edu,9003,theoretical physics | particle physics,https://scholar.google.com/citations?hl=en&user=ow_m0PYAAAAJ
Hao Pei,"Professor of Chemistry, East China Normal University",chem.ecnu.edu.cn,8857,biosensor | DNA nanotechnology | DNA computing,https://scholar.google.com/citations?hl=en&user=0gFIMpUAAAAJ
Rau Pei-Luen Patrick,"Dept of Industrial Engineering, Tsinghua Univ",mail.tsinghua.edu.cn,8098,Human Factors | Human-Computer Interaction | Cross-Cultural Design,https://scholar.google.com/citations?hl=en&user=hDHnDLgAAAAJ
Pei Wang,The University of Texas Health San Antonio,uthscsa.edu,7987,inflammation | pancreatitis | pancreatic cancer | hippo pathway,https://scholar.google.com/citations?hl=en&user=i_OxoBgAAAAJ
Don Stevens,University of Prince Edward Island,upei.ca,7897,comparative physiology | analgesia | toxicology,https://scholar.google.com/citations?hl=en&user=LcWWWuIAAAAJ
Pei Yu,"Professor of Applied Mathematics, Western University",uwo.ca,7536,Differential equations | dynamical systems | bifurcation and chaos,https://scholar.google.com/citations?hl=en&user=OC3J4WgAAAAJ
Dan Pei,"Associate Professor of Computer Science,  Tsinghua University",tsinghua.edu.cn,7530,AIOps | AI for IT Operations | Autonomous IT Operations,https://scholar.google.com/citations?hl=en&user=i_zA1VsAAAAJ
Pei-Yu Chiou,University of California at Los Angeles,seas.ucla.edu,6958,BioMEMS | Optical MEMS | Microfluidics | Optofluidics | Optical Manipulation,https://scholar.google.com/citations?hl=en&user=_JGskXUAAAAJ
Pei Zhong,"… -Rupp Professor of Mechanical Engineering and Materials Science, Duke University",duke.edu,6565,shock wave lithotripsy | therapeutic ultrasound | cavitation | bioeffects of ultrasound and bubbles,https://scholar.google.com/citations?hl=en&user=mUxewbYAAAAJ
Liming Pei,"Children's Hospital of Philadelphia, University of Pennsylvania",mail.med.upenn.edu,6512,Not Mentioned,https://scholar.google.com/citations?hl=en&user=JmqCT2EAAAAJ
Pei Xiao,University of Surrey,surrey.ac.uk,6050,wireless communications,https://scholar.google.com/citations?hl=en&user=1xI_0DoAAAAJ
Jen-Pei Liu,"Professor of Statistics, National Taiwan University",ntu.edu.tw,5914,Statistics or Biostatistics,https://scholar.google.com/citations?hl=en&user=f3qoSPgAAAAJ
Hsiao-Pei Yang,"Institute of Biotechnology, Cornell University",Not Mentioned,5772,Evolutionary Biology | Genetics | Population Genetics | Bioinformatics,https://scholar.google.com/citations?hl=en&user=4jLfUwgAAAAJ
Pei Zhang,"University of Michigan, Ann Arbor",umich.edu,5601,Cyber Physical Systems | Internet of Things | Physics-Aided Learning | Structures as Sensors | Sensor Networks,https://scholar.google.com/citations?hl=en&user=XElK2e0AAAAJ
Ming Pei,"Professor of Orthopaedics, West Virginia University",hsc.wvu.edu,5497,stem cell | in vitro microenvironment | chondrogenic differentiation | cartilage repair,https://scholar.google.com/citations?hl=en&user=CEz75oQAAAAJ
Jerome Baudry,Ms. Pei-Ling Chan Endowed Chair and Professor. University of Alabama in Huntsville,uah.edu,5130,molecular modeling | drug discovery | molecular biophysics,https://scholar.google.com/citations?hl=en&user=zwS0xkIAAAAJ
Pei-Ling Liu,"Institute of applied mechanics, national taiwan university",ntu.edu.tw,4891,nondestructive testing,https://scholar.google.com/citations?hl=en&user=9NDAQfYAAAAJ
Pei C. Chiu,"Department of Civil + Environmental Engineering, University of Delaware",udel.edu,4859,environmental chemistry | contaminant fate | iron and black carbon (biochar) redox …,https://scholar.google.com/citations?hl=en&user=GP6lmogAAAAJ
Pei Fen Kuan,"Associate Professor of Applied Mathematics and Statistics, Stony Brook University",stonybrook.edu,4830,Statistical genetics | cancer genomics | PTSD | Alzheimer's disease,https://scholar.google.com/citations?hl=en&user=rxRcwt8AAAAJ
Pei-Hao Su,"PolyAI, University of Cambridge",cam.ac.uk,4737,Conversatinoal AI | Spoken Dialogue System | Machine Learning,https://scholar.google.com/citations?hl=en&user=5La6VV4AAAAJ
Chuan-Pei Lee,"Department of Applied Physics and Chemistry, University of Taipei",utaipei.edu.tw,4665,Nanomaterials | Solar energy | Electrochemical technology | Flexible electronics | Harsh environmental applications,https://scholar.google.com/citations?hl=en&user=EV4NA5cAAAAJ
Russell Kerr,University of Prince Edward Island,upei.ca,4651,natural products chemistry,https://scholar.google.com/citations?hl=en&user=VMBz3_8AAAAJ
Javier Sanchez,University of Prince Edward Island,upei.ca,4576,Not Mentioned,https://scholar.google.com/citations?hl=en&user=1EfQfkMAAAAJ
Annabel Cohen,University of Prince Edward Island,upei.ca,4363,music psychology singing film music,https://scholar.google.com/citations?hl=en&user=3WpXDiQAAAAJ
Michael R. van den Heuvel,"Canadian Rivers Institute, University of Prince Edward Island",upei.ca,4191,Aquatic toxicology | environmental chemistry,https://scholar.google.com/citations?hl=en&user=2u1kR4wAAAAJ
Pei Pei Chong,"Professor of Molecular Biology, Taylor's University",taylors.edu.my,4147,infectious diseases | cancer genetics,https://scholar.google.com/citations?hl=en&user=WuqL004AAAAJ
Pei Li,北京化工大学 Beijing University of Chemical Technology,mail.buct.edu.cn,4104,membrane separation,https://scholar.google.com/citations?hl=en&user=qB0bE-cAAAAJ
Dany MacDonald,"Assistant Professor of Kinesiology, University of Prince Edward Island",upei.ca,3895,youth sport | positive youth development,https://scholar.google.com/citations?hl=en&user=BkkQheQAAAAJ
Pei-Wei Tsai,Swinburne University of Technology,swin.edu.au,3798,Swarm Intelligence | Data Analysis | Machine Learning | Optimisation,https://scholar.google.com/citations?hl=en&user=27es2J0AAAAJ
Pei-Hsuan Wu,University of Geneva,unige.ch,3755,Gene regulation | non-coding RNA | male reproduction,https://scholar.google.com/citations?hl=en&user=JOqwP1IAAAAJ
Pei-Cheng Ku,"Professor of electrical engineering and computer science, University of Michigan",umich.edu,3649,optoelectronics,https://scholar.google.com/citations?hl=en&user=vQKn5gIAAAAJ
Yen-Pei Fu,"Department of Materials Science and Engineering, National Dong Hwa University",gms.ndhu.edu.tw,3629,SOFCs | Photocatalysts,https://scholar.google.com/citations?hl=en&user=_JOx-7cAAAAJ
Mark Fast,University of Prince Edward Island,upei.ca,3602,fish immunology and disease,https://scholar.google.com/citations?hl=en&user=gGjGzRsAAAAJ
"Shanshan Pei, PhD",Research Assistant Professor at University of Colorado,ucdenver.edu,3557,Leukemia | Stem Cell | Drug Discovery,https://scholar.google.com/citations?hl=en&user=mht10DbT-WkC
Pei-Chun Lin,"Professor of Mechanical Engineering, National Taiwan University",ntu.edu.tw,3482,Robotics | Mechatronics | Mechanical Design | Control,https://scholar.google.com/citations?hl=en&user=KdWMoM4AAAAJ
Xin-Hai Pei,University of Miami,Not Mentioned,3424,Cel cycle | stem cells | tumor suppressor,https://scholar.google.com/citations?hl=en&user=tVoUbnIAAAAJ
Pei-Chen Su,"Associate Professor of Nanyang Technological University, Singapore",ntu.edu.sg,3383,4D Printing | Solid oxide fuel cell | powerMEMS devices | thin films | 3D printing,https://scholar.google.com/citations?hl=en&user=u2LDHTEAAAAJ
PEI SUN,"Alliance Manchester Business School, University of Manchester",manchester.ac.uk,3297,Strategy and International Business | Corporate Governance,https://scholar.google.com/citations?hl=en&user=FzgbrwwAAAAJ
Pei-Yuan Qin,"University of Technology, Sydney",uts.edu.au,3233,Antennas | Applied electromagnetics | Microwave technologies | MIMO communications,https://scholar.google.com/citations?hl=en&user=ZPBKJycAAAAJ
Pei LIN,Zhengzhou University  School of Physics and Microelectronics,zzu.edu.cn,3188,2D materials  nanoelectronics/photonics  self …,https://scholar.google.com/citations?hl=en&user=qZp2bHcAAAAJ
J Trenton McClure,"Professor, University of Prince Edward Island",upei.ca,2991,Zoonosis | Antimicrobials | veterinary medicine | infection control | infectious disease,https://scholar.google.com/citations?hl=en&user=EEs7jpYAAAAJ
Jacqueline Pei,University of Miami Miller School of Medicine,med.miami.edu,2964,Not Mentioned,https://scholar.google.com/citations?hl=en&user=VyCGFgwAAAAJ
Pei-San Tsai,University of Colorado Boulder,colorado.edu,2929,Endocrinology,https://scholar.google.com/citations?hl=en&user=42_Yay4AAAAJ
Teh Pei Lee,"Professor, School of Business, Monash University Malaysia",monash.edu,2904,Total Quality Management | Technology Management | Management Information Systems | Gerontechnology | Innovation and Learning,https://scholar.google.com/citations?hl=en&user=01Xxn78AAAAJ
