Louisa Degenhardt,University of New South Wales,unsw.edu.au,205821,Not Mentioned,https://scholar.google.com/citations?hl=en&user=ObRz9F0AAAAJ
Konrad Pesudovs,University of New South Wales,unsw.edu.au,134419,Ophthalmology Outcomes Research,https://scholar.google.com/citations?hl=en&user=ldst3VwAAAAJ
Liming Dai,University of New South Wales,unsw.edu.au,113421,Advanced Carbon Materials | Polymers | Electrochemistry | Catalysis,https://scholar.google.com/citations?hl=en&user=Qsz_ZXwAAAAJ
Martin A Green,University of New South Wales,unsw.edu.au,111163,Photovoltaics | Semiconductors,https://scholar.google.com/citations?hl=en&user=roS0_Z0AAAAJ
Philip B. Mitchell,"Scientia Professor, School of Psychiatry, University of New South Wales, Sydney, Australia",unsw.edu.au,102771,Bipolar disorder | Depression | Genetics | Mental health | Psychiatry,https://scholar.google.com/citations?hl=en&user=RO7OANoAAAAJ
Perminder Sachdev,University of New South Wales,unsw.edu.au,98199,Psychiatry | Dementia | Brain Ageing | Neuroscience | Movement Disorders,https://scholar.google.com/citations?hl=en&user=joXgLDoAAAAJ
Guy B. Marks,"University of New South Wales, Woolcock Institute of Medical Research",unsw.edu.au,93049,tuberculosis | asthma | COPD | air pollution,https://scholar.google.com/citations?hl=en&user=_i2ns7QAAAAJ
Aletta E Schutte,University of New South Wales/George Institute for Global Health,unsw.edu.au,92399,cardiovascular | blood pressure | hypertension,https://scholar.google.com/citations?hl=en&user=f1oels0AAAAJ
Dr Soufiane Boufous,… and Road Safety (TARS) Research; School of Aviation; University of New South Wales,unsw.edu.au,89160,Injury prevention | Road safety | Epidemiology | Data linkage.,https://scholar.google.com/citations?hl=en&user=orQcSTYAAAAJ
Henri Prade,"CNRS, France and University of New South Wales",TheMagicLab.org,88442,Artificial Intelligence | Decision Making,https://scholar.google.com/citations?hl=en&user=Hw_xpykAAAAJ
Richard Bryant,University of New South Wales,unsw.edu.au,71933,PTSD,https://scholar.google.com/citations?hl=en&user=XPDSrSsAAAAJ
John Church,University of New South Wales,unsw.edu.au,71082,climate change | sea level,https://scholar.google.com/citations?hl=en&user=evfDt4wAAAAJ
Gordon Parker,"University of New South Wales, Black Dog Institute",unsw.edu.au,69925,Not Mentioned,https://scholar.google.com/citations?hl=en&user=JNgMf0oAAAAJ
Stephen Lord,NeuRA University of New South Wales,neura.edu.au,69105,Medicine,https://scholar.google.com/citations?hl=en&user=hOfRcwsAAAAJ
Gavin Andrews,"Professor of Psychiatry, University of New South Wales",unsw.edu.au,68767,Mental Health | iCBT for anxiety and depression,https://scholar.google.com/citations?hl=en&user=7HEmhdsAAAAJ
H Brodaty,"… Collaborative Research Centre, School of Psychiatry, University of New South Wales",unsw.edu.au,68659,Dementia. cognitive ageing | nursing home care | behavioral and psychological symptoms of …,https://scholar.google.com/citations?hl=en&user=3d6NbUoAAAAJ
Runcang Sun,Dalian Polytechnic Univ;Beijing Forestry Univ.;South China Univ. of Technol.;Univ. of Wales …,Not Mentioned,55911,Pulp and paper industry | Agriculture | Materials | Energy | Wood Chemistry,https://scholar.google.com/citations?hl=en&user=8iIQg20AAAAJ
Vlado Perkovic,"Dean of Medicine, University of New South Wales; Professorial Fellow, The George Institute",george.org.au,52569,kidney disease | ckd | chronic kidney disease | dialysis | blood pressure,https://scholar.google.com/citations?hl=en&user=c9fx93YAAAAJ
Jan Hamann,"Senior Lecturer, The University of New South Wales",unsw.edu.au,52044,Not Mentioned,https://scholar.google.com/citations?hl=en&user=giEbG10AAAAJ
Deborah Lupton,"SHARP Professor, Vitalities Lab, University of New South Wales Sydney",unsw.edu.au,48627,sociology | sociology of health and illness | digital media | internet studies | risk,https://scholar.google.com/citations?hl=en&user=eUTSClMAAAAJ
Chris Goodnow,"Garvan Institute of Medical Research, University of New South Wales Sydney",garvan.org.au,43920,genomics | immunology | autoimmunity | cancer,https://scholar.google.com/citations?hl=en&user=LVSqFL0AAAAJ
Shinichi Nakagawa,University of New South Wales,unsw.edu.au,40730,Evolutionary Ecology | Behavioural Ecology | Animal Behaviour | Meta-analysis | Research Synthesis,https://scholar.google.com/citations?hl=en&user=9-pCZzcAAAAJ
Andrew Carr,"St Vincent's Hospital and University of New South Wales, Sydney",stvincents.com.au,39791,HIV | antiretroviral therapy,https://scholar.google.com/citations?hl=en&user=P9jsIHkAAAAJ
W. Erwin Diewert,"Professor of Economics, University of British Columbia & University of New South Wales",ubc.ca,39175,Productivity measurement | duality theory | flexible functional forms | index number theory | hedonic regressions,https://scholar.google.com/citations?hl=en&user=zfxMofIAAAAJ
Emad El-Omar,"Professor of Medicine, University of New South Wales",unsw.edu.au,38514,Gastroenterology | medicine,https://scholar.google.com/citations?hl=en&user=PRm8VmMAAAAJ
Chris Turney,University of New South Wales,unsw.edu.au,37815,Sustainable Development Goals | Negative Emission Technologies | Carbon Cycle | Earth System Science | Human-Environment Interaction,https://scholar.google.com/citations?hl=en&user=BcKoMuoAAAAJ
Eddie Harmon-Jones,The University of New South Wales,unsw.edu.au,37769,psychology | social neuroscience | emotions | anger | social psychology,https://scholar.google.com/citations?hl=en&user=YTKUOIEAAAAJ
Justin Gooding,The University of New South Wales,unsw.edu.au,36855,surface chemistry | electrochemistry | biosensors | nanomedicine | nanotechnology,https://scholar.google.com/citations?hl=en&user=M232_OcAAAAJ
Michael Farrell,"… , Director, National Drug and Alcohol Research Centre, University of New South Wales",unsw.edu.au,36222,Addiction | Harm Reduction | Drug Policy | alcohol | opioids,https://scholar.google.com/citations?hl=en&user=v1nErmcAAAAJ
Joseph P Forgas,University of New South Wales,unsw.edu.au,35235,Not Mentioned,https://scholar.google.com/citations?hl=en&user=ZJuQWBQAAAAJ
Ian Jacobs,"President & Vice Chancellor, University of New South Wales, Sydney, Australia",unsw.edu.au,34902,Cancer | Women's Health | Screening | Prevention | Biomarkers,https://scholar.google.com/citations?hl=en&user=INZvL8oAAAAJ
Kaarin Anstey,University of New South Wales,unsw.edu.au,34759,cognitive health | cognitive decline | dementia risk factors | epidemiology | healthy ageing interventions,https://scholar.google.com/citations?hl=en&user=1D8TvAwAAAAJ
T. David Waite,"Professor of Environmental Engineering, The University of New South Wales",unsw.edu.au,34464,Environmental Engineering | Biogeochemistry | Advanced Oxidation Processes | Membrane Technologies | Capacitive Deionization,https://scholar.google.com/citations?hl=en&user=2BxpWogAAAAJ
Richard Mattick,"National Drug and Alcohol Research Centre, University of New South Wales",unsw.edu.au,32499,Not Mentioned,https://scholar.google.com/citations?hl=en&user=EjCMTLUAAAAJ
Jason HY Wu,"The George Institute for Global Health, Faculty of Medicine, University of New South Wales",georgeinstitute.org.au,31853,nutrition epidemiology | food policy | public health | cardiometabolic disease,https://scholar.google.com/citations?hl=en&user=hOripXsAAAAJ
Andrew Edwin Grulich,"Professor, Kirby Institute, University of New South Wales, Sydney",kirby.unsw.edu.au,31835,HIV | cancer,https://scholar.google.com/citations?hl=en&user=dsdWu9MAAAAJ
Richard O. Day,"Professor of Clinical Pharmacology, University of New South Wales and St Vincent's …",unsw.edu.au,31387,clinical pharmacology | rheumatology | pain | inflammation | gout,https://scholar.google.com/citations?hl=en&user=n87lOUQAAAAJ
Vaughan Carr,"Professor of Psychiatry, University of New South Wales",unsw.edu.au,31202,Schizophrenia | Psychosis,https://scholar.google.com/citations?hl=en&user=YNLehcgAAAAJ
Andrew J Martin,University of New South Wales (UNSW),unsw.edu.au,30435,Educational Psychology | Education | Psychology | Motivation | Engagement,https://scholar.google.com/citations?hl=en&user=b--ROKUAAAAJ
Nicholas M Fisk,"Deputy Vice Chancellor (Research & Enterprise), University of New South Wales",unsw.edu.au,30255,Fetal medicine | Fetoplacental stem cells | Monochorionic twins | Fetal nociception | Obstetrics,https://scholar.google.com/citations?hl=en&user=BM-_EsoAAAAJ
Marc Wilkins,"University of New South Wales, Sydney, Australia",unsw.edu.au,30023,proteomics methylation PTMs genomics next …,https://scholar.google.com/citations?hl=en&user=K-lozBIAAAAJ
Anthony Barry Zwi,"School of Social Sciences, The University of New South Wales",unsw.edu.au,29954,global health | development policy | human rights | forced migration | humanitarian response,https://scholar.google.com/citations?hl=en&user=QKce4ZwAAAAJ
Pitman AJ,The University of New South Wales,unsw.edu.au,29452,Not Mentioned,https://scholar.google.com/citations?hl=en&user=xZROC_oAAAAJ
Paul Patterson,"School of Marketing, University of New South Wales",unsw.edu.au,28344,Customer-employee service encounters | service productivity | consumer complaining behavior & service …,https://scholar.google.com/citations?hl=en&user=Ljp_TNoAAAAJ
Da-Wei Wang,"School of Chemical Engineering, University of New South Wales",unsw.edu.au,28004,Electrochemical Energy Technologies …,https://scholar.google.com/citations?hl=en&user=z2P5-I0AAAAJ
Joseph E Powell,Garvan Institute of Medical Research and University of New South Wales,garvan.org.au,27216,Not Mentioned,https://scholar.google.com/citations?hl=en&user=to87CoEAAAAJ
mark willcox,University of New South Wales,unsw.edu.au,26815,Not Mentioned,https://scholar.google.com/citations?hl=en&user=_Q7nv6oAAAAJ
Paul Munroe,University of New South Wales,unsw.edu.au,26230,metallurgy | materials science and engineering | surface coatings | biochars,https://scholar.google.com/citations?hl=en&user=7In1U-sAAAAJ
"Stenzel, Martina",University of New South Wales,unsw.edu.au,26022,RAFT polymerization | drug delivery | glycopolymers | Nanoparticles,https://scholar.google.com/citations?hl=en&user=xuMJETcAAAAJ
Beng H Chong,"professor of medicine, university of new south wales",unsw.edu.au,25985,immune thrombocytopenia | venous thromboembolism | heparin-induced thrombocytopenia,https://scholar.google.com/citations?hl=en&user=0ERn9KQAAAAJ
Andrey E Miroshnichenko,University of New South Wales Canberra,unsw.edu.au,25497,Physics | Fano resonance | Nanophotonics | Optical nanoantennas,https://scholar.google.com/citations?hl=en&user=t_7ucqoAAAAJ
Cyndi Shannon Weickert,University of New South Wales,neura.edu.au,25428,Schizophrenia | Neurodevelopment | Neuropathology | Molecular Genetics | Neuroscience,https://scholar.google.com/citations?hl=en&user=E__gHO8AAAAJ
Michael Keane,"Professor of Economics, University of New South Wales",unsw.edu.au,24405,Labor Economics | Econometrics | Consumer Demand,https://scholar.google.com/citations?hl=en&user=lIV7LhIAAAAJ
Kerry-Anne Rye,University of New South Wales,unsw.edu.au,24209,HDL function | cholesterol transporters | diabetes,https://scholar.google.com/citations?hl=en&user=g2ohq6gAAAAJ
Guo-Ping Liu (or Guoping Liu),University of South Wales,southwales.ac.uk,23359,Control systems | Networked control | Predictive control | Multi-agent systems,https://scholar.google.com/citations?hl=en&user=jWmF7IQAAAAJ
Xiaojing Hao,University of New South Wales,unsw.edu.au,22852,Solar cells | thin film,https://scholar.google.com/citations?hl=en&user=uPepG6AAAAAJ
Derrick Wing Kwan Ng,"Scientia  Associate Professor,  University of New South Wales",unsw.edu.au,22653,Wireless Communications,https://scholar.google.com/citations?hl=en&user=NUJSHxoAAAAJ
Xiuping Jia,University of New South Wales,adfa.edu.au,22433,remote sensing | hyperspectral,https://scholar.google.com/citations?hl=en&user=-vl0ZSEAAAAJ
Sarah Brough,University of New South Wales,unsw.edu.au,21958,Astronomy | Galaxy Evolution | Brightest Cluster Galaxies | Galaxy Groups,https://scholar.google.com/citations?hl=en&user=LGPe8EIAAAAJ
Susan Ramus,University of New South Wales,unsw.edu.au,21721,Ovarian Cancer | Genetic Susceptibility,https://scholar.google.com/citations?hl=en&user=2stUV1UAAAAJ
George Murrell,"Professor, University of New South Wales",ori.org.au,21598,Shoulder surgeon | tendon,https://scholar.google.com/citations?hl=en&user=SngDE38AAAAJ
Angela Moles,University of New South Wales,unsw.edu.au,21493,Ecology | evolution | biogeography | plants,https://scholar.google.com/citations?hl=en&user=NbIoSJAAAAAJ
Tim Rhodes,London School of Hygiene and Tropical Medicine / University of New South Wales,lshtm.ac.uk,21411,sociology | HIV | hepatitis | drugs | addiction,https://scholar.google.com/citations?hl=en&user=TnAtWHAAAAAJ
Richard J Harvey,"… and Skull Base Surgery, University of New South Wales and Macquarie University",mq.edu.au,20502,Sinonasal and Skull Base Disorders,https://scholar.google.com/citations?hl=en&user=3BES0DsAAAAJ
Peng Wang,The University of New South Wales,unsw.edu.au,20181,Solar water splitting | Photoelectrochemistry | Semiconductor thin film,https://scholar.google.com/citations?hl=en&user=QhQ3CLgAAAAJ
James Colebatch,"Professor (Conjoint), University of New South Wales",unsw.edu.au,20015,neurophysiology | vestibular function,https://scholar.google.com/citations?hl=en&user=DiWWY1cAAAAJ
Nadeem Kaakoush,"Research Fellow, University of New South Wales",unsw.edu.au,19981,Medical microbiology and immunology | microbiome,https://scholar.google.com/citations?hl=en&user=qfz81WwAAAAJ
David Warton,"Professor of Ecological Statistics, The University of New South Wales",maths.unsw.edu.au,19733,Ecological statistics | statistical ecology | multivariate analysis | species distribution modelling,https://scholar.google.com/citations?hl=en&user=RZXBRjgAAAAJ
Slava Kalyuga,"Professor of Educational Psychology, University of New South Wales, Sydney, Australia",unsw.edu.au,19642,Educational Psychology | Cognitive Load | Instructional  Design,https://scholar.google.com/citations?hl=en&user=v3OpQcYAAAAJ
Robyn Norton,University of New South Wales,georgeinstitute.org,19604,global health | women's health | injury,https://scholar.google.com/citations?hl=en&user=GeSQiXcAAAAJ
Jinhong Yuan,"… of Electrical Engineering and Telecommunications, University of New South Wales",unsw.edu.au,19389,Wireless Communications | Channel coding | Information Theory | Signal Processings | Internet of Things (IoT),https://scholar.google.com/citations?hl=en&user=DqQDd1UAAAAJ
Anne Burns,"Honorary Professor of TESOL,  University of New South Wales",unsw.edu.au,19116,Applied linguistics,https://scholar.google.com/citations?hl=en&user=smDaGuAAAAAJ
Sean Li,The University of New South Wales,unsw.edu.au,18861,Electronic ceramics,https://scholar.google.com/citations?hl=en&user=kRN-_mUAAAAJ
Colleen Loo,"Professor of Psychiatry, University of New South Wales",unsw.edu.au,18771,Depression | mood disorders | novel treatments | brain stimulation | neuromodulation,https://scholar.google.com/citations?hl=en&user=arAIC_8AAAAJ
Nagarajan Valanoor,university of new south wales,unsw.edu.au,18726,ferroelectrics | oxide interfaces | scanning probe microscopy | functional nanomaterials,https://scholar.google.com/citations?hl=en&user=2nf24rYAAAAJ
Ken Ho,"Professor of Medicine, University of New South Wales",garvan.org.au,18616,Metabolic medicine,https://scholar.google.com/citations?hl=en&user=nGJ6iPMAAAAJ
Mark F Harris,University of New South Wales,unsw.edu.au,18591,primary health care,https://scholar.google.com/citations?hl=en&user=V0zsjkcAAAAJ
Andrey V. Savkin,"Professor of Electrical Engineering, University of New South Wales, Sydney, Australia",unsw.edu.au,18286,Control Engineering | Robot Navigation | Biomedical Engineering | Power Systems,https://scholar.google.com/citations?hl=en&user=cj-GEEQAAAAJ
Peter Gunning,University of New South Wales,unsw.edu.au,18228,Cell Architecture | Cytoskeleton | Actin | Tropomyosin | Childhood Cancer,https://scholar.google.com/citations?hl=en&user=IerinGgAAAAJ
Malcolm Walter,"Professor of Astrobiology, University of New South Wales",unsw.edu.au,17824,geology | biology | space science,https://scholar.google.com/citations?hl=en&user=El9Y9pEAAAAJ
WR Walsh,"Professor, University of  New South Wales",unsw.edu.au,17134,Orthopaedics | Spine | Animal Models | Biomechanics | Biomaterials,https://scholar.google.com/citations?hl=en&user=PoK4UocAAAAJ
