Xavier Mariette,"Université Paris-Saclay, Assistance Publique Hôpitaux de Paris, INSERM",aphp.fr,80989,Maladies auto-immunes,https://scholar.google.com/citations?hl=en&user=Es_53DsAAAAJ
Xavier Paoletti,"Professor of Biostatistics, University Paris Saclay & Institut Curie",curie.fr,7998,Not Mentioned,https://scholar.google.com/citations?hl=en&user=Otv1JcoAAAAJ
Xavier Collilieux,"Université de Paris, IPGP, CNRS,  IGN, ENSG-Géomatique, F-75005 Paris, France",ign.fr,7687,Not Mentioned,https://scholar.google.com/citations?hl=en&user=Frqma7EAAAAJ
Xavier Coumoul,"Professeur de Toxicologie et Biochimie, Université de Paris",parisdescartes.fr,4654,Toxicologie | Biochimie | Signalisation cellulaire,https://scholar.google.com/citations?hl=en&user=TsLJEU4AAAAJ
Xiaonan Ma,"Professeur mathématiques, Université de Paris",imj-prg.fr,2323,mathématiques,https://scholar.google.com/citations?hl=en&user=MkjGH9IAAAAJ
Xavier Morelle,"INSA de Lyon, ESPCI Paris, Harvard University, UCLouvain",insa-lyon.fr,1067,Mechanics and fracture | Polymer networks | Multi-scale characterization | Micro-mechanical modeling | Smart active materials,https://scholar.google.com/citations?hl=en&user=ShCxF94AAAAJ
Xavier Mininger,"Professeur des Universités, Université Paris Saclay",centralesupelec.fr,970,électromagnétisme | modélisation numériques | problèmes multiphysiques,https://scholar.google.com/citations?hl=en&user=4tvfPdUAAAAJ
Xiaofeng Guo,Université de Paris,u-paris.fr,964,Thermal engineering | Renewable Energy | Heat pump | Process Intensification,https://scholar.google.com/citations?hl=en&user=_5niNDcAAAAJ
Xiaopeng XIE,"Peking University,  SYRTE, Observatoire de Paris",pku.edu.cn,756,optical frequency combs | microwave photonics | optical clocks | optoelectronics,https://scholar.google.com/citations?hl=en&user=6GBDDDMAAAAJ
François-Xavier LEGRAND,"Maitre de Conférences, Université Paris-Saclay",universite-paris-saclay.fr,698,Not Mentioned,https://scholar.google.com/citations?hl=en&user=MoCwRlIAAAAJ
Xiaonan Sun,"CNRS, University of Paris Diderot, France",univ-paris-diderot.fr,609,on surface reaction | Molecular self-assembly | Single molecular junction | charge transport | conductive AFM,https://scholar.google.com/citations?hl=en&user=6jPNxsEAAAAJ
Xenia Fuster-Farfán,"Centre de Recherche sur l'Habitat, LAVUE, Université de Paris 8,",uc.cl,251,vivienda social | politicas urbanas | sociologia urbana | neoliberalismo,https://scholar.google.com/citations?hl=en&user=sHSl11wAAAAJ
François Delbot,"Maitre de conférences, Université de Nanterre (Paris 10)",parisnanterre.fr,243,algorthmique d'approximation | évaluation en pire cas et en moyenne | théorie des graphes,https://scholar.google.com/citations?hl=en&user=u9tjZr0AAAAJ
Francois-Xavier Jollois,"Maître de Conférences, Université de Paris",parisdescartes.fr,238,Machine Learning | Data Mining | Clustering | Data Visualization | Big Data,https://scholar.google.com/citations?hl=en&user=aW4afqQAAAAJ
Xanthie Vlachopoulou,"… de Conférences en psychologie clinique, Laboratoire PCPP, EA 4056, Université Paris …",parisdescartes.fr,183,… et psychopathologie psychanalytique des …,https://scholar.google.com/citations?hl=en&user=3xfMOQ8AAAAJ
Marc Crapez,"Chercheur en Science politique, Sophiapol de l'Université Paris-X",marccrapez.net,173,philosophie politique | sociologie de la connaissance,https://scholar.google.com/citations?hl=en&user=BVo04MIAAAAJ
Xavier DRIANCOURT,"PhD in AI, Orsay Faculty, Paris XI University",Not Mentioned,97,Vision | AI | Forecasting | Speech Recognition,https://scholar.google.com/citations?hl=en&user=h7nx4ZUAAAAJ
Xinlei Yao,"ITODYS, UMR CNRS 7086, Université de Paris",etu.u-paris.fr,62,Single molecule junction | transport at nanoscale | on surface reaction | Molecular self-assembly | nanomaterials,https://scholar.google.com/citations?hl=en&user=7KYBgZ0AAAAJ
Xavier Valcarce,"Institut de Physique Théorique, CEA, University Paris-Saclay",ipht.fr,40,quantum information | quantum foundations | quantum optics | machine learning,https://scholar.google.com/citations?hl=en&user=OULhh8IAAAAJ
Xudong WANG,"Ph.D, University of Paris-Saclay",ens.uvsq.fr,35,physics | material science | tribology | nanoscience | computational science,https://scholar.google.com/citations?hl=en&user=vRjUnawAAAAJ
Xavier Lemoine,"Maître de Conférences, Université Paris Est Marne-la-Vallée",u-pem.fr,17,théâtre | performance et études des Etats-Unis,https://scholar.google.com/citations?hl=en&user=-TEE2U4AAAAJ
Raphael Porcherot,"… Paris-Saclay - Université Paris X Nanterre, Institutions et Dynamiques Historiques de l' …",ens-paris-saclay.fr,9,économie politique classique | théorie de la valeur économique | formation des prix | institutionnalisme monétaire | sociologie de l'argent,https://scholar.google.com/citations?hl=en&user=1nlfsD0AAAAJ
