J. Laine Anderson,Utah State University,Not Mentioned,50417,Not Mentioned,https://scholar.google.com/citations?hl=en&user=h9DqbM8AAAAJ
Steven D Aust,"Emeritus Professor, Utah State University",usu.edu,46049,biochemistry,https://scholar.google.com/citations?hl=en&user=DCsp5CAAAAAJ
David Hole,"Professor of Plant Breeding/Genetics, Utah State University",usu.edu,31937,plant breeding,https://scholar.google.com/citations?hl=en&user=sc8ydXoAAAAJ
Leon Anderson,Utah State University,usu.edu,28015,Sociology of Deviance | Qualitative Research Methods | Homelessness,https://scholar.google.com/citations?hl=en&user=tsZh5rgAAAAJ
Steve Scheiner,Utah State Univ,usu.edu,27781,computational chemistry | noncovalent bonds | H-bonds,https://scholar.google.com/citations?hl=en&user=ZnR8ydUAAAAJ
Alexander I. Boldyrev,"Professor of Chemistry, Utah State University",usu.edu,24168,Chemistry | Physics,https://scholar.google.com/citations?hl=en&user=ZB8zKToAAAAJ
M. David Merrill,professor emeritus at Utah State University,thehoffmans.us,20039,Instructional Design,https://scholar.google.com/citations?hl=en&user=Uxn4YZkAAAAJ
Lance C Seefeldt,"Professor of Chemistry and Biochemistry, Utah State University",usu.edu,19995,enzyme mechanism | nitrogen fixation,https://scholar.google.com/citations?hl=en&user=5dvPOOkAAAAJ
Peter B. Adler,"Professor of Ecology, Utah State University",usu.edu,19656,community ecology | population ecology | theory | climate change | global change,https://scholar.google.com/citations?hl=en&user=bJlawwIAAAAJ
Dallin Durfee,"Professor, Utah Valley University",uvu.edu,19009,Optics | Atomic Physics | Lensless Imaging | Laser Cooling | Matterwave Interferometry,https://scholar.google.com/citations?hl=en&user=URhrttUAAAAJ
Joann Tschanz,"Professor of Psychology, Utah State University",usu.edu,18336,neuropsychology | Alzheimer's disease | dementia | caregiving,https://scholar.google.com/citations?hl=en&user=eN04CfQAAAAJ
Bela Fejer,"Professor of Physics, Utah State University",usu.edu,17499,Space Sciences | Upper atmospheric physics,https://scholar.google.com/citations?hl=en&user=EiUaJuIAAAAJ
Zhen Zhang,"Assistant Professor, Utah State University",usu.edu,17454,Formal Verification | Stochastic Model Checking | Model Checking | Cyber-Physical Systems | Synthetic Biology,https://scholar.google.com/citations?hl=en&user=1bpMdpUAAAAJ
