Theodore Singelis,"Professor of Psychology, CSU, Chico",csuchico.edu,15232,Culture and health | culture and social behavior,https://scholar.google.com/citations?hl=en&user=OYBhNakAAAAJ
Robert Madrigal,"California State University, Chico",csuchico.edu,7930,consumer behavior | marketing,https://scholar.google.com/citations?hl=en&user=L8S3eBAAAAAJ
Curt Haselton,Professor @ California State University Chico,hbrisk.com,5265,seismic resilience,https://scholar.google.com/citations?hl=en&user=raTy5s4AAAAJ
David M Harris,"Professor Biology, CSU Chico; Periodontics, Rutgers School of Dental Medicine",Not Mentioned,4322,Auditory research | Medical lasers | Microbiology | Dentistry,https://scholar.google.com/citations?hl=en&user=ImsGie0AAAAJ
"John R Mahoney, Jr","California State University, Chico",csuchico.edu,4076,immunology | infectious diseases,https://scholar.google.com/citations?hl=en&user=cMKiIQgAAAAJ
Kristina Schierenbeck,California State University Chico,csuchico.edu,3984,Botany | population genetics | invasive species | conservation,https://scholar.google.com/citations?hl=en&user=8FNOr80AAAAJ
Paul C. Arpin,"Physics Department, California State University, Chico",csuchico.edu,3741,Not Mentioned,https://scholar.google.com/citations?hl=en&user=7csKwrgAAAAJ
Eric Bartelink,California State University-Chico,csuchico.edu,3063,Not Mentioned,https://scholar.google.com/citations?hl=en&user=dTufijIAAAAJ
Michael Rehg,"California State University, Chico",mail.csuchico.edu,2438,Whistle blowing | system dynamics,https://scholar.google.com/citations?hl=en&user=ruKhEYgAAAAJ
Shane D. Mayor,California State University Chico,csuchico.edu,2430,lidar | meteorology | turbulence | aerosol | gravity waves,https://scholar.google.com/citations?hl=en&user=maBTYOUAAAAJ
Graham Thurgood,"Professor of Linguistics, California State University, Chico",csuchico.edu,2326,Southeast Asian Languages,https://scholar.google.com/citations?hl=en&user=smXX3jQAAAAJ
Emily J Fleming,"Associate Professor at California State University, Chico",csuchico.edu,2242,Microbial physiology | microbial ecology | geomicrobiology,https://scholar.google.com/citations?hl=en&user=MncGDCwAAAAJ
Kevin Patton,California State University Chico,csuchico.edu,2167,Physical education | teacher education | professional learning | professional development,https://scholar.google.com/citations?hl=en&user=87SlXs0AAAAJ
"Monica C. So, Ph.D.","… Associate Professor, Dept. Chemistry & Biochemistry, California State University Chico",csuchico.edu,2162,energy/charge transfer | surface-mounted metal-organic frameworks | organic photovoltaics | agrivoltaics | water decontamination,https://scholar.google.com/citations?hl=en&user=m4weCz0AAAAJ
Kathleen Meehan,CSU Chico,csuchico.edu,2120,semiconductor lasers | disordering | nanoparticle synthesis and characterization | ceria | optical spectroscopy,https://scholar.google.com/citations?hl=en&user=jylTZ1gAAAAJ
Kenneth J.  Chapman,"California State University, Chico",csuchico.edu,2009,Marketing | Consumer Behavior | Business Education,https://scholar.google.com/citations?hl=en&user=mnBrIbUAAAAJ
Patrick S. Johnson,"Associate Professor, California State University, Chico",csuchico.edu,1897,Behavioral Economics | Behavioral Pharmacology | Behavior Analysis,https://scholar.google.com/citations?hl=en&user=B4V-vI8AAAAJ
Steffen Mehl,"California State University, Chico",csuchico.edu,1729,Groundwater | Uncertainty | Sensitivity | Calibration,https://scholar.google.com/citations?hl=en&user=v72TxFkAAAAJ
Serkan Inceoglu,"Mechanical and Mechatronics Engineering, California State University, Chico",csuchico.edu,1665,Spine biomechanics | bone-implant interface | finite element analysis,https://scholar.google.com/citations?hl=en&user=h2Y56NgAAAAJ
Jeremy Fishel,"Tangible Research, CSU Chico",tangible-research.com,1627,Tactile Sensing | Haptics | Robotics | Artificial Intelligence,https://scholar.google.com/citations?hl=en&user=i8gnaqEAAAAJ
David Brookes,"California State University, Chico",csuchico.edu,1596,cognitive Linguistics | systemic functional grammar | embodied cognition | perceptual symbol systems,https://scholar.google.com/citations?hl=en&user=RKJd7EEAAAAJ
Serban M. Sarbu,"Adjunct Faculty, California State University Chico",Not Mentioned,1573,biology | microbiology | biospeleology | cave ecology | evolutionary biology,https://scholar.google.com/citations?hl=en&user=vD6lSnAAAAAJ
Kirk Damon Aiken,"Professor of Marketing, California State University Chico",csuchico.edu,1495,sport marketing | fan behavior | consumer values | old school values | e-marketing,https://scholar.google.com/citations?hl=en&user=U8tTl8EAAAAJ
Lee Altier,"Professor, California State University, Chico",csuchico.edu,1420,Horticulture,https://scholar.google.com/citations?hl=en&user=1biQxMgAAAAJ
John F Knowles,"Assistant Professor, California State University, Chico",csuchico.edu,1360,Ecohydrology | Physical Geography | Ecosystem Ecology | Micrometeorology | Watershed Hydrology,https://scholar.google.com/citations?hl=en&user=EPFrkTEAAAAJ
Thea M Wilson,"California State University, Chico",csuchico.edu,1358,Not Mentioned,https://scholar.google.com/citations?hl=en&user=ncbIQb0AAAAJ
Shelley R. Hart,"California State University, Chico",csuchico.edu,1283,suicide | mood disorders | special education | social and emotional development | bipolar disorder,https://scholar.google.com/citations?hl=en&user=azn61acAAAAJ
Arash Negahban,"California State University, Chico",csuchico.edu,1260,mobile technology | Big Data Analytics | Societal aspects of IT | Information security,https://scholar.google.com/citations?hl=en&user=CtNYRUsAAAAJ
harish bahl,"professor, college of business, California state university, chico, ca",csuchico.edu,1196,operations management | supply chain management | MIS,https://scholar.google.com/citations?hl=en&user=m3v5vloAAAAJ
Dingxin Cheng,"Professor of civil engineering, California State University, Chico",csuchico.edu,1122,Pavement Materials | Pavement Preservation and Maintenance | and Pavement Management,https://scholar.google.com/citations?hl=en&user=_jOE_xsAAAAJ
Kati Geszvain,"California State University, Chico",csuchico.edu,1111,microbiology,https://scholar.google.com/citations?hl=en&user=ds69rq4AAAAJ
Christopher T Ivey,"Biological Sciences, California State University, Chico",csuchico.edu,1107,Evolutionary Ecology | Plant Reproductive Biology | Plant-Insect Interactions,https://scholar.google.com/citations?hl=en&user=qYzG-QIAAAAJ
LaDona Knigge,California State University Chico,csuchico.edu,956,community gardens | food systems | gardens | sustainable planning | bicycle,https://scholar.google.com/citations?hl=en&user=AmFsLw4AAAAJ
Gail Walton,"Professor of ChildDevelopment, California State University - Chico",csuchico.edu,939,emotional development in young children | development of perfectionism | perceptual and cognitive development,https://scholar.google.com/citations?hl=en&user=0ajUOY0AAAAJ
Matthew J. Stone,"California State University, Chico",csuchico.edu,935,Food & Culinary Tourism | Consumer Behavior | Tourism Marketing,https://scholar.google.com/citations?hl=en&user=Vc7JzDQAAAAJ
Robin A. Donatello (Jeffries),"California State University, Chico",csuchico.edu,894,Imputation and Editing | Data Visualization | Data Science,https://scholar.google.com/citations?hl=en&user=5qY9V6IAAAAJ
Keiko Goto,"California State University, Chico",mail.csuchico.edu,864,Not Mentioned,https://scholar.google.com/citations?hl=en&user=XywTq8QAAAAJ
Dalen Chiang,"California State University, Chico",csuchico.edu,835,Operations and Supply Chain Management,https://scholar.google.com/citations?hl=en&user=uxlejQsAAAAJ
Jochen Nuester,csu chico,csuchico.edu,821,Not Mentioned,https://scholar.google.com/citations?hl=en&user=aPNexVIAAAAJ
R Mitch Casselman,"Professor of Management, California State University, Chico",csuchico.edu,781,Knowledge & Idea Management | Innovation | Resource Theory | Base of Pyramid | Responsible Business,https://scholar.google.com/citations?hl=en&user=h3gVCKcAAAAJ
Nicholas Nelson,"California State University, Chico",csuchico.edu,742,Astrophysics | Solar Physics | Turbulence | Chaos,https://scholar.google.com/citations?hl=en&user=X4CD7RYAAAAJ
Asa Simon Mittman,"Professor of Art History, California State University, Chico",mail.csuchico.edu,728,medieval art | monster studies | cartography | Anglo-Saxon and Anglo-Norman art | identity,https://scholar.google.com/citations?hl=en&user=TRJvO2MAAAAJ
Elena Harris,"Assistant Professor, California State University, Chico",csuchico.edu,710,Bioinformatics | Next Generation Sequencing Data Analysis,https://scholar.google.com/citations?hl=en&user=BdFz51wAAAAJ
Matt Thomas,"Professor, Department of Political Science, California State University, Chico",csuchico.edu,692,Urban Politics | Criminal Justice Policy,https://scholar.google.com/citations?hl=en&user=hltfynAAAAAJ
Kun Zhang,"California State University, Chico",csuchico.edu,665,Pavement Materials | CFD | DEM,https://scholar.google.com/citations?hl=en&user=rFyAvQEAAAAJ
David R. Hibbard,"Professor of Psychology, California State University, Chico",csuchico.edu,564,Developmental Psychology | Social and Personality Development | Gender,https://scholar.google.com/citations?hl=en&user=VQyyxTYAAAAJ
Gwenola Ricordeau,"Associate professor, California State University, Chico",mail.csuchico.edu,560,prison | sexuality | gender | migration | Philippines,https://scholar.google.com/citations?hl=en&user=-lE5rvkAAAAJ
Danielle Antoinette Hidalgo,California State University Chico,csuchico.edu,547,dance music culture | sexuality | qualitative methods | ethnography | sex work,https://scholar.google.com/citations?hl=en&user=uNN4S3wAAAAJ
Kristen Fay Gorman,"California State University, Chico",kristengorman.com,540,Not Mentioned,https://scholar.google.com/citations?hl=en&user=LSEhY8QAAAAJ
Jackson Webster,California State University Chico,csuchico.edu,515,Water Quality | Wildfire | Mercury,https://scholar.google.com/citations?hl=en&user=ObQT4ngAAAAJ
Ed Pluth,CSU Chico,csuchico.edu,497,psychoanalysis | continental philosophy,https://scholar.google.com/citations?hl=en&user=2NA63ecAAAAJ
Stephanie Bianco,"… and Associate Professor, Center for Healthy Communities California State University, Chico",mail.csuchico.edu,479,food insecurity | food safety education | policy change | behavior change | nutrition,https://scholar.google.com/citations?hl=en&user=_F5TBqsAAAAJ
Dana Williams,"Associate Professor of Sociology, California State University, Chico",csuchico.edu,475,social inequalities | social movements | social trust | political sociology,https://scholar.google.com/citations?hl=en&user=47stQO4AAAAJ
Diana Dwyre,"California State University, Chico",csuchico.edu,466,campaign finance | political parties | US Congress | interest groups,https://scholar.google.com/citations?hl=en&user=pocG5ssAAAAJ
Hyunjung Kim,"Professor of Management, California State University, Chico",csuchico.edu,436,System Dynamics | Group Model Building | Strategy | Organization Learning,https://scholar.google.com/citations?hl=en&user=ubbyOHIAAAAJ
Amanda I Banet,California State University Chico,csuchico.edu,433,biology | education | aquatic ecology | evolution | physiology,https://scholar.google.com/citations?hl=en&user=7LhXFZoAAAAJ
Hassan S. Salehi,"… Professor of Electrical and Computer Engineering, California State University, Chico",csuchico.edu,433,Optical Imaging | Signal and Image Processing | Machine Learning | Bioinstrumentation,https://scholar.google.com/citations?hl=en&user=JeDjz9EAAAAJ
Aubrey Newland,"California State University, Chico",csuchico.edu,431,motivation | sports | coaching,https://scholar.google.com/citations?hl=en&user=bxLsPX4AAAAJ
Tal Slemrod,"Associate Professor, School of Education, California State University, Chico",csuchico.edu,418,Not Mentioned,https://scholar.google.com/citations?hl=en&user=3zA1JTUAAAAJ
Qingzhong Ma,"Associate Prof. Finance, CSU Chico",csuchico.edu,414,insider trading | return anomaly | mergers and acquisitions,https://scholar.google.com/citations?hl=en&user=eQJcsWoAAAAJ
Michael Coons,"California State University, Chico",csuchico.edu,407,Number Theory | Aperiodic Order,https://scholar.google.com/citations?hl=en&user=P7QxG44AAAAJ
Kevin Buffardi,"California State University, Chico",csuchico.edu,388,Computer Science Education | Software Testing | Software Engineering entrepreneurship | eLearning | Usability,https://scholar.google.com/citations?hl=en&user=KmIt5HIAAAAJ
Josh Trout,"Professor of Kinesiology, California State University - Chico",csuchico.edu,376,Effective teaching | pedagogy | instructional technology | physical education | exercise physiology,https://scholar.google.com/citations?hl=en&user=PK_vbcAAAAAJ
Andy Potter,"Assistant Professor, California State University Chico",csuchico.edu,357,health policy | long-term care | health services research,https://scholar.google.com/citations?hl=en&user=3AWZVY0AAAAJ
Ben Seipel,"CSU, Chico",mail.csuchico.edu,352,Reading Comprehension | Cognitive Processing | Assessment | Educational Technology | Online Education,https://scholar.google.com/citations?hl=en&user=y27goOwAAAAJ
Maria J. Mendez,"Assistant Professor of Management, California State University, Chico",csuchico.edu,327,Collective leadership | followership | team leadership | emotions,https://scholar.google.com/citations?hl=en&user=Jhjcbj4AAAAJ
Shawn Bates,"California State University, Chico",csuchico.edu,292,Neuroscience | Stress | Addiction | Social,https://scholar.google.com/citations?hl=en&user=IgFsnr8AAAAJ
Bruce Grelle,"… , Department of Comparative Religion and Humanities, California State University, Chico",csuchico.edu,276,Comparative Ethics | Religion | Politics | and Society,https://scholar.google.com/citations?hl=en&user=O5JJB-kAAAAJ
Garrett Liles,CSU Chico,csuchico.edu,270,Lots of things,https://scholar.google.com/citations?hl=en&user=msEiq3AAAAAJ
Jaebong Son,"California State University, Chico",mail.csuchico.edu,268,Not Mentioned,https://scholar.google.com/citations?hl=en&user=0c_LjVUAAAAJ
Ghadir Ishqaidef,"Associate Professor of Management at California State University, Chico",csuchico.edu,262,Best HR Practices | effective and ethical workplace environments | Group Dynamics,https://scholar.google.com/citations?hl=en&user=xFMRkPIAAAAJ
Sarah Blakeslee,"CSU, Chico",csuchico.edu,260,library instruction,https://scholar.google.com/citations?hl=en&user=eCVuzIUAAAAJ
Cindy Vang,"Assistant Professor at California State University, Chico",csuchico.edu,237,Gerontology | Aging in Place | Immigrants and Refugees | Southeast Asians,https://scholar.google.com/citations?hl=en&user=2P4Yu0EAAAAJ
Sarah E. Murphy,"California State University, Chico",mail.csuchico.edu,236,Not Mentioned,https://scholar.google.com/citations?hl=en&user=ge6tpMMAAAAJ
Alexander Wong,"California State University, Chico",csuchico.edu,234,Social Psychology | Self and Identity,https://scholar.google.com/citations?hl=en&user=6G5wc28AAAAJ
Anita M. Chaudhry,"Professor, Economics, California State University, Chico",csuchico.edu,219,Water and land economics | institutions | distributional effects | sustainablility | agroecosystems,https://scholar.google.com/citations?hl=en&user=d-RXjC0AAAAJ
Christine Witt,"Associate Professor of Business Information Systems, California State University, Chico",csuchico.edu,218,information systems education | scaffolding | user experience,https://scholar.google.com/citations?hl=en&user=liZ98UoAAAAJ
Catherine Lemmi,"California State University, Chico",csuchico.edu,203,Science Education | Multilingual Communities | Teacher Education | Education for Equity & Justice,https://scholar.google.com/citations?hl=en&user=6qSXNZYAAAAJ
