Robert Thomann,Emeritus Professor Environmental Engineering Manhattan College,Not Mentioned,8759,Catholic Theology,https://scholar.google.com/citations?hl=en&user=8KrEpQoAAAAJ
Donald Gibson,"Dean and Professor, Manhattan College",manhattan.edu,6772,Not Mentioned,https://scholar.google.com/citations?hl=en&user=Hf6selQAAAAJ
Angel R. Pineda,"Professor of Mathematics, Manhattan College",manhattan.edu,3463,Image Science | Inverse Problems | Medical Imaging | Applied Mathematics | Statistics,https://scholar.google.com/citations?hl=en&user=N_Xo3mcAAAAJ
Sasidhar Varanasi,Chair & Professor of Chemical Engineering Manhattan College,manhattan.edu,3113,Biorenewables | Interfacial Phenomena,https://scholar.google.com/citations?hl=en&user=KSb2OTAAAAAJ
Pamela Chasek,Manhattan College,manhattan.edu,3110,environmental politics,https://scholar.google.com/citations?hl=en&user=KY9BaSoAAAAJ
Igor Aizenberg,"Professor and Chair of the Department of Computer Science, Manhattan College",manhattan.edu,2962,neural networks | image processing | pattern recognition,https://scholar.google.com/citations?hl=en&user=ZjfN_9AAAAAJ
Farrukh J. Fattoyev,"Assistant Professor, Manhattan College",manhattan.edu,2648,Nuclear Astrophysics | Neutron Stars | Theoretical Nuclear Physics | General Relativity | Cosmology,https://scholar.google.com/citations?hl=en&user=me4MZvUAAAAJ
William H. Walters,"Executive Director of the Library, Manhattan College",manhattan.edu,2619,scholarly communication | library collections | higher education | research methods,https://scholar.google.com/citations?hl=en&user=So6EwToAAAAJ
Richard M Kirchner,"Professor of Chemistry, emeritus, Manhattan College",manhattan.edu,2600,crystallography | zeolites | inorganic coordination compounds,https://scholar.google.com/citations?hl=en&user=pGzq7M8AAAAJ
Michael Judiesch,Manhattan College,manhattan.edu,2547,Not Mentioned,https://scholar.google.com/citations?hl=en&user=AfgsmFYAAAAJ
Joseph Zhitnitsky,"BCC, Manhattan College",bcc.cuny.edu,2540,Particle physics,https://scholar.google.com/citations?hl=en&user=a1lQffYAAAAJ
Kimberly Fairchild,"Associate Professor of Psychology, Manhattan College",manhattan.edu,2539,Street harassment | sexual harassment | psychology of women | social psychology,https://scholar.google.com/citations?hl=en&user=BP_iLSsAAAAJ
John F. Tomer,"Emeritus Professor of Economics, Manhattan College",juno.com,2492,behavioral economics | socio-economics,https://scholar.google.com/citations?hl=en&user=k2oE38YAAAAJ
Marvin Bishop,Professor Manhattan College,manhattan.edu,2309,polymers parallel processing statistical …,https://scholar.google.com/citations?hl=en&user=1GFVX4cAAAAJ
Constantine Theodosiou,"Manhattan College, NYC",manhattan.edu,2271,Atomic Physics | Plasma physics | Academic administration,https://scholar.google.com/citations?hl=en&user=VyDhVX8AAAAJ
Anton O. Oliynyk,"Assistant Professor, Manhattan College",manhattan.edu,2032,Solid State Chemistry | Crystallography | Materials Chemistry | Materials Science,https://scholar.google.com/citations?hl=en&user=fqV3OjgAAAAJ
George Giakos,Manhattan College,manhattan.edu,2014,Space Engineering | Cognitive Imaging | Quantum Computing and Neuromorphic … | Quantum Detectors | Bioinspired Systems,https://scholar.google.com/citations?hl=en&user=g3hNlakAAAAJ
Danielle Young,"Assistant Professor of Psychology, Manhattan College",manhattan.edu,1745,Not Mentioned,https://scholar.google.com/citations?hl=en&user=Vr6qGKAAAAAJ
Mehdi Omidvar,"Associate Professor, Manhattan College",manhattan.edu,1531,Soil Dynamics | Image Processing | Risk Assessment | Numerical Modeling | Soil-Structure Interaction,https://scholar.google.com/citations?hl=en&user=ozLaRxUAAAAJ
Frank Henry,Manhattan college,manhattan.edu,1476,Fluid Mechanics,https://scholar.google.com/citations?hl=en&user=iH9bK8UAAAAJ
Q. Wang,"Associate Professor, Civil and Environmental Engineering, Manhattan College",manhattan.edu,1446,Not Mentioned,https://scholar.google.com/citations?hl=en&user=154_RfAAAAAJ
katherine m. conway,"Professor, Borough of Manhattan Community College, City University of New York",bmcc.cuny.edu,1427,student success | online education | nontraditional students,https://scholar.google.com/citations?hl=en&user=znxJ4MsAAAAJ
Claire Wladis,Borough of Manhattan Community College and the Graduate Center at the City University of …,bmcc.cuny.edu,1401,online learning | access | retention | developmental mathematics | algebraic conceptual understanding,https://scholar.google.com/citations?hl=en&user=6KV7cN0AAAAJ
Nuwan Jayawickreme,"Associate Professor of Psychology, Manhattan College",manhattan.edu,1290,Trauma | PTSD | Culture | Anxiety | Measurement,https://scholar.google.com/citations?hl=en&user=8QV9o3kAAAAJ
Alexander Santulli,"Assistant Professor of Chemistry, Manhattan College",manhattan.edu,1192,Nanomaterials | photovoltaics | green energy,https://scholar.google.com/citations?hl=en&user=S7M2k-MAAAAJ
Samiul Amin,"Associate Professor Chemical Engineering, Manhattan College",manhattan.edu,1146,Complex Fluids | Rheology | Microrheology | Protein Aggregation,https://scholar.google.com/citations?hl=en&user=YTGrFesAAAAJ
Jay Friedenberg,Manhattan College,manhattan.edu,1095,Center Estimation | Symmetry Perception | Aesthetics | Art Perception | Cognitive Science,https://scholar.google.com/citations?hl=en&user=6Z7yjdIAAAAJ
Thomas E Twardowski,"… , Philadelphia University, University of Illinois, Widener University, Manhattan College",philau.edu,1065,biomaterials | nanocomposites | polymers,https://scholar.google.com/citations?hl=en&user=dGx6dYEAAAAJ
Kent Worcester,Marymount Manhattan College,mmm.edu,1057,cultural history,https://scholar.google.com/citations?hl=en&user=CrecGM0AAAAJ
Bruce Shockey,"Associate Professor of Biology, Manhattan College",manhattan.edu,1051,Evolution of South American Mammals,https://scholar.google.com/citations?hl=en&user=mpILTVYAAAAJ
Juneseok Lee,"Civil and Environmental Engineering, Manhattan College",manhattan.edu,1045,Drinking Water Distribution System | Building Water System | Water Infrastructure Analytics | Systems Analytics,https://scholar.google.com/citations?hl=en&user=zu_URxAAAAAJ
