Stewart W Mercer,"Professor of Primary Care and Multimorbidity, Edinburgh University",ed.ac.uk,26414,Multimorbidity | Health Inequalities | Empathy | Mindfulness,https://scholar.google.com/citations?hl=en&user=5baheEUAAAAJ
Tim R Mercer,University of Queensland,uq.edu.au,26155,genomics | transcriptomics | sequencing and biotechnology.,https://scholar.google.com/citations?hl=en&user=W9HCJ84AAAAJ
Mike U. Smith,"Professor, Mercer University School of Medicine",mercer.edu,13379,science education | evolution | genetics | acceptance | nature of science,https://scholar.google.com/citations?hl=en&user=jfSslgEAAAAJ
Mohsen Yaghoubi,"Assistant Professor, Mercer University, College of Pharmacy",mercer.edu,11502,Health Economics | Cost-effectiveness Analysis | Evidence based medicine | Burden of Disease,https://scholar.google.com/citations?hl=en&user=O92u4n8AAAAJ
Ajay K. Banga,"Professor & Chair, Mercer University",mercer.edu,8634,Transdermal delivery | topical skin delivery | transdermal patch | iontophoresis | microneedles,https://scholar.google.com/citations?hl=en&user=BELIlTEAAAAJ
Ibolja Cernak,Mercer University Schoold Medicine,mercer.edu,8585,Neurotrauma | Military Health | Blast Injuries | Traumatic Brain Injury | Pathophysiology of Stress,https://scholar.google.com/citations?hl=en&user=iyQoB2wAAAAJ
Kristina Butze Mercer,Kennesaw State University,kennesaw.edu,8375,Not Mentioned,https://scholar.google.com/citations?hl=en&user=9RUC6McAAAAJ
Dr. Rudolfs K. Zalups,"Professor Emeritus of Medicine, Mercer University School of Medicine",mercer.edu,7300,Toxicology of Metals | Renal Physiology | Pharmacology | and Toxicology,https://scholar.google.com/citations?hl=en&user=3rs-TxwAAAAJ
Jason Mercer,IMI University of Birmingham,bham.ac.uk,6841,Pox Virology | Cell Biology | Imaging and Endocytosis,https://scholar.google.com/citations?hl=en&user=mDc_tG4AAAAJ
Sarah Mercer,University of Graz,uni-graz.at,6632,Not Mentioned,https://scholar.google.com/citations?hl=en&user=EqWKAQ8AAAAJ
Justus Randolph,"Georgia Baptist College of Nursing, Mercer University",mercer.edu,5045,meta-analysis | educational measurement | surgical interventions,https://scholar.google.com/citations?hl=en&user=OZpmO60AAAAJ
Sterett H. Mercer,"Professor, University of British Columbia",ubc.ca,4657,curriculum-based measurement | academic intervention,https://scholar.google.com/citations?hl=en&user=YJg4svsAAAAJ
d. evan mercer,US Forest Service (retired) and Duke University,duke.edu,4301,resource and environmental economics,https://scholar.google.com/citations?hl=en&user=pdppSAgAAAAJ
Alan Culpepper,"Dean and Professor of New Testament, Mercer University, Emeritus",mercer.edu,4003,Gospel of John,https://scholar.google.com/citations?hl=en&user=gmKqjIcAAAAJ
John A. Mercer,"Professor, University of Nevada, Las Vegas",unlv.edu,3956,biomechanics | exercise physiology | running | triathlon,https://scholar.google.com/citations?hl=en&user=BvtRA50AAAAJ
Judith Mercer,University of Rhode Island,uri.edu,3758,Not Mentioned,https://scholar.google.com/citations?hl=en&user=e1LQQV4AAAAJ
Vicki Stemmons Mercer,"University of North Carolina at Chapel Hill, Division of Physical Therapy",med.unc.edu,3726,postural control | neurologic rehabilitation,https://scholar.google.com/citations?hl=en&user=JJP6k0sAAAAJ
Barbara Moser-Mercer,University of Geneva,unige.ch,3550,interpreting research | expertise research | education in emergencies | higher education in emergencies | research ethics,https://scholar.google.com/citations?hl=en&user=xo6Hqw8AAAAJ
Eric H Mercer,"Ph.D. 1991, University of Washington",u.washington.edu,3544,Nervous System Development | Brain Development | Consciousness | Autonomic Nervous System | Attention,https://scholar.google.com/citations?hl=en&user=FbUhdYYAAAAJ
J. Phillip Bowen,"Professor of Pharmaceutical Sciences, Mercer University, College of Pharmacy",Not Mentioned,3266,medicinal chemistry | computational chemistry | organic chemistry | cardiovascular,https://scholar.google.com/citations?hl=en&user=m2B8iegAAAAJ
Mahavir B Chougule,"Associate Professor Pharmaceutical Sciences, Mercer University College of Pharmacy",mercer.edu,3247,Drug and Gene delivery | parenteral and inhaled products | extended release product | Nanoparticle/Microparticles | Cancer and Pulma,https://scholar.google.com/citations?hl=en&user=jYxYewIAAAAJ
Mercer Sullivan,Rutgers University,andromeda.rutgers.edu,3202,youth crime | qualitative methods | urban poverty | school violence | early fatherhood,https://scholar.google.com/citations?hl=en&user=7f7rL1IAAAAJ
GN Mercer,"National Centre for Epidemiology and Population Health, Australian National University",anu.edu.au,3192,Infectious Disease Modelling,https://scholar.google.com/citations?hl=en&user=TzTgsfAAAAAJ
Richard O. McCann,Mercer University School of Medicine,mercer.edu,2846,Molecular Cell Biology,https://scholar.google.com/citations?hl=en&user=tFzHQpUAAAAJ
"Bonny Lynn Dickinson, PhD",Mercer University School of Medicine,mercer.edu,2755,Not Mentioned,https://scholar.google.com/citations?hl=en&user=IOB6CVkAAAAJ
John Mercer,University of Glasgow,glasgow.ac.uk,2582,Vascular and Mitochondrial Bioengineer,https://scholar.google.com/citations?hl=en&user=1W7Fq64AAAAJ
James Drummond,Mercer University School of Medicine,mercer.edu,2520,Immunology | Exosomes,https://scholar.google.com/citations?hl=en&user=w6fVq78AAAAJ
J Paul Seale,"Professor of Family Medicine, Mercer University",Not Mentioned,2377,alcohol | drugs,https://scholar.google.com/citations?hl=en&user=Sdu-DWQAAAAJ
Raghavan chinnadurai,Mercer University School of Medicine,mercer.edu,2365,Not Mentioned,https://scholar.google.com/citations?hl=en&user=ctWxC2gAAAAJ
Robert E Mercer,"Professor of Computer Science, The University of Western Ontario",csd.uwo.ca,2180,Artificial Intelligence | Computational Linguistics | Logic Programming,https://scholar.google.com/citations?hl=en&user=UDAYdq4AAAAJ
JS Rodefer,Mercer University,mercer.edu,2161,neuroscience | psychopharmacology | cognition | addiction | behavioral economics,https://scholar.google.com/citations?hl=en&user=U_uRmcAAAAAJ
Jeffrey M. Mercer,"Professor of Finance, Texas Tech University",ttu.edu,2146,Asset Pricing Theory | Investments,https://scholar.google.com/citations?hl=en&user=TMVPQvsAAAAJ
Ravi Palaniappan,Mercer University,mercer.edu,2135,Protein formulation | Vaccines | Gene Delivery,https://scholar.google.com/citations?hl=en&user=BHkFz-UAAAAJ
Molly Mercer,"Professor, School of Accountancy and MIS, DePaul University",depaul.edu,2134,Accounting | Judgment and Decision Making,https://scholar.google.com/citations?hl=en&user=I_Y3rGEAAAAJ
Mercer R. Brugler,"Associate Professor of Marine Biology, University of South Carolina Beaufort",uscb.edu,2124,Marine Invertebrates | Black Corals | eDNA | Mitogenomics | Evolution,https://scholar.google.com/citations?hl=en&user=eFiejDsAAAAJ
William J Bromberg,Mercer University School of Medicine,hcahealthcare.com,2098,Not Mentioned,https://scholar.google.com/citations?hl=en&user=Gfx1HEIAAAAJ
Jacob Warren,"… Chair and Director, Center for Rural Health and Health Disparities; Mercer University",mercer.edu,1981,rural health | health disparities | minority health | epidemiology | health behaviors,https://scholar.google.com/citations?hl=en&user=F7LJo2qBg-kC
C Isaac,"Assistant Professor, Mercer University",mercer.edu,1883,Gender | STEM | Leadership,https://scholar.google.com/citations?hl=en&user=AMkA5YwAAAAJ
Laura Mercer-Rosa,University of Pennsylvania,email.chop.edu,1828,pediatric cardiology | right ventricle | tetralogy of Fallot | pulmonary hypertension,https://scholar.google.com/citations?hl=en&user=-NF35pcAAAAJ
Kristin L Mercer,"Professor of Horticulture & Crop Science, Ohio State University",osu.edu,1774,agroecology | evolution | gene flow | crop conservation | maize,https://scholar.google.com/citations?hl=en&user=pnYQRT8AAAAJ
Stewart W Mercer,"Professor of Primary Care and Multimorbidity, Edinburgh University",ed.ac.uk,26414,Multimorbidity | Health Inequalities | Empathy | Mindfulness,https://scholar.google.com/citations?hl=en&user=5baheEUAAAAJ
Tim R Mercer,University of Queensland,uq.edu.au,26155,genomics | transcriptomics | sequencing and biotechnology.,https://scholar.google.com/citations?hl=en&user=W9HCJ84AAAAJ
Mike U. Smith,"Professor, Mercer University School of Medicine",mercer.edu,13379,science education | evolution | genetics | acceptance | nature of science,https://scholar.google.com/citations?hl=en&user=jfSslgEAAAAJ
Mohsen Yaghoubi,"Assistant Professor, Mercer University, College of Pharmacy",mercer.edu,11502,Health Economics | Cost-effectiveness Analysis | Evidence based medicine | Burden of Disease,https://scholar.google.com/citations?hl=en&user=O92u4n8AAAAJ
Ajay K. Banga,"Professor & Chair, Mercer University",mercer.edu,8634,Transdermal delivery | topical skin delivery | transdermal patch | iontophoresis | microneedles,https://scholar.google.com/citations?hl=en&user=BELIlTEAAAAJ
Ibolja Cernak,Mercer University Schoold Medicine,mercer.edu,8585,Neurotrauma | Military Health | Blast Injuries | Traumatic Brain Injury | Pathophysiology of Stress,https://scholar.google.com/citations?hl=en&user=iyQoB2wAAAAJ
Kristina Butze Mercer,Kennesaw State University,kennesaw.edu,8375,Not Mentioned,https://scholar.google.com/citations?hl=en&user=9RUC6McAAAAJ
Dr. Rudolfs K. Zalups,"Professor Emeritus of Medicine, Mercer University School of Medicine",mercer.edu,7300,Toxicology of Metals | Renal Physiology | Pharmacology | and Toxicology,https://scholar.google.com/citations?hl=en&user=3rs-TxwAAAAJ
Jason Mercer,IMI University of Birmingham,bham.ac.uk,6841,Pox Virology | Cell Biology | Imaging and Endocytosis,https://scholar.google.com/citations?hl=en&user=mDc_tG4AAAAJ
Sarah Mercer,University of Graz,uni-graz.at,6632,Not Mentioned,https://scholar.google.com/citations?hl=en&user=EqWKAQ8AAAAJ
Justus Randolph,"Georgia Baptist College of Nursing, Mercer University",mercer.edu,5045,meta-analysis | educational measurement | surgical interventions,https://scholar.google.com/citations?hl=en&user=OZpmO60AAAAJ
Sterett H. Mercer,"Professor, University of British Columbia",ubc.ca,4657,curriculum-based measurement | academic intervention,https://scholar.google.com/citations?hl=en&user=YJg4svsAAAAJ
d. evan mercer,US Forest Service (retired) and Duke University,duke.edu,4301,resource and environmental economics,https://scholar.google.com/citations?hl=en&user=pdppSAgAAAAJ
Alan Culpepper,"Dean and Professor of New Testament, Mercer University, Emeritus",mercer.edu,4003,Gospel of John,https://scholar.google.com/citations?hl=en&user=gmKqjIcAAAAJ
John A. Mercer,"Professor, University of Nevada, Las Vegas",unlv.edu,3956,biomechanics | exercise physiology | running | triathlon,https://scholar.google.com/citations?hl=en&user=BvtRA50AAAAJ
Judith Mercer,University of Rhode Island,uri.edu,3758,Not Mentioned,https://scholar.google.com/citations?hl=en&user=e1LQQV4AAAAJ
Vicki Stemmons Mercer,"University of North Carolina at Chapel Hill, Division of Physical Therapy",med.unc.edu,3726,postural control | neurologic rehabilitation,https://scholar.google.com/citations?hl=en&user=JJP6k0sAAAAJ
Barbara Moser-Mercer,University of Geneva,unige.ch,3550,interpreting research | expertise research | education in emergencies | higher education in emergencies | research ethics,https://scholar.google.com/citations?hl=en&user=xo6Hqw8AAAAJ
Eric H Mercer,"Ph.D. 1991, University of Washington",u.washington.edu,3544,Nervous System Development | Brain Development | Consciousness | Autonomic Nervous System | Attention,https://scholar.google.com/citations?hl=en&user=FbUhdYYAAAAJ
