Debjit Mukherjee,"Research Fellow, New York Institute of Technology",nyit.edu,70121,AI | Analytics | Business Intelligence,https://scholar.google.com/citations?hl=en&user=d2Whu4QAAAAJ
Tuuli Lappalainen,"SciLifeLab, KTH Royal Institute of Technology & New York Genome Center",nygenome.org,34995,Human genetics | functional genomics,https://scholar.google.com/citations?hl=en&user=KtbmEC4AAAAJ
Qiangrong Liang,"Professor, New York Institute of Technology College of Osteopathic Medicine",nyit.edu,17606,mitochondrial quality control in the heart,https://scholar.google.com/citations?hl=en&user=fDpzqasAAAAJ
Alfonso Reina,New York Institute of Technology,Not Mentioned,16736,Materials science | nanostructures | graphene | nanotubes | transition metal dichalcogenides,https://scholar.google.com/citations?hl=en&user=dDXu1csAAAAJ
Kamalesh Sirkar,New Jersey Institute of Technology; Otto York Department of Chemical and Materials …,njit.edu,16249,… and Membrane Separation Technologies | Separation Technologies,https://scholar.google.com/citations?hl=en&user=kPyaC9AAAAAJ
Masato R. Nakamura,"Assistant Professor, New York City College of Technology (City Tech), CUNY",Not Mentioned,12537,Not Mentioned,https://scholar.google.com/citations?hl=en&user=HV65830AAAAJ
Yu Zhang,"… of Pennsylvania, New York University, National Institute of Standards and Technology",upenn.edu,11381,Dentistry | Materials science | Mechanics,https://scholar.google.com/citations?hl=en&user=_mk9LSkAAAAJ
"AM Gerdes, PhD",New York Institute of Technology-College of Osteopathic Medicine,nyit.edu,9969,Not Mentioned,https://scholar.google.com/citations?hl=en&user=iT8d83EAAAAJ
Viviana Acquaviva,"Professor, New York City College of Technology",citytech.cuny.edu,8915,Astronomy | Machine Learning,https://scholar.google.com/citations?hl=en&user=9HxYZTUAAAAJ
Xun Yu,New York Institute of Technology,nyit.edu,8239,Not Mentioned,https://scholar.google.com/citations?hl=en&user=323IDwoAAAAJ
Andrea Ferroglia,New York City College of Technology,citytech.cuny.edu,8043,High Energy Physics,https://scholar.google.com/citations?hl=en&user=zXyxWuEAAAAJ
