MNV PRASAD,University of Hyderabad,uohyd.ac.in,24398,Not Mentioned,https://scholar.google.com/citations?hl=en&user=SyWoSXIAAAAJ
Samar K. Das,"Professor of Chemistry, University of Hyderabad",uohyd.ac.in,16455,Inorganic Chemistry,https://scholar.google.com/citations?hl=en&user=8lULpqIAAAAJ
Shaikh Mobin,"Research Scholar, University of Hyderabad",uohyd.ernet.in,14428,Literature and arts,https://scholar.google.com/citations?hl=en&user=Jvsz5XIAAAAJ
Anunay Samanta,University of Hyderabad,uohyd.ac.in,12071,Ultrafast Spectroscopy | Perovskite Nanocrystals,https://scholar.google.com/citations?hl=en&user=CwvPzSMAAAAJ
Karumuri Ashok,University of Hyderabad,uohyd.ac.in,11361,Climate variability and prediction | tropical Indo-pacific | Climate change | Monsoon | ENSO,https://scholar.google.com/citations?hl=en&user=uE_wzu8AAAAJ
Prof. D. Basavaiah,University of Hyderabad,uohyd.ac.in,9507,organic chemistry,https://scholar.google.com/citations?hl=en&user=YUkpdqMAAAAJ
Deevi Basavaiah,"… of Eminence (IoE) Research Chair Professor, School of Chemistry, University of Hyderabad",uohyd.ac.in,9502,Organic Chemistry: The Baylis-Hillman …,https://scholar.google.com/citations?hl=en&user=eKCfJ9AAAAAJ
D Sanjeev Kumar,"School of Physics, University of Hyderabad, Hyderabad, India - 500046",uohyd.ac.in,9288,Numerical | Spintronics | Quantum dots | First principle studies,https://scholar.google.com/citations?hl=en&user=DQp34JkAAAAJ
Niyaz Ahmed,"University of Hyderabad, India",uohyd.ac.in,9075,Helicobacter pylori | Mycobacterium | genomes | virulence | molecular epidemiology,https://scholar.google.com/citations?hl=en&user=0RaWfUwAAAAJ
Prof. Venugopal Rao Soma,"[FNASc., FRSC, F.Inst.Phys. (UK), FTAS], ACRHEM, University of Hyderabad",uohyd.ac.in,8925,Nonlinear Optics | Ultrafast Spectroscopy | Nanoscience & Nanotechnology | Laser-Induced Breakdown Spectroscopy | SERS,https://scholar.google.com/citations?hl=en&user=drr_va8AAAAJ
Agepati S. Raghavendra,"… of Eminence Research Chair in Life Sciences, University of Hyderabad, Hyderabad, India",uohyd.ernet.in,8601,photosynthesis | photorespiration | plant biology | stomata,https://scholar.google.com/citations?hl=en&user=am_rtAUAAAAJ
Attipalli R Reddy,University of Hyderabad,uohyd.ernet.in,8135,Photosynthesis and Biofuels,https://scholar.google.com/citations?hl=en&user=WeuK1lIAAAAJ
Dr. Murali Banavoth,"Assistant Professor, University of Hyderabad, India",uohyd.ac.in,8010,Organic | Inorganic | Quantum dot | Pervoskites & Bulk Heterojunction …,https://scholar.google.com/citations?hl=en&user=9lcHc2AAAAAJ
Rukmani Mohanta,"Professor, University of Hyderabad",uohyd.ac.in,6611,Flavour Physics and CP Violation,https://scholar.google.com/citations?hl=en&user=VTe7YlIAAAAJ
kalidas sen,"Professor of Chemistry, University of Hyderabad",uohyd.ac.in,6206,Quantum Chemistry | Mathematical Physics | Confined Atoms | Information Theory,https://scholar.google.com/citations?hl=en&user=xagfKgQAAAAJ
PB Kirti,"… Foundation, Hyderabad and Former Professor of Plant Sciences, University of Hyderabad",uohyd.ac.in,6038,Plant Molecular Biology,https://scholar.google.com/citations?hl=en&user=RzxIUl4AAAAJ
Kumara Swamy KC,University of Hyderabad,uohyd.ac.in,5991,chemistry,https://scholar.google.com/citations?hl=en&user=slhqcrsAAAAJ
Prof. M.Jayananda,"… , Centre for Earth, Ocean  and  Atmospheric Sciences, University of Hyderabad, Hyderabad",uohyd.ernet.in,5841,Geochemistry | Geochronology | Radiogenic isotopes | Tectonics | Continental growth,https://scholar.google.com/citations?hl=en&user=0bsaS_wAAAAJ
DB Ramachary (or) Dhevalapally B. Ramachary,"Catalysis Laboratory, School of Chemistry, University of Hyderabad",uohyd.ac.in,5540,Asymmetric Organocatalysis | Sequential One-pot Reactions | Total Synthesis of Natural Products/Drugs,https://scholar.google.com/citations?hl=en&user=YqyVkrEAAAAJ
TP Radhakrishnan,University of Hyderabad,uohyd.ac.in,5144,Not Mentioned,https://scholar.google.com/citations?hl=en&user=XTuTn0sAAAAJ
Satish Narayana Srirama,"School of Computer and Information Sciences, University of Hyderabad, India.",uohyd.ac.in,5143,Mobile Web Services | Edge/Cloud Computing | Internet of Things | Mobile Cloud | #unitartucs,https://scholar.google.com/citations?hl=en&user=Rx16jjwAAAAJ
Priyadarshi Singh,university of hyderabad,uohyd.ac.in,5007,information security | public key infrastructure | cryptography,https://scholar.google.com/citations?hl=en&user=jJttF8EAAAAJ
Prof. Dr Appa Rao Podile,"Senior Professor, Department of Plant Sciences, University of Hyderabad",uohyd.ernet.in,4972,Molecular Plant-Microbe Interactions,https://scholar.google.com/citations?hl=en&user=Ykd1QyUAAAAJ
Ramana Ch V,"Professor, Department of Plant Sciences, University of Hyderabad",uohyd.ernet.in,4874,Bacterial discovery laboratory,https://scholar.google.com/citations?hl=en&user=9irOq-IAAAAJ
Venkateswar Rao Linga,"Department of Microbiology, Osmania University, Hyderabad-500 007",Not Mentioned,4830,Microbial Biotechnology | Industrial Microbiology,https://scholar.google.com/citations?hl=en&user=NLyrlrUAAAAJ
B Senthilkumaran,"Professor, Department of Animal Biology, University of Hyderabad",uohyd.ac.in,4750,Reproductive Biology | Fish Molecular Endocrinology | Endocrine disruption | Nanotoxicology,https://scholar.google.com/citations?hl=en&user=YtI0fuYAAAAJ
