Chris Brewster,"Professor of International HRM, Universities of Reading, UK; Vaasa, Finland; Radboud NL; …",henley.ac.uk,28490,International HRM | Comparative HRM | expatriation,https://scholar.google.com/citations?hl=en&user=FHXhNbwAAAAJ
Jouni Lampinen,"Professor of Computer Science, University of Vaasa, Finland",uwasa.fi,15213,Computational Intelligence | Evolutionary Computing | Global Optimization | Differential Evolution,https://scholar.google.com/citations?hl=en&user=w__ag4oAAAAJ
Marcelo Godoy Simões,University of Vaasa,uwasa.fi,15149,Power Electronics | Renewable Energy | Artificial Intelligence | Smart-Grid,https://scholar.google.com/citations?hl=en&user=vGEBO7EAAAAJ
Miadreza Shafie-khah,University of Vaasa,uva.fi,13463,smart grid | demand response | electric vehicle | flexibility | electricity market,https://scholar.google.com/citations?hl=en&user=aJFV9pIAAAAJ
Martin Meyer,University of Vaasa and University of Aberdeen Business School,uwasa.fi,9297,innovation | technology management | emerging technologies | academic entrepreneurship | bibliometrics,https://scholar.google.com/citations?hl=en&user=FsCwR9kAAAAJ
Petri Helo,"Professor of Industrial Management, University of Vaasa",uwasa.fi,8553,Supply Chain Management | Operations Management | Logistics Systems | Digitalization | Computers in Industry,https://scholar.google.com/citations?hl=en&user=fp0XmGUAAAAJ
Vesa Suutari,"Professor, School of Management, University of Vaasa",uva.fi,7782,Expatriation | International human resource management | cross-cultural management | human resource management,https://scholar.google.com/citations?hl=en&user=sg3AfR4AAAAJ
Marko Kohtamäki,"Professor of strategy, University of Vaasa",uva.fi,7154,Servitization | strategy-as-practice | Product-Service Systems | Business Model | dynamic capabilities,https://scholar.google.com/citations?hl=en&user=UW--itcAAAAJ
Juha Arrasvuori,"Associate Professor, SC-Research / University of Vaasa",uva.fi,5829,digital media | game research | innovation methods | IPR | product and service development,https://scholar.google.com/citations?hl=en&user=tHBEFLIAAAAJ
Alander J*,"Professor of Production Automation, University of Vaasa",uwasa.fi,5013,genetic algorithms | optics | image processing | automation,https://scholar.google.com/citations?hl=en&user=iOapk6AAAAAJ
Jorma Larimo,"University of Vaasa, Finland",uwasa.fi,4753,FDI | Internationalization of SMEs | Market Entry | Acquisitions and Joint Ventures,https://scholar.google.com/citations?hl=en&user=M7mXvJ4AAAAJ
J.Birgitta Martinkauppi,University of Vaasa,uva.fi,4677,Not Mentioned,https://scholar.google.com/citations?hl=en&user=nlwbZvgAAAAJ
Arto Ojala,"Professor of International Business, University of Vaasa",uwasa.fi,4613,International Business | Entrepreneurship | Digitalization | Digital platfroms | Pricing,https://scholar.google.com/citations?hl=en&user=1QnM_DIAAAAJ
朱联东(Liandong Zhu),University of Vaasa,uva.fi,4589,biofuel production | algae | wastewater treatment | waste recycling and reuse | sustainable development,https://scholar.google.com/citations?hl=en&user=cfNRC60AAAAJ
