Christopher Carcaillet,"Ecole Pratique des Hautes Etudes, Paris",ephe.psl.eu,9610,ecology | disturbance ecology | fire ecology | paleoecology | biodiversity,https://scholar.google.com/citations?hl=en&user=kjkZ-BgAAAAJ
Bérengère Guillery-Girard,Ecole Pratique des Hautes Etudes,ephe.psl.eu,3218,Child Neuropsychology,https://scholar.google.com/citations?hl=en&user=VG8Gm90AAAAJ
Jean-Michel Verdier,"École Pratique des Hautes Études, Paris",ephe.psl.eu,3078,Not Mentioned,https://scholar.google.com/citations?hl=en&user=rLMmvwUAAAAJ
Francois De Polignac,Ecole Pratique des Hautes Etudes,ephe.psl.eu,2461,Histoire ancienne,https://scholar.google.com/citations?hl=en&user=PLQNiVQAAAAJ
Sarah Cubaynes,Ecole Pratique des Hautes Etudes - University of Montpellier,ephe.sorbonne.fr,2276,evolutionary demography - conservation …,https://scholar.google.com/citations?hl=en&user=Ca0rRzgAAAAJ
Claudie Doums,"Ecole Pratique des Hautes Etudes, MNHN, France",ephe.sorbonne.fr,2173,Ecologie évolutive,https://scholar.google.com/citations?hl=en&user=wEW-eZYAAAAJ
Pierre de Villemereuil,"Lecturer; École Pratique des Hautes Études; Institute for Systematics, Evolution, Biodiversity",ephe.psl.eu,2093,Genetics of adaptation | Population genomics | Quantitative genetics | Evolutionary Ecology | Biostatistics,https://scholar.google.com/citations?hl=en&user=yKKnZ_4AAAAJ
françois Jouen,Ecole Pratique des Hautes Etudes. EPHE-PSL,ephe.sorbonne.fr,1969,Neurosciences and development,https://scholar.google.com/citations?hl=en&user=ibJwWK8AAAAJ
Stéphane Verger,"Professor of Archaeology, Ecole Pratique des Hautes Etudes; Director of the Museo …",ephe.psl.eu,1782,Archaeology | Ancient History,https://scholar.google.com/citations?hl=en&user=tzI9Wt4AAAAJ
Sophie Thenet,Ecole Pratique des Hautes Etudes,ephe.psl.eu,1277,biologie cellulaire,https://scholar.google.com/citations?hl=en&user=UgmZQC4AAAAJ
