Jacques P. Barber,"Professor and Dean, Gordon F. Derner School of Psychology, Adelphi University",adelphi.edu,24956,Psychotherapy research | mechanisms of change | personality,https://scholar.google.com/citations?hl=en&user=Gbv8pYwAAAAJ
Mark Hilsenroth,"Professor, Derner School of Psychology, Adelphi University",adelphi.edu,16955,Psychotherapy Process and Outcome | Personality Assessment,https://scholar.google.com/citations?hl=en&user=Iz1JORAAAAAJ
J. Christopher Muran,"Derner School of Psy, Adelphi University; Mount Sinai Beth Israel Psychotherapy Research …",adelphi.edu,15202,change processes | relational factors | alliance ruptures,https://scholar.google.com/citations?hl=en&user=9LHd_UwAAAAJ
Zhimin Huang,"Professor of Operations Management, Adelphi University",adelphi.edu,8070,Supply Chain Management | Game Theory | Distribution Channels | Productivity Analysis | Data Envelopment Analysis,https://scholar.google.com/citations?hl=en&user=2rkwcsEAAAAJ
"Joel Weinberger, PhD",Derner Institute of Advanced Psychological Studies at Adelphi University,adelphi.edu,7854,Unconscious Processes | Clinical Psychology,https://scholar.google.com/citations?hl=en&user=K9Rivj0AAAAJ
Christine Riordan,Adelphi University,adelphi.edu,7327,Not Mentioned,https://scholar.google.com/citations?hl=en&user=zGKbDsIAAAAJ
Jairo N Fuertes,"Gordon F Derner School of Psychology, Adelphi University",adelphi.edu,5990,Physician-patient working alliance | psychotherapy process and outcome | client factors in psychotherapy,https://scholar.google.com/citations?hl=en&user=PS_nRGMAAAAJ
Charles Richard Baker,Adelphi University,Adelphi.edu,5590,Accounting,https://scholar.google.com/citations?hl=en&user=cDtGuxUAAAAJ
Alexander Heyl,"Professor Biology Department, Adelphi University",adelphi.edu,5062,Signaling | Evolution | Plant hormones | Transcription,https://scholar.google.com/citations?hl=en&user=j3vhfCcAAAAJ
Jeffrey Goldstein,Adelphi University,adelphi.edu,4920,Complexity theory,https://scholar.google.com/citations?hl=en&user=LRRK7NcAAAAJ
Benjamin S Weeks,"Professor Of Biology, Adelphi University",adelphi.edu,4459,Neuroscience | Immunology | Virology,https://scholar.google.com/citations?hl=en&user=TRz9fLoAAAAJ
Brian Stockman,Adelphi University,adelphi.edu,4195,Not Mentioned,https://scholar.google.com/citations?hl=en&user=CQ0DdOYAAAAJ
Katherine Fiori,"Professor, Adelphi University",adelphi.edu,4106,social relationships | adulthood | aging | mental health,https://scholar.google.com/citations?hl=en&user=RJ85bA0AAAAJ
Michael Thomas Moore,Adelphi University,adelphi.edu,4083,Not Mentioned,https://scholar.google.com/citations?hl=en&user=qLWGwJgAAAAJ
Susan Li,"Professor of Decision Sciences, Adelphi University",adelphi.edu,3945,Management Information Systems | Data Envelopment Analysis | Supply Chain Management | Game Theory,https://scholar.google.com/citations?hl=en&user=_-U-mhcAAAAJ
Catherine F Eubanks,"Professor, Adelphi University",adelphi.edu,3934,Not Mentioned,https://scholar.google.com/citations?hl=en&user=_Q37n7YAAAAJ
Jean Lau Chin,Adelphi University,adelphi.edu,3463,leadership | Asian Americans | mental health | diversity | women,https://scholar.google.com/citations?hl=en&user=AWkdmbIAAAAJ
Elizabeth de Freitas,Adelphi University,adelphi.edu,3143,Manchester Metropolitan University,https://scholar.google.com/citations?hl=en&user=AAgCuywAAAAJ
Laura Brumariu,Adelphi University,adelphi.edu,3066,Not Mentioned,https://scholar.google.com/citations?hl=en&user=8e3TjmwAAAAJ
James K. Hazy,"Professor of Management, Robert Willumstad School of Business, Adelphi University",adelphi.edu,2917,Teams | Organization Theory | Complexity Leadership | Social Complexity | Collective Leadership,https://scholar.google.com/citations?hl=en&user=_-2V9pEAAAAJ
Damian A. Stanley,Adelphi University,adelphi.edu,2854,Social Neuroscience | Theory of Mind | Reputation and Decision-Making | Implicit Race Bias | Social Trust,https://scholar.google.com/citations?hl=en&user=m-ncBssAAAAJ
