Paul J. Higgins,Albany Medical College,amc.edu,12219,Molecular Biology,https://scholar.google.com/citations?hl=en&user=YluIi_YAAAAJ
Christine Stellrecht,Albany Medical Center,amc.edu,11117,cancer biology,https://scholar.google.com/citations?hl=en&user=4IM1iYAAAAAJ
David Nalin,"Professor Emeritus, Albany Medical College",amc.edu,8090,infectious diseases | cholera | vaccines | oral rehydration therapy,https://scholar.google.com/citations?hl=en&user=-6LNJnUAAAAJ
Joseph E. Mazurkiewicz,Professor Albany Medical College,mail.amc.edu,7168,GPCR | Friedreich Ataxia | FLIM-FRET,https://scholar.google.com/citations?hl=en&user=ZeU4HLoAAAAJ
Gabrielle Fredman,Albany Medical College,mail.amc.edu,6954,resolution of inflammation | inflammation | atherosclerosis | eicosanoids,https://scholar.google.com/citations?hl=en&user=KLpPcSUAAAAJ
Jeremy Hill,"National Center for Adaptive Neurotechnologies; Stratton VA Medical Center, Albany, NY …",med.cornell.edu,6675,Brain-computer interfacing | Neuro-rehabilitation | Spatial Vision | Neuroscience methods,https://scholar.google.com/citations?hl=en&user=Mxio0T8AAAAJ
David Jourd'heuil,Albany Medical College,mail.amc.edu,6253,Cardiovascular disease | smooth muscle biology | nitric oxide biology | redox biology and antioxidants,https://scholar.google.com/citations?hl=en&user=854-kUUAAAAJ
LB Hough,Albany Medical College,mail.amc.edu,5791,Not Mentioned,https://scholar.google.com/citations?hl=en&user=8XT2WzUAAAAJ
Dale Tang,Albany Medical College,amc.edu,4220,cytoskeleton | signal transduction | asthma | epigenetic | contraction,https://scholar.google.com/citations?hl=en&user=6uklCm4AAAAJ
"Michael D. Robek, Ph.D.","Professor, Albany Medical College",mail.amc.edu,3904,Virology | Immunology,https://scholar.google.com/citations?hl=en&user=2Tsfm6sAAAAJ
Margarida Barroso,"Molecular and Cellular Physiology, Albany Medical College, Albany, NY",amc.edu,3463,endosomes | iron | breast cancer | FLIM | inter-organelle,https://scholar.google.com/citations?hl=en&user=qzJ2-UAAAAAJ
Antonio Paul,"Dept. of Molecular and Cellular Physiology, Albany Medical College",amc.edu,3413,Atherosclerosis | foam cell biology | lipid and lipid droplet metabolism,https://scholar.google.com/citations?hl=en&user=tOvD-E8AAAAJ
Jonathan A. Harton,"Associate Professor, Immunology, Albany Medical College",amc.edu,3237,Molecular Immunology and Genetics,https://scholar.google.com/citations?hl=en&user=tHCeN6wAAAAJ
NORMAN STROMINGER,"Professor pf Neuroscience, Albany Medical College",amc.edu,2878,Neuroscience | esp. neuroanatomy,https://scholar.google.com/citations?hl=en&user=tf91-dgAAAAJ
"Badar M. Mian, MD",Albany Medical Center,amc.edu,2569,Bladder cancer | Prostate Cancer | Kidney cancer | Robotic Surgery,https://scholar.google.com/citations?hl=en&user=V7NE6TcAAAAJ
Mark Lukowitsky,Albany Medical College,mail.amc.edu,2479,Personality | Psychopathology | Narcissism | Mindfulness,https://scholar.google.com/citations?hl=en&user=yo7DcKMyMoUC
Ralf-Peter Czekay,Albany Medical College,amc.edu,2470,Cancer Research,https://scholar.google.com/citations?hl=en&user=nFc06k4AAAAJ
John M. Lamar,Albany Medical College,amc.edu,2464,Hippo Pathway | YAP | Metastasis | Integrin | Cancer,https://scholar.google.com/citations?hl=en&user=LEndrBYAAAAJ
Rohan Samarakoon,"Associate Professor, Albany Medical College",mail.amc.edu,2375,TGF-beta | renal fibrosis | vascular disease | cell signaling,https://scholar.google.com/citations?hl=en&user=jPt1jxEAAAAJ
Xian Li,Postdoc fellow @ Stony Brook Medicine   Ph.D. from University at Albany,albany.edu,2308,Screen time and sleep health | Adolescent problem behavior | Parenting,https://scholar.google.com/citations?hl=en&user=oyDYTIYAAAAJ
Gavin Setzen,"Associate Professor, Albany Medical College",albanyentandallergy.com,2192,ENT | Otolaryngology,https://scholar.google.com/citations?hl=en&user=lFpLiowAAAAJ
Alejandro Adam,Albany Medical College,amc.edu,2107,Cell biology | cardiovascular sciences | oncology,https://scholar.google.com/citations?hl=en&user=L-_FnQcAAAAJ
Ashar Ata,"… Professor (Research), Depts of Surgery and Emergency Medicine Albany Medical Center",amc.edu,1957,Colorectal cancer | postoperative hyperglycemia | surgical outcomes | emergency medicine,https://scholar.google.com/citations?hl=en&user=kcmIbvMAAAAJ
anthony ritaccio,Albany Medical College,mail.amc.edu,1943,electrocorticography | epilepsy,https://scholar.google.com/citations?hl=en&user=tA4lmyoAAAAJ
Bibhuti Bhusan Mishra,Assistant Professor at Albany Medical Center,amc.edu,1785,Tuberculosis | Innate immunity | Inflammation and resolution of Inflammation,https://scholar.google.com/citations?hl=en&user=WMHsCpUAAAAJ
Hwajeong Lee,Albany medical college,mail.amc.edu,1778,pathology,https://scholar.google.com/citations?hl=en&user=0v5NxMMAAAAJ
Afshin Anoushiravani,Albany Medical Center,amc.edu,1605,Orthopaedic Surgery,https://scholar.google.com/citations?hl=en&user=l-ij4EgAAAAJ
Allison M. Burton-Chase,"Assistant Professor, Behavioral Medicine, Albany College of Pharmacy and Health Sciences",acphs.edu,1548,Cancer Prevention | Lynch syndrome | Cancer Survivorship,https://scholar.google.com/citations?hl=en&user=pyooysQAAAAJ
Damian Shin,"Associate Professor, Albany Medical College. Dept. of Neuroscience & Experimental …",amc.edu,1472,Epilepsy | Parkinson's disease,https://scholar.google.com/citations?hl=en&user=fV1FINYAAAAJ
Lee Shapiro,"Professor, Albany Medical College",Not Mentioned,1468,scleroderma | Degos disease,https://scholar.google.com/citations?hl=en&user=itBJtZsAAAAJ
amit chopra,"Associate Professor of Medicine, Albany Medical College",mail.amc.edu,1404,Pulmonary,https://scholar.google.com/citations?hl=en&user=3MG1tBQAAAAJ
Katherine C. MacNamara,Albany Medical College,Not Mentioned,1402,hematopoiesis | immunology | infection | inflammation,https://scholar.google.com/citations?hl=en&user=fWQfmVIAAAAJ
Joaquim Pinheiro,Albany Medical Center,mail.amc.edu,1389,neonatology | neonatal resuscitation | quality improvement | patient safety | epidemiology,https://scholar.google.com/citations?hl=en&user=P47Y3asAAAAJ
Rahul Ravilla,New York Oncology Hematology/ Albany Medical Center,usoncology.com,1208,Hematology-Oncology | Immunology,https://scholar.google.com/citations?hl=en&user=Qtm6VvkAAAAJ
Yannick Poitelon,Albany Medical College,amc.edu,1181,Myelin | Schwann cells | Peripheral neuropathies,https://scholar.google.com/citations?hl=en&user=TG6uDc0AAAAJ
R Charles Welliver Jr,Albany Medical College,amc.edu,1175,Andrology,https://scholar.google.com/citations?hl=en&user=yCLkkfcAAAAJ
Johanna T. Crane,Albany Medical College,Not Mentioned,1095,medical anthropology | bioethics | global health,https://scholar.google.com/citations?hl=en&user=ZpgmYj8AAAAJ
Preeti Dohare,Albany Medical College,amc.edu,1079,Neuroscience | stroke | Intraventricular Hammorhage | Gap junctions | Glia,https://scholar.google.com/citations?hl=en&user=ISZXmBsAAAAJ
Kristen L Zuloaga,Albany Medical College,mail.amc.edu,1071,sex differences in vascular contributions to …,https://scholar.google.com/citations?hl=en&user=MHfJdpoAAAAJ
Alena Rudkouskaya,"Research Associate, Albany Medical College",amc.edu,999,cancer research,https://scholar.google.com/citations?hl=en&user=JKihLdkAAAAJ
Mario Canki,"Assistant Professor, Albany Medical College",Not Mentioned,991,HIV | CD4 | entry inhibitors | natural products,https://scholar.google.com/citations?hl=en&user=-0l7tXsAAAAJ
"Jeremy S. Logue, Ph.D.",Albany Medical College,mail.amc.edu,918,Cancer | metastasis | amoeboid cell migration | cytoskeleton | signal transduction,https://scholar.google.com/citations?hl=en&user=HPWbeGcAAAAJ
Xiao Jun-Hua,NYU Langone Medical Center; Albany Medical College; Tongji Medical College of HUST,Not Mentioned,887,Not Mentioned,https://scholar.google.com/citations?hl=en&user=AtOHKPgAAAAJ
Adam Morris,Albany Medical College,Not Mentioned,886,Pediatric Psychology | Medical Trauma | PTSD,https://scholar.google.com/citations?hl=en&user=3tOorPIAAAAJ
Paul W. Mosher,"Columbia University, Albany Medical College, Harvard College",mosher.com,819,lsd | privacy | psychoanalysis | medical education | cardiovascular physiology,https://scholar.google.com/citations?hl=en&user=xS_PO_EAAAAJ
Wei Sun,Albany Medical College,amc.edu,816,Bacterial pathogenesis and vaccine …,https://scholar.google.com/citations?hl=en&user=Li8USFQAAAAJ
Ian D Hutchinson,Albany Medical Center,hss.edu,808,Orthopaedics,https://scholar.google.com/citations?hl=en&user=pJV6yHoAAAAJ
Amit Nautiyal MD,"Division of Pulmonary and Critical Care Medicine , Albany Medical Center, New York",mail.amc.edu,765,Medicine | Critical Care Medicine,https://scholar.google.com/citations?hl=en&user=JEljfoUAAAAJ
Sophie Belin,Albany Medical College,amc.edu,716,Neuroscience,https://scholar.google.com/citations?hl=en&user=5bREG5cAAAAJ
Salima Lalani,"Postdoctoral Fellow, Albany Medical College",amc.edu,694,Antiviral therapeutics | molecular etiology of disease | ERVs | diabetes | cancers,https://scholar.google.com/citations?hl=en&user=OwOG2LsAAAAJ
Adriana Laser,Albany Medical College,amc.edu,675,vascular surgery | wound infections | edema,https://scholar.google.com/citations?hl=en&user=pcMINLoAAAAJ
Raju Sunagar,Albany Medical Center,mail.amc.edu,657,Francisella tularensis | Vaccine development | Microbial pathogenesis | MRSA,https://scholar.google.com/citations?hl=en&user=8LKs0pkAAAAJ
Meridith J. Englander,"Professor of Radiology, Albany Medical College",amc.edu,651,interventional radiology | health policy | gender equity,https://scholar.google.com/citations?hl=en&user=AVyhFTsAAAAJ
Sudeep Kumar,Albany Medical Center,mail.amc.edu,631,Vaccines | mucosal immunology | adjuvants | infectious diseases,https://scholar.google.com/citations?hl=en&user=agB8ZBcAAAAJ
Anupama Tiwari,"Assistant Professor, Albany Medical Center",amc.edu,617,Pulmonary,https://scholar.google.com/citations?hl=en&user=GemBtiAAAAAJ
Ashley Kopec,Albany Medical College,amc.edu,613,Neuroimmunology | Neurodevelopment | Addiction | Adolescence,https://scholar.google.com/citations?hl=en&user=W1oGtcsAAAAJ
Shannon BZ Stephens,"Assistant Professor, Albany Medical College",amc.edu,564,Reproductive neuroendocrinology | Behavioral Neuroendocrinology | Behavioral Neuroscience,https://scholar.google.com/citations?hl=en&user=1bK3kQcAAAAJ
Whitney Longmate,"Assistant Professor, Albany Medical College",amc.edu,549,Integrin Biology | Wound healing | Skin | Dermatology | Tumor Biology,https://scholar.google.com/citations?hl=en&user=p0KTVaIAAAAJ
"Nirupam Biswas, PhD",Research Scientist at Albany Medical College,amc.edu,547,HSPC | Immunology | Molecular Biology | Human Nutrition,https://scholar.google.com/citations?hl=en&user=7zeCteoAAAAJ
Ramon Bossardi Ramos,Postdoctoral Fellow at Albany Medical College,amc.edu,531,Inflammation | Epigenetic | RNA-seq | Bioinformatic | Endothelium,https://scholar.google.com/citations?hl=en&user=uUOCRPgAAAAJ
Nicholas C. Field,Albany Medical Center,amc.edu,516,Not Mentioned,https://scholar.google.com/citations?hl=en&user=isjSwugAAAAJ
TARANI KANTA BARMAN,"Albany Medical College, New York",amc.edu,485,Microbiology | Immunology | Animal model | Drug Discovery and Vaccine Research,https://scholar.google.com/citations?hl=en&user=TtqmtwUAAAAJ
