Thomas M. Maddox,"… , VA Eastern Colorado Health Care System; Associate Professor of Medicine, University of …",va.gov,17687,Cardiac preention | cardiac health services research | outcomes | quality of care | learning health care systems,https://scholar.google.com/citations?hl=en&user=0TKujqQAAAAJ
David Mu,"Professor, Eastern Virginia Medical School",evms.edu,14797,lung cancer | microRNA | cancer biology | cancer therapeutics,https://scholar.google.com/citations?hl=en&user=cALJRh4AAAAJ
Oliver John Semmes,Professor of Microbiology and Molecular Cell Biology,evms.edu,13958,Prostate Cancer | Proteomics | Viral Oncogenes,https://scholar.google.com/citations?hl=en&user=eWEPEuIAAAAJ
JC Ware,Eastern Virginia Medical School,emeritus.evms.edu,11498,sleep,https://scholar.google.com/citations?hl=en&user=XjdKfqAAAAAJ
Minglei Guo,Eastern Virginia Medical School,evms.edu,11425,drug addiction neuroscience microglia,https://scholar.google.com/citations?hl=en&user=5q7dJmIAAAAJ
Stephen I. Deutsch,"Professor of Psychiatry, Eastern Virginia Medical School",evms.edu,8438,Psychiatry | Psychopharmacology | Neurotransmitters,https://scholar.google.com/citations?hl=en&user=sY6MSFYAAAAJ
Elena Galkina,Eastern Virginia Medical School,evms.edu,8022,Not Mentioned,https://scholar.google.com/citations?hl=en&user=WVmMSlwAAAAJ
Larry Sanford,Eastern Virginia Medical School,evms.edu,4827,sleep | stress | learning and memory | neuroimmune,https://scholar.google.com/citations?hl=en&user=ciayRvwAAAAJ
"Mohammad (Ebbie) Ebrahimi Kalan, PhD MS",Assistant Professor in Epidemiology at EVMS,evms.edu,4689,Epidemiologist | Health Disparities | Tobacco Control | Substance Use,https://scholar.google.com/citations?hl=en&user=yekHvUwAAAAJ
William McPheat,Not Mentioed,evms.edu,3595,Not Mentioned,https://scholar.google.com/citations?hl=en&user=xm-zBOsAAAAJ
Rehan Qayyum,Eastern Virginia School of Medicine,EVMS.edu,3394,Population Health,https://scholar.google.com/citations?hl=en&user=ux4iJRAAAAAJ
Mary Margaret Gleason,"Eastern Virginia Medical School, Children's Hospital of the King's Daughters",alumni.amherst.edu,3256,Pediatrics | Child Psychiatry,https://scholar.google.com/citations?hl=en&user=FazsphIAAAAJ
Hosam El Sayed,Eastern Virginia Medical School,sentara.com,3131,Vascular surgery,https://scholar.google.com/citations?hl=en&user=EFZqY58AAAAJ
jyoti upadhyay,Eastern Virginia Medical School Dept of Urology,evms.edu,3069,urinary tract infections,https://scholar.google.com/citations?hl=en&user=GTnmBXIAAAAJ
Swarup K Chakrabarti PhD,"Indian Institute of Chemical Biology, University of Illinois, University of Virginia, EVMS",evms.edu,2744,Neuroscience | Diabetes | Obesity | Cardiovascular disease | Stem Cell,https://scholar.google.com/citations?hl=en&user=W9uyQ-EAAAAJ
Diane Duffy,Eastern Virginia Medical School,evms.edu,2715,Not Mentioned,https://scholar.google.com/citations?hl=en&user=41Z2kAwAAAAJ
Tapan Chaudhuri,"Professor of Nuclear Medicine, EVMS",evms.edu,2711,Application of Nuclear Physics in Medicine & …,https://scholar.google.com/citations?hl=en&user=6M3UsG0AAAAJ
richard britten,"Professor of Radiation Oncology, Eastern Virginia Medical School",evms.edu,2660,Radiobiology | neurocognition | cervical cancer | chemobrain,https://scholar.google.com/citations?hl=en&user=qEmkLUUAAAAJ
Carolina M Casellini,"Assistant Professor, Eastern Virginia Medical School",evms.edu,2553,Diabetes | Diabetic Neuropathy | Autonomic Neuropathy,https://scholar.google.com/citations?hl=en&user=GAkgyNUAAAAJ
Gyorgy Lonart,Eastern Virginia Medical School,evms.edu,2487,Not Mentioned,https://scholar.google.com/citations?hl=en&user=Oztk4ZoAAAAJ
Neel K Krishna,"Professor, Eastern Virginia Medical School",evms.edu,2419,Complement biology | astroviruses | microbiology | infectious disease,https://scholar.google.com/citations?hl=en&user=5NrExx8AAAAJ
Woong-Ki Kim,"Professor and Associate Dean, Eastern Virginia Medical School",evms.edu,2412,macrophages | HIV,https://scholar.google.com/citations?hl=en&user=FIKyWVQAAAAJ
Kenji Cunnion,Eastern Virginia Medical School,evms.edu,2299,inflammation,https://scholar.google.com/citations?hl=en&user=dFSEBXEAAAAJ
Bruce Lo,Eastern Virginia Medical School,evms.edu,2193,Not Mentioned,https://scholar.google.com/citations?hl=en&user=AJcG_8YAAAAJ
Paul Harrell,"Associate Professor, Eastern Virginia Medical School",evms.edu,2074,Behavioral Pharmacology | Drug Dependence Epidemiology,https://scholar.google.com/citations?hl=en&user=W2_V4kkAAAAJ
Amy H. Tang,Professor of Cancer Biology,evms.edu,1883,cancer biology | immunology | drug resistance | biomarker discovery | therapy development,https://scholar.google.com/citations?hl=en&user=mS0BKTgAAAAJ
Katherine Scott,Foundation For Embryonic Competence,evms.edu,1855,IVF | Genetics | Vitrification,https://scholar.google.com/citations?hl=en&user=pH_9g1MAAAAJ
JD Ball,Eastern Virginia Medical School,emeritus.evms.edu,1779,neuropsychology | attention | personality | testing,https://scholar.google.com/citations?hl=en&user=bEmsf6IAAAAJ
Vivek Agrahari,CONRAD/EVMS,conrad.org,1618,Drug Delivery and Nanoformulation,https://scholar.google.com/citations?hl=en&user=xkm1a8EAAAAJ
J. Bryan Carmody,Eastern Virginia Medical School,chkd.org,1530,Pediatric Nephrology,https://scholar.google.com/citations?hl=en&user=DxBA29EAAAAJ
"Mark A.  Pavilack, MD","Asst Prof Ophthalmology, Eastern Virginia Medical School",cvphealth.com,1309,Ophthalmology,https://scholar.google.com/citations?hl=en&user=caJkW3IAAAAJ
Apostolos Gaitanidis,Eastern Virginia Medical School,evms.edu,1271,Surgery,https://scholar.google.com/citations?hl=en&user=hw0uGREAAAAJ
Paul C. Mullan,"Professor, Eastern Virginia Medical School; Children's Hospital of the King's Daugthers",chkd.org,1225,Pediatric Emergency Medicine | Quality Improvement | Patient Safety | Communication | Debriefings,https://scholar.google.com/citations?hl=en&user=dY1bBigAAAAJ
"Robert James Smith, MD",Eastern Virginia Medical School,evms.edu,1181,Pediatric Dermatology | Healthy Equity | Race in Dermatology | Social Media and Health | Health Services Research,https://scholar.google.com/citations?hl=en&user=Uj0QNTYAAAAJ
"Jacob K. Farnsworth, PhD","University of North Texas (Alumnus), Veteran Affairs Eastern Colorado Health Care System",va.gov,1153,Trauma | Moral Psychology | Combat | Moral Injury | Evidence-based Practice,https://scholar.google.com/citations?hl=en&user=NSEbCrgAAAAJ
John Harrington,"Professor of Pediatrics, Eastern Virginia Medical School; Children's Hospital of The King's",chkd.org,1023,Autism | General Academic Pediatrics | Quality Improvement and Safety | Clinical Integration,https://scholar.google.com/citations?hl=en&user=RygpiG4AAAAJ
Nicole Kreiser,Eastern Virginia Medical School,evms.edu,915,Autism Spectrum Disorder | Anxiety | Comorbidity | Gender,https://scholar.google.com/citations?hl=en&user=yCsYUwwAAAAJ
Tushar Shah,Eastern Virginia Medical School,evms.edu,861,Neonatology | Hypoxic ischemic encephalopathy | Complement | inflammation,https://scholar.google.com/citations?hl=en&user=g7HFGw0AAAAJ
Anthony Trace,Not Mentioed,evms.edu,860,Radiology,https://scholar.google.com/citations?hl=en&user=FGWJOsMAAAAJ
Chinelo Okigbo,Eastern Virginia Medical School,evms.edu,851,Health Services Utilization | Women's Health | Endocrinology,https://scholar.google.com/citations?hl=en&user=oxxG2bAAAAAJ
William McDaniel,"Associate Professor of Psychiatry, Eastern Virginia Medical School",va.gov,787,Treatment of depression | psychopharmacology | circadian rhythm disorders,https://scholar.google.com/citations?hl=en&user=oAZVBLYAAAAJ
