Erwin Böttinger,"Hasso Plattner Institute, University Potsdam, and Icahn School of Medicine at Mount Sinai …",hpi.de,55791,personalized medicine | digital health,https://scholar.google.com/citations?hl=en&user=3dWDnnYAAAAJ
Christoph Meinel,"Institutsdirektor und Professor für Informatik, Hasso-Plattner-Institut, Universität Potsdam",hpi.de,22567,Internet Technology | Security Engineering | Learning Engineering | MOOCs | e-Health,https://scholar.google.com/citations?hl=en&user=9WN2Ho0AAAAJ
Patrick Baudisch,"Hasso Plattner Institute, Professor in Computer Science",hpi.de,20621,Human Computer Interaction | personal fabrication | haptics | natural user interfaces | computer science,https://scholar.google.com/citations?hl=en&user=GdRdhYwAAAAJ
Mathias Weske,"Professor of Computer Science, Hasso Plattner Institute, University of Potsdam",hpi.uni-potsdam.de,19169,Business Process Management | Information Systems | Computer Science | Conceptual Modeling,https://scholar.google.com/citations?hl=en&user=Qc4JtWcAAAAJ
Ralf Herbrich,Hasso Plattner Institute,hpi.de,15832,Machine Learning | Statistics | Ranking | Learning Theory | Distributed Systems,https://scholar.google.com/citations?hl=en&user=RuvHkikAAAAJ
Holger Karl,"Hasso-Plattner-Institute, Potsdam University",hpi.de,12804,Networking,https://scholar.google.com/citations?hl=en&user=vjgKHWMAAAAJ
Felix Naumann,"Hasso Plattner Institute, University of Potsdam",hpi.de,12218,Data Profiling | Data Integration | Data Cleaning | Data Quality | Data Preparation,https://scholar.google.com/citations?hl=en&user=Pqf21y0AAAAJ
Holger Giese,"Professor of Computer Science, Hasso Plattner Insitute, Potsdam University",hpi.uni-potsdam.de,10334,Software Engineering | Model-Driven Engineering | Embedded Systems | Self-Adaptive Software | System of Systems,https://scholar.google.com/citations?hl=en&user=tbVxns0AAAAJ
Tobias Friedrich,"Chair for Algorithm Engineering, Hasso Plattner Institute, Potsdam, Germany",hpi.de,9718,Algorithm Engineering | Randomness | Artificial Intelligence | Data Science | Network Science,https://scholar.google.com/citations?hl=en&user=vxfzU6IAAAAJ
Benjamin Glicksberg,"Hasso Plattner Institute for Digital Health, Icahn School of Medicine at Mount Sinai",mssm.edu,9320,Biomedical Informatics | Multi-Omics | Digital Health | Machine Learning,https://scholar.google.com/citations?hl=en&user=BIHeNNUAAAAJ
