Bent Flyvbjerg,"Professor and Chair, University of Oxford, IT University of Copenhagen",sbs.ox.ac.uk,70300,Project Management | Management | Infrastructure | Planning | Cities,https://scholar.google.com/citations?hl=en&user=79htA7gAAAAJ
Per Bruun Brockhoff,"Vice Chancellor (Rector), IT University of Copenhagen",itu.dk,22072,Statistics | Sensometrics | Data Analysis | Chemometrics | Pharmacometrics,https://scholar.google.com/citations?hl=en&user=Gw8WMDgAAAAJ
Espen Aarseth,IT University of Copenhagen,itu.dk,15226,Game studies | addiction | electronic literature | media studies | literary theory,https://scholar.google.com/citations?hl=en&user=xxdwlx8AAAAJ
Andrzej Wąsowski,"Professor, IT University of Copenhagen, Denmark",itu.dk,8127,Software Engineering | Domain-Specific Languages | Model-Driven Development | Open Source | Privacy,https://scholar.google.com/citations?hl=en&user=GgpJrwMAAAAJ
Miguel Sicart,IT University of Copenhagen,itu.dk,7356,Computer Games | Ethics | Design | Philosophy of Technology | Play,https://scholar.google.com/citations?hl=en&user=qf91Uo4AAAAJ
Roman Beck,"Professor in Information Systems, IT University of Copenhagen",itu.dk,5875,Blockchain | Governance | Ethics | Information Systems,https://scholar.google.com/citations?hl=en&user=ZbDAIXUAAAAJ
Peter Sestoft,"Professor, IT University of Copenhagen",itu.dk,5321,programming languages | software development | functional programming | programming language implementation,https://scholar.google.com/citations?hl=en&user=qz1BCu8AAAAJ
Louise Barkhuus,"Professor, The IT University of Copenhagen",itu.dk,5253,Human computer interaction | Ubiquitous computing,https://scholar.google.com/citations?hl=en&user=dAeFXDcAAAAJ
Philippe Bonnet,IT University of Copenhagen,itu.dk,4997,Database Management | Sensor Networks,https://scholar.google.com/citations?hl=en&user=S9zyMRgAAAAJ
Michele Coscia,IT University of Copenhagen,itu.dk,4977,Complex Networks | Digital Humanities | Human Mobility | Economic Development | Memetics,https://scholar.google.com/citations?hl=en&user=3p_bhfUAAAAJ
Maria Paasivaara,"… of Software Engineering @ LUT University, & IT University of Copenhagen & Aalto University",aalto.fi,4612,Agile software development | global software development | large-scale agile | #LUTsoftware,https://scholar.google.com/citations?hl=en&user=T4iNd0gAAAAJ
Luca Maria Aiello,IT University of Copenhagen,itu.dk,4409,Computational Social Science | Network Science | Urban Informatics | Data Science | Social Media,https://scholar.google.com/citations?hl=en&user=FIX-7hcAAAAJ
Dan Witzner Hansen,"Professor, IT University of Copenhagen",itu.dk,4293,eye information | computer vision | ML | privacy,https://scholar.google.com/citations?hl=en&user=B8A43fgAAAAJ
Marco Carbone,"Associate Professor, IT University of Copenhagen",itu.dk,4096,Theory of Concurrency | Behavioural Types | Choreography | Session Types | Web Services,https://scholar.google.com/citations?hl=en&user=abe9klkAAAAJ
