Prof. Pralay Maiti,"School of Materials Science and Technology, Indian Institute of Technology (BHU), Varanasi …",itbhu.ac.in,12443,Biomaterials | Energy Materials | Gel | Radiation induced phenomena | Polymer Nanocomposites,https://scholar.google.com/citations?hl=en&user=D7wEw-kAAAAJ
SN Upadhyay,"Emeritus Professor, Department of Chemical Eng, IIT (BHU) Varanasi",itbhu.ac.in,10287,Chemical Engineering,https://scholar.google.com/citations?hl=en&user=8PC0TdsAAAAJ
SK Gupta,"Associate Professor of Civil Engineering, IIT BHU, Varanasi",iitbhu.ac.in,10060,Mathematical and Statistical Modelling | Numerical Simulation | Water Resources Systems | Design of Hydraulic Structures | Computati,https://scholar.google.com/citations?hl=en&user=D2zsPEgAAAAJ
Manvandra Singh,"Tribology Lab, Department of Mechanical Engineering, IIT (BHU), Varanasi",Not Mentioned,8486,Tribology | metal matrix composites | Enegineering materials,https://scholar.google.com/citations?hl=en&user=NQ5CYt8AAAAJ
Brahmeshwar Mishra,"Prof. & Former Head, Deptt of Pharm Engg & Technology, IIT (BHU),Varanasi, India",itbhu.ac.in,8000,Pharmaceutics | Novel Drug Delivery Systems | Nanomedicines | Pharmacokinetics and Pharmacodynamics,https://scholar.google.com/citations?hl=en&user=v-NE3nsAAAAJ
Jahar Sarkar,"Mechanical Engineering, Indian Institute of Technology (BHU) Varanasi, India",itbhu.ac.in,7604,Heat transfer | Nanofluids | Refrigeration | Heat pump | Thermodynamics,https://scholar.google.com/citations?hl=en&user=Tv8978gAAAAJ
Surya Kant Singh,"Indian Institute of Technology (BHU), Varanasi",iitbhu.ac.in,7529,Computer Vision and Image Processing,https://scholar.google.com/citations?hl=en&user=Qz45GR4AAAAJ
Prof. Rajiv Prakash,"Indian Institute of Technology (BHU) Varanasi, India and Indian Institute of Technology …",iitbhu.ac.in,7024,Conducting Polymers | Nanocomposites | Sensors & Biosensors | Organic Electronics and Materials Chemistry,https://scholar.google.com/citations?hl=en&user=1uRK1sIAAAAJ
Dr. Om Parkash,"Professor of Ceramic Engineering, IIT (BHU) Varanasi-221005, India",itbhu.ac.in,6155,Electronic Ceramics | Solid Electrolyte for SOFC | Glass | Glass Ceramics | Nanophosphor,https://scholar.google.com/citations?hl=en&user=52t8jDcAAAAJ
Prof. Sanjay Kumar Singh,"Indian Institute of Technology (BHU), Varanasi, Uttar Pradesh",iitbhu.ac.in,5564,Image and Video Processing | Deep Learning | Machine Learning | Biometrics | Artificial Intelligence,https://scholar.google.com/citations?hl=en&user=LCD74DIAAAAJ
"Dr. Pranjal Chandra,  Ph.D, FICS, MNASc, MRSC, ICMR Awardee, Associate Prof. & Ramanujan Fellow","School of Biochemical Engineering, INDIAN INSTITUTE OF TECHNOLOGY(BHU), Varanasi …",IITBHU.AC.IN,5395,Clinical Biosensors | Bio-Instrumentation | Device Designs | Nanobioengineering | Material Engineering,https://scholar.google.com/citations?hl=en&user=kpS12-EAAAAJ
Soumya Ranjan Mohanty,"… of Electrical Engineering Indian Institute Of Technology (BHU) ,Varanasi,Uttar Pradesh India",itbhu.ac.in,3813,Power System Protection.Smart Grid | Microgrid Protection and Control,https://scholar.google.com/citations?hl=en&user=r6MbakMAAAAJ
Saravanakumar Elangovan,"Indian Institute of Technology (BHU), Varanasi",itbhu.ac.in,3807,Homogeneous Catalysis and Green …,https://scholar.google.com/citations?hl=en&user=fQg3EjcAAAAJ
