Beth Ellen Clark,"Professor and Chair, Department of Physics & Astronomy, Ithaca College",ithaca.edu,8659,Asteroid Astronomy & Photometry | Spacecraft Missions | Meteorite-Asteroid links | Space Weathering | Physics & Astronomy Education,https://scholar.google.com/citations?hl=en&user=HIoYiCMAAAAJ
Patrick McKeon,Ithaca College,ithaca.edu,8569,Not Mentioned,https://scholar.google.com/citations?hl=en&user=-U2yX60AAAAJ
Michael LaTour,Ithaca College - School of Business,ithaca.edu,6753,Consumer Behavior | IMC,https://scholar.google.com/citations?hl=en&user=v7H2SJUAAAAJ
Deborah A Nawoczenski,"Ithaca College - Rochester Center (retired) and Adjunct Professor, University of Rochester",ithaca.edu,5446,Foot and Ankle Pathology | Foot Orthotics | Shoulder Pain | Spinal Cord Injury,https://scholar.google.com/citations?hl=en&user=i-Wj4y8AAAAJ
Leigh Ann Vaughn,"Professor, Ithaca College",ithaca.edu,5073,Social Psychology | Goals | Motivation | Replicability,https://scholar.google.com/citations?hl=en&user=5LdUQ0wAAAAJ
Stephen D. Younger,"Scholar in Residence, Ithaca College",cornell.edu,4312,Economic Development | Poverty,https://scholar.google.com/citations?hl=en&user=FT_sR8QAAAAJ
Jason Hamilton,Ithaca College,Ithaca.edu,4062,Applied natural history | sustainability science | Honey bee education and outreach,https://scholar.google.com/citations?hl=en&user=w94bn0AAAAAJ
David C Gondek,Ithaca College,ithaca.edu,3868,Microbiology | bacterial pathogenesis | immunology,https://scholar.google.com/citations?hl=en&user=9J2j9T4AAAAJ
Douglas TURNBULL,"Associate Professor, Ithaca College",ithaca.edu,3707,Music Information Retrieval | Music Analysis | Machine Learning,https://scholar.google.com/citations?hl=en&user=CaEaSR8AAAAJ
Stephen Sweet,Ithaca College,ithaca.edu,3492,work and family,https://scholar.google.com/citations?hl=en&user=NRmFPzIAAAAJ
Luke D. Keller,Ithaca College,ithaca.edu,3385,astrophysics | star formation | planet formation | instrumentation,https://scholar.google.com/citations?hl=en&user=BUAUD4YAAAAJ
Ian Woods,"Associate Professor of Biology, Ithaca College",ithaca.edu,3383,Not Mentioned,https://scholar.google.com/citations?hl=en&user=hqt6Be4AAAAJ
Eric Leibensperger,"Department of Physics and Astronomy, Ithaca College",ithaca.edu,2950,Air quality | climate change | environmental modeling | environmental physics | environmental engineering,https://scholar.google.com/citations?hl=en&user=p84ufMsAAAAJ
Tamara Fitzwater,"Assistant Professor, Ithaca College",ithaca.edu,2931,development | alcohol addiction | stress | immunology,https://scholar.google.com/citations?hl=en&user=kjUCTz4AAAAJ
Devan Rosen,"Professor of Emerging Media, Ithaca College",ithaca.edu,2823,Social Network Analysis | Computer-Mediated Communication | New Media | Emerging Media | Social Media,https://scholar.google.com/citations?hl=en&user=TnTCMkIAAAAJ
Peter Melcher,"Professor of Biology, Ithaca College, Ithaca NY",google.com,2813,Plant Physiology / Ecophysiology,https://scholar.google.com/citations?hl=en&user=xX3rKoYAAAAJ
Scott M. Ulrich,"Associate Professor of Chemistry, Ithaca College",ithaca.edu,2794,Organic and Medicinal Chemistry,https://scholar.google.com/citations?hl=en&user=190LXNsAAAAJ
Naeem Inayatullah,"Professor of Politics, Ithaca College",ithaca.edu,2590,Not Mentioned,https://scholar.google.com/citations?hl=en&user=z6HEQHkAAAAJ
Kathryn Caldwell,"Ithaca College, Dept of Psychology",ithaca.edu,2448,Conservation Psychology | Contemplative Pedagogy | Developmental Psychology,https://scholar.google.com/citations?hl=en&user=qvvaWgMAAAAJ
VP (Chip) Gagnon Jr,Professor of Politics Ithaca College,ithaca.edu,2167,Not Mentioned,https://scholar.google.com/citations?hl=en&user=iv8w-kQAAAAJ
